SA 1.00s [g],POE 50yr
0.0005,0.997431
0.000718444,0.993324
0.001032324,0.984051
0.001483334,0.965474
0.002131385,0.932396
0.003062562,0.879586
0.004400559,0.803217
0.006323111,0.702684
0.009085603,0.582666
0.013054995,0.454087
0.018758568,0.331609
0.026953965,0.227876
0.038729833,0.148656
0.055650439,0.092658
0.079963458,0.055035
0.114898547,0.030724
0.165096362,0.015763
0.23722501,0.007235
0.34086581,0.002887
0.489786049,0.000969
0.703767779,0.000261
1.011235596,0.00005
1.453032463,0.000006
2.087845154,4.00E-07
3,1.50E-08
