SA 0.35s [g],POE 50yr
0.0005,0.999888
0.0007338996,0.999719
0.001077217,0.999236
0.001581139,0.997887
0.002320794,0.994356
0.00340646,0.985947
0.005,0.968099
0.007338996,0.934662
0.010772173,0.879515
0.015811388,0.799192
0.023207944,0.695253
0.0340646,0.575091
0.05,0.45025
0.07338996,0.332603
0.10772173,0.230907
0.158113883,0.149653
0.232079442,0.089638
0.340646035,0.048919
0.5,0.023838
0.7338996,0.010124
1.077217345,0.003637
1.58113883,0.001064
2.320794417,0.000234
3.406460345,0.000032
5,0.000002
