SA 2.00s [g],POE 50yr
0.0005,0.957045
0.000706408,0.922863
0.000998016,0.872211
0.001410027,0.802358
0.00199211,0.712147
0.002814486,0.603711
0.003976354,0.484177
0.005617859,0.365167
0.007937005,0.258994
0.011213534,0.173785
0.015842668,0.111275
0.022382787,0.068355
0.031622777,0.040112
0.044677188,0.02216
0.06312068,0.011283
0.089177953,0.005164
0.125992105,0.002068
0.178003755,0.000703
0.251486686,0.000193
0.355304601,0.000039
0.501980288,0.000005
0.709206156,4.00E-07
1.001978332,1.50E-08
1.415611763,5.00E-11
