SA 0.40s [g],POE 50yr
0.0005,0.999859
0.000727108,0.999641
0.001057371,0.999029
0.001537646,0.99737
0.002236068,0.993178
0.003251725,0.983571
0.004728708,0.963909
0.00687656,0.92823
0.01,0.870859
0.014542154,0.788817
0.021147425,0.683925
0.030752912,0.563601
0.04472136,0.439375
0.065034491,0.323269
0.094574161,0.24078
0.137531204,0.145826
0.2,0.088458
0.290843087,0.049383
0.422948505,0.024897
0.615058244,0.011079
0.894427191,0.00423
1.300689825,0.001335
1.891483218,0.00033
2.750624088,0.000055
4,0.000005
