SA 0.75s [g],POE 50yr
0.0005,0.999125
0.000727108,0.997541
0.001057371,0.99343
0.001537646,0.983861
0.002236068,0.96415
0.003251725,0.928305
0.004728708,0.870439
0.00687656,0.78688
0.01,0.678447
0.014542154,0.552296
0.021147425,0.421639
0.030752912,0.301677
0.04472136,0.203394
0.065034491,0.130113
0.094574161,0.079036
0.137531204,0.045132
0.2,0.023756
0.290843087,0.011223
0.422948505,0.004618
0.615058244,0.0016
0.894427191,0.000447
1.300689825,0.000092
1.891483218,0.000012
2.750624088,0.000001
4,0.00000001
