SA 0.1s [g],POE 50yr
0.0005,0.999698
0.0007338996,0.999266
0.001077217,0.998219
0.001581139,0.995813
0.002320794,0.990649
0.00340646,0.980432
0.005,0.961937
0.007338996,0.931417
0.010772173,0.885561
0.015811388,0.822727
0.023207944,0.743958
0.0340646,0.65304
0.05,0.555429
0.07338996,0.456536
0.10772173,0.360613
0.158113883,0.271039
0.232079442,0.191183
0.340646035,0.124637
0.5,0.073953
0.7338996,0.03942
1.077217345,0.018618
1.58113883,0.007687
2.320794417,0.002737
3.406460345,0.000816
5,0.000203
