SA 0.2s [g],POE 50yr
0.0005,0.999904
0.0007338996,0.999779
0.001077217,0.999446
0.001581139,0.998571
0.002320794,0.996375
0.00340646,0.991243
0.005,0.98028
0.007338996,0.959157
0.010772173,0.922691
0.015811388,0.866391
0.023207944,0.788525
0.0340646,0.691623
0.05,0.582313
0.07338996,0.469198
0.10772173,0.36017
0.158113883,0.261185
0.232079442,0.176687
0.340646035,0.109857
0.5,0.061836
0.7338996,0.031031
1.077217345,0.01364
1.58113883,0.005145
2.320794417,0.001624
3.406460345,0.000411
5,0.000076
