SA 0.60s [g],POE 50yr
0.0005,0.999601
0.000727108,0.998888
0.001057371,0.996926
0.001537646,0.991966
0.002236068,0.980724
0.003251725,0.958155
0.004728708,0.918113
0.00687656,0.855066
0.01,0.766411
0.014542154,0.654572
0.021147425,0.528106
0.030752912,0.400388
0.04472136,0.285206
0.065034491,0.191656
0.094574161,0.121675
0.137531204,0.072816
0.2,0.040522
0.290843087,0.020537
0.422948505,0.00923
0.615058244,0.003565
0.894427191,0.001141
1.300689825,0.000286
1.891483218,0.00005
2.750624088,0.000005
4,0.0000001
