SA 0.3s [g],POE 50yr
0.0005,0.999902
0.0007338996,0.999763
0.001077217,0.999372
0.001581139,0.998292
0.002320794,0.995471
0.00340646,0.98871
0.005,0.974139
0.007338996,0.946249
0.010772173,0.899039
0.015811388,0.828294
0.023207944,0.734025
0.0340646,0.621635
0.05,0.500871
0.07338996,0.382648
0.10772173,0.275885
0.158113883,0.186291
0.232079442,0.116559
0.340646035,0.066711
0.5,0.034364
0.7338996,0.015612
1.077217345,0.00611
1.58113883,0.001998
2.320794417,0.000521
3.406460345,0.000098
5,0.000011
