SA 0.50s [g],POE 50yr
0.0005,0.999756
0.000727108,0.999344
0.001057371,0.998195
0.001537646,0.995183
0.002236068,0.987982
0.003251725,0.972569
0.004728708,0.943305
0.00687656,0.894068
0.01,0.820404
0.014542154,0.721896
0.021147425,0.603815
0.030752912,0.476977
0.04472136,0.354825
0.065034491,0.248694
0.094574161,0.16441
0.137531204,0.102286
0.2,0.059334
0.290843087,0.031547
0.422948505,0.015029
0.615058244,0.006239
0.894427191,0.002182
1.300689825,0.000616
1.891483218,0.000128
2.750624088,0.000017
4,0.000001
