SA 3.00s [g],POE 50yr
0.0005,0.860561
0.000686298,0.798651
0.000942011,0.72156
0.001293,0.630147
0.00177479,0.528051
0.002436,0.421951
0.0033437,0.320288
0.004589553,0.230814
0.0062996,0.158352
0.008646817,0.103899
0.01186859,0.065372
0.016290788,0.039331
0.02236068,0.022408
0.030692193,0.011905
0.042128,0.005788
0.057824748,0.002523
0.079370053,0.000963
0.108943064,0.000312
0.149534878,0.000082
0.205251064,0.000016
0.258172691,0.000002
0.386697399,2.00E-07
0.530779532,8.00E-09
0.728546177,6.00E-11
