group,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_00,1000.0,0.3600756388233064,0.46936295925800275,0.4117709336049629,0.4116765105020419,0.000322969713557427,0.017980350568439732,0.3777653144492593,0.3832736347836664,0.39308050100897846,0.4303005115640318,0.4419716169672281,0.44736574219439074,0.0747275239281532,-0.22623392847608237
group_3s_01,1000.0,0.35404331203073014,0.44989504595156743,0.3930264173353203,0.3927314884260653,0.00020611323234800575,0.014363827898575841,0.3678295534859734,0.37093214151535664,0.3786598737905427,0.4078370218106989,0.417489170689143,0.4228986696347415,0.30111974921266493,0.07644962746418127
group_3s_02,1000.0,0.36230226458020337,0.4537719133518696,0.4032977984877149,0.4024585137913256,0.00024391229627234497,0.01562550647899357,0.37506184551493876,0.3789714888068756,0.38791117152982363,0.419305241708926,0.4306496646860528,0.4364579663774802,0.2457315742261741,-0.13026260739741424
group_3s_03,1000.0,0.4435957159105002,0.5741116126638991,0.49446827817149586,0.49441531080933565,0.0003404987575071166,0.018461841649852293,0.4599612042664015,0.46530554152940745,0.4757630486176198,0.5132945760598668,0.5247252222733229,0.5317942758031744,0.22799335775159485,0.16157255992995978
group_3s_04,1000.0,0.3460388615049858,0.44189499674624355,0.38642843948027505,0.38599961293014917,0.00022361493877987932,0.0149612425138234,0.35786275869081985,0.36248153878026984,0.37209047145135904,0.40133134535496345,0.4122001259607968,0.41640709258116526,0.17014185751499136,0.07627580973690762
group_3s_05,1000.0,0.3253702018935538,0.44334180626014696,0.3749583432798097,0.3743999839193207,0.0002704520979780842,0.016453656760698612,0.343060071472366,0.3478941859869315,0.3587161264051056,0.3911644288214327,0.40135706516845054,0.407425374353123,0.13119459058294794,0.36359747873808024
group_3s_06,1000.0,0.3257765045071144,0.4586761992493621,0.3748174527960336,0.3744730913184128,0.00029754818814419913,0.017258216425180717,0.34127387581705787,0.34733585792460364,0.358374930544822,0.3911962984727291,0.4038752881549438,0.41012754027943776,0.19757929462666302,0.5631153600233985
group_3s_07,1000.0,0.32562487191370976,0.4417982139310482,0.3755456140055136,0.37505199952196855,0.00028224757896522614,0.016808631981047727,0.3428741981677418,0.3482852007020747,0.35893428129934907,0.3919318409594815,0.4031647959287664,0.40873496830887185,0.12200169038067835,0.21254906569472487
group_3s_08,1000.0,0.34615068062130977,0.45394257618772177,0.38503138983030977,0.3841815161400407,0.00023352139325817775,0.01528905322139289,0.35672752119588214,0.36032230736899,0.37063751345145324,0.4002496895841006,0.41138674489916405,0.4150226121119391,0.3043788710871866,0.22392314432745497
group_3s_09,1000.0,0.39479295900823624,0.5074843552386213,0.4462082295176527,0.4456028214129033,0.0003194237036378871,0.017881371510177067,0.4132560883944052,0.4169213427510444,0.42893423676689424,0.46314293578354093,0.47618546866779093,0.4839604545749937,0.24757008386315366,0.07693864083829016
group_3s_10,1000.0,0.4010071956376806,0.5673287768682848,0.47735359639294134,0.47829344453312295,0.0006714982749997362,0.02592625012309303,0.42774202333831207,0.43427089182692524,0.4516808809795248,0.5023429720185991,0.519714905172048,0.5261115439654275,0.038065573774808105,0.08095254847962785
group_3s_11,1000.0,0.7382078564636462,0.9578454425301955,0.8441429445110056,0.8430759136053174,0.0012378250318063736,0.035200342269675104,0.7784189100300677,0.7890321254346814,0.810310375082892,0.8778538707024577,0.9009139006691078,0.9154366612962064,0.1764854130702,0.10490269692820453
group_3s_12,1000.0,0.3946192114279853,0.536397191700132,0.46468343012739416,0.4646340404200556,0.00036529677593046,0.01912230212000712,0.42893962810273556,0.4339941195646569,0.44520865776296176,0.48394642698090534,0.4953943175734981,0.5014160350448604,0.07366548640338333,0.08758804910865114
group_3s_13,1000.0,0.4034079758603017,0.5307459660114542,0.4557027433624321,0.4548299400683167,0.00031958880586014147,0.01788599213280371,0.42254614115087835,0.4275146865185207,0.4382853283688277,0.47426799353987975,0.4851013444787515,0.49297649155771045,0.26324302836796987,0.3443063259231778
group_3s_14,1000.0,0.3726757433986187,0.559309422081548,0.4728817551912751,0.4743238465375873,0.0006499104486608815,0.025506097499824472,0.423109785791482,0.43211441172545256,0.4473687943013005,0.4970911235543211,0.5139236918277877,0.5197665846994546,-0.13469813626554933,0.26577182868940596
group_3s_15,1000.0,0.7236335432760947,1.0604230016689544,0.911570147204353,0.9116602921289007,0.002820278871509202,0.053132870932057534,0.8044568663487613,0.8221562358091145,0.8616934826655175,0.9632147047002542,0.9982411663405085,1.0186096232596467,-0.10040877410069693,0.1312916570605993
group_3s_16,1000.0,0.39351747504108053,0.5420673988692796,0.46323628317433946,0.4645092548100336,0.0004976033112369006,0.022318185693500046,0.41796861649772077,0.42477305269794874,0.44109838798398543,0.48478244302106904,0.4981265886085365,0.5034848135270704,-0.045201065802141185,0.11392438565162433
group_3s_17,1000.0,0.5020379702058659,0.7413654604909312,0.6040133867705485,0.6012874000203337,0.0011381885340457942,0.033753931058584895,0.5428537933630295,0.552197623394977,0.5722364237542271,0.6366754683261233,0.6588895347689503,0.6754264842276225,0.3121352206553196,0.45155733648083674
group_3s_18,1000.0,0.4817001540800187,0.7451461736374821,0.5903668438260006,0.5882953653414149,0.0011418629503419178,0.03380837109797241,0.5261892528909534,0.5379765758371431,0.558398349106408,0.6230260635604121,0.6487747234888329,0.6612031868157999,0.24162082892824713,0.3975824151548242
group_3s_19,1000.0,0.4910426151291758,0.706792029380861,0.6024269640302735,0.6018644315827908,0.0009154710102516681,0.030271891213621217,0.5426540176403306,0.5539131106094337,0.5750952956413593,0.6318323377368935,0.6507178712132682,0.6642589153232196,0.09517741673625402,0.3452729965164183
group_3s_20,1000.0,0.5475948353836044,0.7390472331025075,0.6360718908014537,0.6346201811752183,0.0009108509751193135,0.03019540921824327,0.5793515473428499,0.5874204216633243,0.6061859036811454,0.6659247775359401,0.6855476536685641,0.6961639833223875,0.23301890803678113,0.2996262216067507
