site,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
0,3,5000.0,0.35187746892414734,0.48710672907366936,0.4120142034036671,0.4116258821982832,0.00032377489908429425,0.01799554575492774,0.378187517269296,0.3832553377530521,0.3937278772749365,0.43059484301363177,0.44194607982430906,0.44748348816096273,0.12160694352162581,-0.0460393878159473
0,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
1,3,5000.0,0.34991410995971683,0.47525141752728733,0.39332017604026714,0.39247204710180406,0.0002120061265884865,0.014561886426412811,0.367643336811625,0.3711585842058813,0.3787723978193838,0.40751637658696827,0.41856117537888266,0.42423142688980364,0.4032261884241491,0.5056099734550492
1,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
2,3,5000.0,0.34991410995971683,0.47525141752728733,0.39332017604026714,0.39247204710180406,0.0002120061265884865,0.014561886426412811,0.367643336811625,0.3711585842058813,0.3787723978193838,0.40751637658696827,0.41856117537888266,0.42423142688980364,0.4032261884241491,0.5056099734550492
2,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
3,3,5000.0,0.35265089123357124,0.47738738068268194,0.40337515619704484,0.4028484759444024,0.0002461974706410694,0.015692250316161362,0.37456111340455817,0.37864051839333246,0.3878330804371334,0.4192450048921281,0.4297514671987832,0.43547081214147493,0.24000824621799166,0.10777700999122031
3,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
4,3,5000.0,0.35187746892414734,0.48710672907366936,0.4120142034036671,0.4116258821982832,0.00032377489908429425,0.01799554575492774,0.378187517269296,0.3832553377530521,0.3937278772749365,0.43059484301363177,0.44194607982430906,0.44748348816096273,0.12160694352162581,-0.0460393878159473
4,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
5,3,5000.0,0.34991410995971683,0.47525141752728733,0.39332017604026714,0.39247204710180406,0.0002120061265884865,0.014561886426412811,0.367643336811625,0.3711585842058813,0.3787723978193838,0.40751637658696827,0.41856117537888266,0.42423142688980364,0.4032261884241491,0.5056099734550492
5,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
6,3,5000.0,0.34991410995971683,0.47525141752728733,0.39332017604026714,0.39247204710180406,0.0002120061265884865,0.014561886426412811,0.367643336811625,0.3711585842058813,0.3787723978193838,0.40751637658696827,0.41856117537888266,0.42423142688980364,0.4032261884241491,0.5056099734550492
6,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
7,3,5000.0,0.4331105508702034,0.5948661694287405,0.4946670248317337,0.4942795583338828,0.00035638670910943083,0.01888009535753389,0.45876549013449924,0.465181505231303,0.4762183844076487,0.5133420481083463,0.5257773982160676,0.5318522756055791,0.19467840920508336,0.3573796722215059
7,5,5000.0,0.39373527257900426,0.5449572677571832,0.4651465953855115,0.46491031420553475,0.0004448988554154403,0.02109473519592122,0.42443905716476493,0.430641509977897,0.44425046310006494,0.4858580233702814,0.4995765900209509,0.5075327108527917,0.04915172615755385,0.06175526693348088
8,3,5000.0,0.35187746892414734,0.48710672907366936,0.4120142034036671,0.4116258821982832,0.00032377489908429425,0.01799554575492774,0.378187517269296,0.3832553377530521,0.3937278772749365,0.43059484301363177,0.44194607982430906,0.44748348816096273,0.12160694352162581,-0.0460393878159473
8,5,5000.0,0.3024093975007517,0.4320979411889754,0.35236647873267346,0.35196403609778004,0.000228097492736778,0.015104407348884968,0.3239451340838524,0.32841531388141065,0.33772551156143554,0.3672545757453032,0.3783264346686951,0.3835106390405683,0.24587443218856014,0.3019810275976966
