group,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,3,5000.0,-0.00026999350264067523,0.044502876772860724,0.0006293657189679823,0.0007214215225401875,-0.0009902530205302133,0.006066877519372543,0.42899302345765455,-0.00026999350264067523,0.006066877519372543,0.42899302345765455
group_3s_01,3,5000.0,-0.00021493373914693858,0.03966483822978013,0.0005609455217388989,0.0005725591545346125,-0.0007866496958973139,0.005418747402972327,0.38316330341787264,-0.00021493373914693858,0.005418747402972327,0.38316330341787264
group_3s_02,3,5000.0,-0.0003709427363383089,0.038946799435347935,0.0005507909197249385,0.0003885244520422004,-0.0007584265931286091,0.009524344534499617,0.6734728606701711,-0.0003709427363383089,0.009524344534499617,0.6734728606701711
group_3s_03,3,5000.0,-0.0001592522429535448,0.03977475577133646,0.0005624999905190156,0.0006325005840032742,-0.0007910155983347316,0.0040038521887872745,0.2831151033560083,-0.0001592522429535448,0.0040038521887872745,0.2831151033560083
group_3s_04,3,5000.0,0.00015476438182981944,0.03822464124758058,0.0005405780606917447,0.0008860742949457028,-0.0007305615992531191,0.004048811886223137,0.28629423404970766,0.00015476438182981944,0.004048811886223137,0.28629423404970766
group_3s_05,3,5000.0,-0.0003340130472784253,0.03882452728221369,0.0005490617303523084,0.0004198459566028442,-0.0007536719593436773,0.00860314524502771,0.6083342342291896,-0.0003340130472784253,0.00860314524502771,0.6083342342291896
group_3s_06,3,5000.0,-0.0004159155213960819,0.037530776626232776,0.0005307653331121354,0.0002889078481964546,-0.0007042795970840901,0.01108198547389959,0.7836147077605217,-0.0004159155213960819,0.01108198547389959,0.7836147077605217
group_3s_07,3,5000.0,-0.0002639685331253805,0.03897081797870547,0.0005511305932225851,0.0004956861584393174,-0.0007593623269646968,0.006773492238977863,0.4789582294495699,-0.0002639685331253805,0.006773492238977863,0.4789582294495699
group_3s_08,3,5000.0,0.00016180542855814828,0.03870149640243257,0.0005473218109645369,0.0009113906103685602,-0.0007489029118937506,0.004180857165718741,0.29563124530520907,0.00016180542855814828,0.004180857165718741,0.29563124530520907
group_3s_09,3,5000.0,-4.961261526370553e-05,0.03597551501654184,0.0005087706124975041,0.0005979705460678486,-0.0006471188403527135,0.0013790661576600985,0.09751470317863321,-4.961261526370553e-05,0.0013790661576600985,0.09751470317863321
group_3s_10,3,5000.0,4.752241291816617e-05,0.044503011530045204,0.0006293676247223614,0.001037648515558519,-0.000990259017621668,0.0010678471250441667,0.07550819433892894,4.752241291816617e-05,0.0010678471250441667,0.07550819433892894
group_3s_11,3,5000.0,-3.460156380269419e-05,0.05291811871239228,0.0007483752117833462,0.0013657314445887647,-0.0014001636440294208,0.0006538698775508672,0.04623558244298357,-3.460156380269419e-05,0.0006538698775508672,0.04623558244298357
group_3s_12,3,5000.0,6.976242525791321e-05,0.035505588503825444,0.0005021248480214819,0.0006997101471831922,-0.0006303234075014907,0.0019648294310175103,0.13893442145473875,6.976242525791321e-05,0.0019648294310175103,0.13893442145473875
group_3s_13,3,5000.0,4.335570697155955e-05,0.03672513868477016,0.0005193718920803477,0.0007180365923620307,-0.0006743679057078008,0.0011805457657683147,0.0834771916475841,4.335570697155955e-05,0.0011805457657683147,0.0834771916475841
