group,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_00,3,5000.0,0.1161050416293731,0.2964802101186915,0.21001947808145774,0.21026213390698856,0.0005683582182536724,0.023842649027241074,0.16314981954611302,0.17051576647023228,0.1862078279802938,0.23387077075623092,0.24911858967788006,0.2554608789696584,-0.06755153048995753,-0.05888164298803478
group_3s_01,3,5000.0,0.0958223194779985,0.2573562110966417,0.18481677725052176,0.18571352681555095,0.0004649347168082908,0.021564501439930425,0.13970874220207402,0.14815645210246497,0.16424024629684422,0.2060616010449005,0.2187286090428701,0.22414925055696133,-0.22694628477240428,0.25295014985075737
group_3s_02,3,5000.0,0.0776752645285794,0.2789896110305168,0.18203510316521362,0.18232136582205555,0.0008367112409265534,0.02892885439573927,0.1265267960711643,0.13468012954159056,0.15240199070441482,0.2115421712463562,0.2292967782914701,0.2377689508731206,0.010225441544765446,-0.22607929787151537
group_3s_03,3,5000.0,0.1070642675208188,0.2666316485013918,0.18527363906450617,0.1854935786732856,0.0005155240764679269,0.02270742614010466,0.14036791088478087,0.14703600525399052,0.16239548378128657,0.20816615367383504,0.22146463854514223,0.22865030865025304,-0.08497141516763672,-0.10187365315272956
group_3s_04,3,5000.0,0.0987844914576603,0.2676193276742785,0.17642487039084018,0.17612352420091176,0.000570601346136098,0.023889652346443736,0.1298373657518804,0.1378291347095434,0.15239920252517805,0.20020838117878204,0.21650490602072897,0.2235071791880553,0.05381661854329092,-0.08392248669883084
group_3s_05,3,5000.0,0.0681959918985848,0.2697775608350123,0.1822233657053354,0.1831350737363785,0.0006683992040333838,0.02585600337669198,0.12864977184786902,0.13767351973858646,0.15630732956040236,0.2082796251784796,0.2223864643477545,0.22949091986022002,-0.21601510612623587,0.07567622288576192
group_3s_06,3,5000.0,0.0693543052928298,0.2612046276409418,0.17480277519005008,0.17577286648347765,0.0007205802893206654,0.02684631137060559,0.11875483601046842,0.1281662013746686,0.14827009533386598,0.20150598940363706,0.2162845668361915,0.22372813234939076,-0.238939824519381,0.06415743841625687
group_3s_07,3,5000.0,0.0708359726049553,0.2702744952540878,0.18297514202914908,0.18362389082850156,0.0006568132292578887,0.025630930887923776,0.13010572122221162,0.13878452473764058,0.15731655615584728,0.20881752197965073,0.2229806144463877,0.22932291593129134,-0.21673325459390827,0.07961402178067045
group_3s_08,3,5000.0,0.1001417447406345,0.2679242762064794,0.17884753695866712,0.17854819090887564,0.0005569324243801661,0.023601776059161212,0.13339768339153818,0.14066244731305147,0.1551991310497551,0.202226072067852,0.21807501116869119,0.22431165589258828,0.04754267000365125,-0.08541360226026162
group_3s_09,3,5000.0,0.0961289913660083,0.2237928016233123,0.16676925713749935,0.1673053130873408,0.0003124712568734987,0.017678624483432638,0.1307738398282486,0.13663566859020893,0.1491765706055093,0.1841739709810189,0.19452896178579432,0.1998434471805559,-0.1990813975632946,0.0323099993814111
