site,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
0,1000.0,-0.008860929993786737,0.16301337443422295,0.005154935522820064,0.004624170059105646,-0.013286680122216085,0.0543570736115409,1.7189215955390393,0.0,0.0,0.0
1,1000.0,-0.01605247282159583,0.15289730604642865,0.00483503735210549,-0.004327941393637285,-0.011688793098127634,0.10498859160227031,3.320030777964009,0.0,0.0,0.0
2,1000.0,-0.0068572051409387935,0.1525034221043012,0.004822581648196603,0.00480127251957158,-0.011628646876761333,0.04496427061321264,1.4218950846592788,0.0,0.0,0.0
3,1000.0,-0.011188795390155049,0.13888194429287354,0.004391832698381034,-0.0015966543004349713,-0.009644097225284413,0.08056335506478923,2.54763697949596,0.0,0.0,0.0
4,1000.0,0.00970553600838775,0.20284784207484022,0.0064146119940663065,0.03140243472019754,-0.02057362351720966,0.047846385296063026,1.5130355534154893,0.0,0.0,0.0
5,1000.0,-0.008293965035607531,0.1658782610855275,0.005245531193383415,0.005666615942504151,-0.013757798750379212,0.050000313370364605,1.581148739725223,0.0,0.0,0.0
6,1000.0,-0.001328847191818916,0.16856916732194901,0.00533062512015385,0.013098380372060093,-0.014207782085807622,0.00788309756125781,0.24928543310893403,0.0,0.0,0.0
7,1000.0,0.06737450409986456,0.12914499576128183,0.004083923350184416,0.07853544234834677,-0.008339214965090751,0.5216965915148816,16.497494767334985,0.0,0.0,0.0
8,1000.0,-0.01427893073575448,0.16844951508314732,0.005326841384136333,-0.00021330446325265457,-0.014187619565873737,0.08476682600544351,2.68056240200394,0.0,0.0,0.0
9,1000.0,-0.007837667636121592,0.1344979703908268,0.0042531992710489975,0.001246004194610242,-0.009044852019625864,0.05827350117884118,1.842769909576452,0.0,0.0,0.0
10,1000.0,-0.007707353863684263,0.16326823973237503,0.00516299507120705,0.005491332654865617,-0.013328259052654142,0.0472066941881529,1.4928067444159638,0.0,0.0,0.0
