site,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
0,3,5000.0,0.0906008215159101,0.35182609992742064,0.20317388565635347,0.2007536738111801,0.0008390706978291476,0.028969614176551528,0.1529306618743454,0.16097952483247385,0.17537581408430197,0.23043840952832187,0.25521511800456376,0.26698060731302053,0.5526310418966892,0.905969159762265
0,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
1,3,5000.0,0.06723632331750282,0.3529497023529073,0.15752133845591637,0.15483335007068066,0.0009142129894792907,0.030238979292512857,0.10543463264794264,0.11382607748895716,0.1293666784791215,0.18519355894008183,0.21200988586704375,0.22562667188329175,0.6620588524823637,1.3531031352215974
1,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
2,3,5000.0,0.06723632331750282,0.3529497023529073,0.15752133845591637,0.15483335007068066,0.0009142129894792907,0.030238979292512857,0.10543463264794264,0.11382607748895716,0.1293666784791215,0.18519355894008183,0.21200988586704375,0.22562667188329175,0.6620588524823637,1.3531031352215974
2,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
3,3,5000.0,0.0756376307466057,0.35250328353140525,0.17933512042311012,0.17607069550089952,0.0009973780048054392,0.031584450609587957,0.12674069704695254,0.13437484769747154,0.1496019559907238,0.2088435002642985,0.2353632380798398,0.25067651228050913,0.6975214051742344,1.285170906308032
3,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
4,3,5000.0,0.0906008215159101,0.35182609992742064,0.20317388565635347,0.2007536738111801,0.0008390706978291476,0.028969614176551528,0.1529306618743454,0.16097952483247385,0.17537581408430197,0.23043840952832187,0.25521511800456376,0.26698060731302053,0.5526310418966892,0.905969159762265
4,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
5,3,5000.0,0.06723632331750282,0.3529497023529073,0.15752133845591637,0.15483335007068066,0.0009142129894792907,0.030238979292512857,0.10543463264794264,0.11382607748895716,0.1293666784791215,0.18519355894008183,0.21200988586704375,0.22562667188329175,0.6620588524823637,1.3531031352215974
5,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
6,3,5000.0,0.06723632331750282,0.3529497023529073,0.15752133845591637,0.15483335007068066,0.0009142129894792907,0.030238979292512857,0.10543463264794264,0.11382607748895716,0.1293666784791215,0.18519355894008183,0.21200988586704375,0.22562667188329175,0.6620588524823637,1.3531031352215974
6,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
7,3,5000.0,0.06725984617305866,0.42990153991617275,0.16787297202280674,0.16339045258190737,0.0015336926293421772,0.03916630476861486,0.10284212804705575,0.1115978159919135,0.13064976105602774,0.20377940703152086,0.23762265172318459,0.256693055468731,0.8089145349874272,1.7380777091401738
7,5,5000.0,0.06919097511621762,0.43741432597860685,0.19737230588535798,0.19336731121187972,0.0016110851801360972,0.040142340011868054,0.1300368520214027,0.13865859376350964,0.1598357560767041,0.23567712974866853,0.26857430551927364,0.2859809954603588,0.6451814821965574,1.0616547944006012
8,3,5000.0,0.0906008215159101,0.35182609992742064,0.20317388565635347,0.2007536738111801,0.0008390706978291476,0.028969614176551528,0.1529306618743454,0.16097952483247385,0.17537581408430197,0.23043840952832187,0.25521511800456376,0.26698060731302053,0.5526310418966892,0.905969159762265
8,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
9,3,5000.0,0.09743623154342845,0.3227908339264105,0.17475760605390045,0.172085201159265,0.0008623779983778008,0.029369210212048545,0.12450374117587816,0.13188750564308105,0.14591550174454307,0.2030632494237949,0.22559425248508247,0.24119178008490905,0.5828789002919215,0.671383606863234
9,5,5000.0,0.0869575855839308,0.41560522485408014,0.1814152662054302,0.17818424476486128,0.001348461662312592,0.036725078741839494,0.12257388856740412,0.12835836667682146,0.14776708768708388,0.21722043077099967,0.24732654844876345,0.26643116979743997,0.8812989050749769,1.8870450193317838
10,3,5000.0,0.06725984617305866,0.42990153991617275,0.16787297202280674,0.16339045258190737,0.0015336926293421772,0.03916630476861486,0.10284212804705575,0.1115978159919135,0.13064976105602774,0.20377940703152086,0.23762265172318459,0.256693055468731,0.8089145349874272,1.7380777091401738
10,5,5000.0,0.08969550280398865,0.518906112448749,0.20350904763178954,0.20030832729855347,0.0013987099503365164,0.03740307137503782,0.14063226616682534,0.14924777944750311,0.16817920387527777,0.23888052910415075,0.27015597403346353,0.2856887029611973,0.7624093774071069,2.1211913859859957
11,3,5000.0,0.06725984617305866,0.42990153991617275,0.16787297202280674,0.16339045258190737,0.0015336926293421772,0.03916630476861486,0.10284212804705575,0.1115978159919135,0.13064976105602774,0.20377940703152086,0.23762265172318459,0.256693055468731,0.8089145349874272,1.7380777091401738
11,5,5000.0,0.08260151873182703,0.40285770469112303,0.18617587136464614,0.18251098061664434,0.001362716500828746,0.036918682244203624,0.12423802684439612,0.13315553389334553,0.15093487640024333,0.2211456035719685,0.2515596536020311,0.267817182117726,0.7185984983387866,1.3129514712982306
