group,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,1000.0,-0.0008067571893390912,0.044003245518861825,0.001391504802792011,0.0001617168190677895,-0.0009681428080966166,0.018334038315271035,0.5797731978505271,-0.0008067571893390912,0.018334038315271035,0.5797731978505271
group_3s_01,1000.0,-0.001307188496383227,0.03952301416411544,0.0012498274475370068,-0.0005261154323527127,-0.0007810343243084348,0.03307410945317214,1.0458951745373009,-0.001307188496383227,0.03307410945317214,1.0458951745373009
group_3s_02,1000.0,-0.0004037540748041968,0.038829556415426986,0.0012278983880675254,0.00035114025552619775,-0.0007538672257094135,0.01039811195586528,0.3288171714596251,-0.0004037540748041968,0.01039811195586528,0.3288171714596251
group_3s_03,1000.0,-0.0002457760393410613,0.039285839069165815,0.0012423273124939319,0.0005262211448832144,-0.0007716885756841976,0.006256097493764947,0.19783517344368276,-0.0002457760393410613,0.006256097493764947,0.19783517344368276
group_3s_04,1000.0,-0.00040459605181708547,0.037670520390985895,0.001191246450793321,0.0003053593476850914,-0.0007095340532638421,0.01074038923852776,0.33964092950509206,-0.00040459605181708547,0.01074038923852776,0.33964092950509206
group_3s_05,1000.0,-0.0008600136774716827,0.038246015744746495,0.0012094452118005994,-0.00012960167666726304,-0.0007313788601736985,0.022486359970445152,0.7110811379304322,-0.0008600136774716827,0.022486359970445152,0.7110811379304322
group_3s_06,1000.0,-0.00036860108043357265,0.03677922857659616,0.0011630613288599648,0.00030734095930285766,-0.0006763558273447538,0.010021990528320264,0.31692316758126265,-0.00036860108043357265,0.010021990528320264,0.31692316758126265
group_3s_07,1000.0,-0.0007711889063828359,0.038377971819715015,0.001213618029280564,-3.542784911282765e-05,-0.00073643436049742,0.020094571698723043,0.6354461517352364,-0.0007711889063828359,0.020094571698723043,0.6354461517352364
group_3s_08,1000.0,-0.0005184023062523302,0.038293225434571254,0.0012109381132753626,0.00021496935818537288,-0.0007331855570914473,0.013537702827830084,0.42809975222445373,-0.0005184023062523302,0.013537702827830084,0.42809975222445373
group_3s_09,1000.0,-8.810800879033298e-05,0.0361503360098361,0.0011431739997148523,0.0005647792336798946,-0.0006534233968120264,0.0024372666623723714,0.07707313918293297,-8.810800879033298e-05,0.0024372666623723714,0.07707313918293297
group_3s_10,1000.0,-0.0006214132870149269,0.04575082435278364,0.0014467680978509515,0.00042203863195926043,-0.0010465689644796302,0.013582559348509706,0.4295182399570342,-0.0006214132870149269,0.013582559348509706,0.4295182399570342
group_3s_11,1000.0,5.619526308503486e-05,0.05247563948842616,0.001659425424572997,0.001430733455078482,-0.0013768463698596355,0.0010708828636081527,0.03386428956245203,5.619526308503486e-05,0.0010708828636081527,0.03386428956245203
group_3s_12,1000.0,-0.0005405236280392467,0.036020952812695795,0.0011390825437756725,0.00010620621399690111,-0.0006487545207672286,0.01500581150226365,0.4745254248630605,-0.0005405236280392467,0.01500581150226365,0.4745254248630605
group_3s_13,1000.0,1.9054025003573116e-05,0.03690410381123653,0.0011670102305080803,0.0006986572549399174,-0.0006809564390552614,0.0005163118199816998,0.01632721334009007,1.9054025003573116e-05,0.0005163118199816998,0.01632721334009007
group_3s_14,1000.0,-0.0011611709496328615,0.04594469920388536,0.001452898958956026,-0.00010814930192320405,-0.0010554576924677519,0.025273229986336833,0.7992097058609057,-0.0011611709496328615,0.025273229986336833,0.7992097058609057
group_3s_15,1000.0,0.0005198641782415414,0.06650071325194266,0.002102937199018816,0.0027195630822690916,-0.0022111724315085515,0.007817422593228424,0.24720860826661803,0.0005198641782415414,0.007817422593228424,0.24720860826661803
group_3s_16,1000.0,-0.000621267735718467,0.044620072992451895,0.0014110106001911308,0.00037218691454157847,-0.0009954754569258676,0.013923503348449544,0.44029983590081617,-0.000621267735718467,0.013923503348449544,0.44029983590081617
group_3s_17,1000.0,0.00010565439516174724,0.04659079574122205,0.0014733303254193457,0.0011906196115916605,-0.0010853511239001376,0.0022677096083222204,0.07171127434146543,0.00010565439516174724,0.0022677096083222204,0.07171127434146543
group_3s_18,1000.0,0.0004289300855595535,0.04816826814510645,0.001523214382842703,0.0015885387512455341,-0.0011600910280494382,0.00890482680978701,0.2815953488825792,0.0004289300855595535,0.00890482680978701,0.2815953488825792
group_3s_19,1000.0,-0.0006809278525957696,0.049602639654944825,0.0015685731926621419,0.0005499542018846213,-0.0012302109303691524,0.013727653554983515,0.43410652163455404,-0.0006809278525957696,0.013727653554983515,0.43410652163455404
group_3s_20,1000.0,-0.00018621829218928854,0.043800436010080344,0.001385091403003117,0.0007730189787885228,-0.0009592390973365715,0.00425151686038997,0.13444476789440407,-0.00018621829218928854,0.00425151686038997,0.13444476789440407
group_3s_21,1000.0,-0.00021668169666533288,0.04379306214981321,0.0013848582210671974,0.000742174578412165,-0.0009589161462287011,0.004947854432377414,0.15646489537272196,-0.00021668169666533288,0.004947854432377414,0.15646489537272196
group_3s_22,1000.0,-0.0002986786456753432,0.05406089778872032,0.0017095556936591642,0.0011607160912689444,-0.0014612903348612328,0.005524855448065863,0.17471126959078237,-0.0002986786456753432,0.005524855448065863,0.17471126959078237
group_3s_23,1000.0,0.00011669140620398921,0.05200078024888398,0.0016444090569237091,0.001466533851839347,-0.001352040573246361,0.0022440318327049255,0.07096251733269492,0.00011669140620398921,0.0022440318327049255,0.07096251733269492
group_3s_24,1000.0,0.0005346043527124644,0.049911220402937724,0.0015783313727195018,0.0017800755505776936,-0.0012455649610553135,0.010711105607046991,0.3387148997686897,0.0005346043527124644,0.010711105607046991,0.3387148997686897
