k,group_3s_00,group_3s_01,group_3s_02,group_3s_03,group_3s_04,group_3s_05,group_3s_06,group_3s_07,group_3s_08,group_3s_09,group_3s_10,group_3s_11,group_3s_12,group_3s_13,group_3s_14,group_3s_15,group_3s_16,group_3s_17,group_3s_18,group_3s_19,group_3s_20,group_3s_21,group_3s_22,group_3s_23,group_3s_24
0,0.2050723150240983,0.1879355261070183,0.16631573523917217,0.21018927804035653,0.18520017259512886,0.18613592761465356,0.17792031826873125,0.18724675513119285,0.1835158661431066,0.18406131806285894,0.21261277962792952,0.297572992468551,0.17812547544450424,0.17947106994200127,0.22852363442519882,0.3271355045205401,0.20855879626144683,0.2288022847292762,0.24791433009182876,0.27461041984554346,0.22296947452763988,0.22251561041840323,0.30208553929412213,0.29284013181024415,0.25354177851293735
1,0.21506163517476068,0.16550015213663893,0.1529793957730328,0.1763493434608962,0.14547814434424758,0.15774277124867722,0.1454000700797436,0.15787095981534782,0.1445099925749009,0.1705350456656648,0.2184593512932832,0.2450499943891335,0.18464236277521523,0.19746445966989076,0.22183635360236742,0.27027087878037254,0.2145179408339373,0.2468244420062281,0.25281415869454843,0.23883535744200354,0.22467170516542853,0.2250852314625935,0.2478828980446001,0.24084215137757717,0.25764662712529657
2,0.2317236147610246,0.18235206454165076,0.21098862087790474,0.16654069178839595,0.16437629354533012,0.18585212072071836,0.17861596162928933,0.18626624737224168,0.16541157299940445,0.1820588063477973,0.1923821359878716,0.26462666584064937,0.13534716755167567,0.1730402967278508,0.19421303747332092,0.3220060649596548,0.18989017330402239,0.26907554972864134,0.24924210906391164,0.24887730911328093,0.2388173075274893,0.23778332933561996,0.25662472352349835,0.26149045507602353,0.3122954714781608
3,0.17541838716310443,0.18974974958854576,0.16407091843823018,0.20529049770245744,0.16258921435534923,0.18060602195285494,0.17083981492430306,0.17999470341929488,0.17053662876175474,0.16746854861299482,0.21824857473085207,0.2649522651991353,0.17151901712375145,0.17021748583664958,0.20958634809314758,0.38508936837518953,0.21673539299719202,0.21708549890686413,0.22336093297658005,0.24440636551728354,0.19769664718478752,0.19840304994542912,0.2745608255589809,0.26262514615796523,0.22116943554648627
4,0.22648072514595605,0.19584887210130367,0.1884793952782836,0.1850706705067483,0.1682348106503536,0.20906889487881544,0.19379104758704224,0.20770185323087248,0.16627406632873618,0.17155023110962941,0.21218985677629862,0.25578844393585765,0.15378623283658605,0.18709117640252118,0.2156181279141576,0.2956788641925803,0.20837155083353093,0.2437059795098764,0.2450929234121804,0.25632089477896214,0.23703770992689893,0.23838305041001737,0.28239292152157747,0.25585418184452374,0.238592782941923
5,0.24369533856834777,0.22261040495778883,0.20558732963911172,0.1764002981547931,0.1976165422217055,0.1767370498348826,0.17494074308438154,0.17832525322956377,0.19991805678604033,0.15910127434617932,0.2048813893282085,0.35695439056066464,0.150241802848672,0.13551911286324975,0.21002012354312607,0.4006397233799292,0.20548184259367339,0.24451123089663748,0.24114149562395026,0.3369023583527707,0.23840900251625893,0.23674561495540844,0.3487037406420259,0.3542549228277109,0.30975153632486646
6,0.24695986159472086,0.1835037766950732,0.2416102807416126,0.19477230315754562,0.20797606339232869,0.1938078113726085,0.19012315828296172,0.19559678514710566,0.20585094429203377,0.18743636832396376,0.21105151954048906,0.27900554578961445,0.1645810628327341,0.1534660208054765,0.22184643891238803,0.3097450855289142,0.20916160398363262,0.19630057325037376,0.2162635588907507,0.264985055355172,0.20608542574721525,0.20571959702614445,0.31427913115665496,0.27630391208269756,0.20084891106758335
7,0.1951300980919559,0.20997073288214382,0.15972876925073,0.20428084133488603,0.19461902153458663,0.21076103153824782,0.20789837809500306,0.21184003383568772,0.1929429158839551,0.16421261101986842,0.2159483204823679,0.3241964294354156,0.16521804281928557,0.16180978067458152,0.22022295259072996,0.3579459885067639,0.21368460431964212,0.19933130844505037,0.20030985608030574,0.30544009326385174,0.20436020194779747,0.20397189841424918,0.33534554765373303,0.3235374696896791,0.22061451473042865
8,0.187505573598581,0.1725648353031067,0.1553954948272938,0.2016295848497105,0.1536875967226732,0.14298109431015618,0.14038115801703444,0.14423183504555626,0.16322403913326602,0.16964880776018645,0.1990608283267542,0.21703720121391887,0.16469098171487212,0.1832680736107867,0.18935385159073764,0.3552059272136583,0.19532939905273594,0.2150149008922671,0.23819758197530827,0.2049340761317615,0.18966317276433692,0.18972094874432852,0.20524958770129761,0.20908812372499513,0.23657692515091183
9,0.1999255933757771,0.18281609013969533,0.16966574399009313,0.17741739382639599,0.16985209142934662,0.18310343805403503,0.17989756484712366,0.18318143809665408,0.171878206183334,0.17465039965986578,0.2520934226495513,0.2748070648717382,0.1909803614649784,0.2054942121950038,0.2538094859452148,0.3416140402122892,0.24925007828146192,0.26399102470315416,0.2539681749549469,0.25531638594892453,0.24089447738481523,0.24088215701589932,0.28995583954412213,0.27050149194048423,0.26970116753880546
