k,group_3s_00,group_3s_01,group_3s_02,group_3s_03,group_3s_04,group_3s_05,group_3s_06,group_3s_07,group_3s_08,group_3s_09,group_3s_10,group_3s_11,group_3s_12,group_3s_13,group_3s_14,group_3s_15,group_3s_16,group_3s_17,group_3s_18,group_3s_19,group_3s_20,group_3s_21,group_3s_22,group_3s_23,group_3s_24
0,0.4144577236949478,0.392391122348847,0.4008581311669158,0.48411570230888556,0.37935349141894836,0.3728332283232262,0.3746444075628903,0.37124871758697753,0.3722224211576609,0.4383800467186104,0.5001135062264975,0.8752951845296866,0.475370361272129,0.4676328339096095,0.5031247029198903,0.9250489582346575,0.4822846688261897,0.6231783610909095,0.6076471448452317,0.5973993285031802,0.6528811372938287,0.6528811372938287,0.8426957990696007,0.8722712215784733,0.6131042388272162
1,0.41557350678068466,0.3956174508424294,0.3981284422765117,0.4933447394162142,0.4027737405219218,0.3847185971990349,0.3817535363343897,0.38724190232842426,0.3988620693713921,0.45851896450923907,0.4771631190020616,0.8109905664482655,0.4804177684370818,0.4700554224709984,0.4685893042710967,0.8549437522396346,0.46217633924549145,0.5992649429317571,0.5666748722357273,0.5863080230133959,0.6428152612882532,0.6428152612882532,0.7718833408023041,0.8088811420023365,0.5956404115419232
2,0.4431899253331521,0.4141624320240807,0.41352607996129415,0.511799053092316,0.417444196368018,0.3936775927284013,0.38918802074067926,0.3987279212775034,0.4151487132367003,0.47361650925189047,0.5048198041579509,0.8642447905201397,0.4994463402753048,0.4773408205757455,0.5077757639484195,0.8922426905266955,0.48300655387201014,0.6420262078768196,0.6069946135367548,0.6111354918993965,0.6739395608775851,0.6739395608775851,0.8328955228638237,0.8614183376786242,0.6169632717524958
3,0.3753690199598019,0.38327662476053603,0.37372608891250386,0.46958379685678725,0.37823188507166156,0.3647724463872117,0.3617709931651582,0.365294653404803,0.3771329679049357,0.42565143067992445,0.45809119482853705,0.8395984804208985,0.44578392591881244,0.44134272644808015,0.45670228184854117,0.918023711399959,0.4497763660253794,0.5875038515147107,0.5729871873244454,0.6191211111727486,0.6179808676274197,0.6179808676274197,0.8234571542344629,0.8372185188416326,0.5936378022947792
4,0.4179507190873871,0.3852578301442001,0.41262335385704413,0.49841603004910606,0.3798681420618008,0.36924790484388337,0.371995600950133,0.3771576831280984,0.3725653476087878,0.43576532521072875,0.4416204050431523,0.8307553695924673,0.4443473927017755,0.42919994074304213,0.42835973071983796,0.8635395392938815,0.43253774665766115,0.565247770916897,0.5573473145203699,0.5762350106614768,0.5985579311333843,0.5985579311333843,0.772445975493636,0.8284469642760313,0.56653980368341
5,0.3988982983078843,0.38564602921255153,0.3841915751205782,0.4787386338638171,0.37818684202607666,0.3688749845045841,0.3660133695567993,0.3672817434459092,0.37667249075183123,0.4334937071118475,0.5204844951022041,0.9133103978248741,0.48434788183405825,0.4693501995014309,0.52724317189825,1.013285247014288,0.5170279131568521,0.646775515475904,0.6007532047331052,0.698539857793417,0.6869859820011819,0.6869859820011819,0.9193457280902647,0.9098016596421878,0.6382276930595059
6,0.3920569696621132,0.3856732074923713,0.3915223451154243,0.47320021124973305,0.3754743331451764,0.3691687765453453,0.37526183824346715,0.3697065595915747,0.3719645515939596,0.42184365176963473,0.4570996778565536,0.8991121700289527,0.43371095228312284,0.43592161977785376,0.45251834939779456,0.9805833418543141,0.4482109955535154,0.603396527624372,0.5829733797008876,0.6479869876932606,0.6385182195486956,0.6385182195486956,0.8429414994776033,0.895822365717567,0.6097870032088204
7,0.40052064880619315,0.38564602921255153,0.3936467102048816,0.487822112247627,0.37536252912662893,0.3660893488377091,0.3684159008393131,0.36180395339613125,0.3720882205143517,0.4475814124868635,0.5087488504213913,0.8821853174549216,0.4726362488781283,0.472055216427611,0.4950485456705424,0.9435965291731337,0.49982668682007353,0.6444830572682911,0.6246954320563941,0.6184496970480403,0.6704641624506074,0.6704641624506074,0.8693534752553933,0.8791122596071749,0.6339377087755115
8,0.43330910193300526,0.4203640548441371,0.42420187849756724,0.5320843737980572,0.3974376457578566,0.39950727947942843,0.39906358967153477,0.40014927482951207,0.40119344719558375,0.45865777264134183,0.470745440818782,0.8089341711584687,0.48136112655450614,0.4657535032630032,0.48183642359043294,0.8948929128979523,0.4498984285881519,0.5908668532281806,0.6076834865404064,0.5618520497365802,0.6104312774640703,0.6104312774640703,0.7624197070701189,0.8068666080117824,0.5880298349163058
9,0.4320823762575219,0.4083501997427206,0.4230859496142411,0.5127110087206211,0.4039640235482284,0.3959279984555542,0.3998487677544901,0.3965558058591803,0.39640045495299653,0.4553755478021048,0.45181925405453754,0.8028764227384406,0.47267429464354416,0.4540869848464262,0.43876544875127216,0.7966425495957972,0.4393522022478227,0.5715420785943158,0.5604895171579124,0.5602555803250064,0.6055917694180946,0.6055917694180946,0.7557911815824372,0.8009454497205112,0.5700208197708218
10,0.41087852123398483,0.3784561723255403,0.4022586965006763,0.4854614328829241,0.37680599884773003,0.36151578313224203,0.3627637630308802,0.35799860860269556,0.377609111992799,0.4528947240336236,0.5088636917653329,0.8586065720922658,0.47034653737397153,0.4626881292919167,0.4915914018682751,0.9468734692199198,0.48632477293569265,0.6189463472810313,0.6158456852246891,0.596013088411551,0.6401858138111657,0.6401858138111657,0.8101366021876661,0.8558445365591311,0.6124429243577104
11,0.4059237077374659,0.3811718870608758,0.38788064619815177,0.4770038949662238,0.368132748133471,0.35484719943223375,0.3550338211806369,0.355280605034309,0.3676586695776055,0.42834293296654735,0.5096998939980524,0.852800456233347,0.4693131729793679,0.4557855345385038,0.5194031149299335,0.9916261945541047,0.48849158475896515,0.5957560087899936,0.5819703488744788,0.5955946005249448,0.6363848365380708,0.6363848365380708,0.7714394441265795,0.8501128041068448,0.588082077660741
12,0.4113501448475592,0.3834076079920395,0.4103158334691117,0.4933796339651847,0.3728739630447235,0.36002022583876886,0.3618988357500681,0.3627348468821343,0.3715642969682003,0.44092895688293593,0.4662474734458975,0.8558638962393175,0.44968062275191295,0.4369082140215271,0.4567978226194139,0.9073592971178173,0.4483536291121703,0.58748473668505,0.5897962015247956,0.5880707020549458,0.616516826267838,0.616516826267838,0.7940901749016178,0.853149891545678,0.5896708520604114
13,0.43145957550651526,0.4056379240616327,0.40926570519066496,0.4977869896159448,0.3997830972637573,0.389502835890727,0.3881888268287333,0.3927168854578239,0.3946996931716823,0.456443597388971,0.4892237008303058,0.8457275020687566,0.480695741470349,0.4669880439990742,0.4908819127610807,0.8832728867910125,0.4759976451309971,0.598382984468374,0.5799606208099992,0.5871397004352136,0.6355447418206075,0.6355447418206075,0.8029331862693256,0.8431787890308551,0.6041740028623881
14,0.4149983953516939,0.4016903230232892,0.4081856288198385,0.5141184532986853,0.4043980420024297,0.38662314241846674,0.38454180676744104,0.3871946612348149,0.4097429195294389,0.4633227422580844,0.4947157569400745,0.8612938849027119,0.47732843509046646,0.4650462814205796,0.4910537088920066,0.9441424893339759,0.47356970654116276,0.6321281471683791,0.6373551553606799,0.6333535554619091,0.65508960298792,0.65508960298792,0.8441185868823944,0.8585175408592252,0.6443565495131804
15,0.41233119424401515,0.4174746630344693,0.40164673681273094,0.5155704899042585,0.406290486005909,0.40029774726847805,0.39952363680390773,0.4060961791543183,0.3972918384049826,0.4567842750026773,0.4536100996705999,0.8227720395313767,0.45746357858473014,0.45656061712666945,0.4557127229889018,0.8937840099152397,0.44901708114746863,0.5952460050087947,0.5651923312055245,0.618847627187645,0.6327738607060898,0.6327738607060898,0.7901949609124039,0.8204507254521874,0.5981398397002424
16,0.3991289526895887,0.39563164140846063,0.38426986911982175,0.46956297842175565,0.39074267335101565,0.3780024491294822,0.3775794353180592,0.3806400114720363,0.38479124344535387,0.4284159789692661,0.44467471521872576,0.8333661693861014,0.4452097021937103,0.4468279415465823,0.452295534967231,0.8822344236812635,0.43287963303888016,0.5665964687415329,0.5485051039854132,0.6044401427163121,0.6125916560526097,0.6125916560526097,0.8002124812870925,0.8310017787465356,0.574511440478918
17,0.3845969448233829,0.39499487258013066,0.3821383053389662,0.49644907771482555,0.39017717081963105,0.3778546816236145,0.3729151770910136,0.37248889504791466,0.39084405064090677,0.462724427740343,0.523294717819115,0.8754892764364667,0.49265094698471695,0.49244573298040667,0.518066746423492,0.9904422341303485,0.496802882109982,0.6808329520010816,0.6526030252352334,0.6591635208747075,0.6955357674801181,0.6955357674801181,0.8991601013655706,0.8725399270117198,0.6674976082194207
18,0.4124585500606142,0.3802111948196044,0.4058079211110602,0.4892856556094033,0.37054620757954104,0.3596080210037877,0.35877691107764725,0.3581102097584269,0.37565972647392654,0.43776257902245863,0.46710998581479274,0.7933461893777547,0.46008269669942026,0.4422561843666037,0.46424512445908,0.898608855577659,0.45220833730202636,0.5636433871586266,0.5581870695699466,0.5585069939325269,0.5988329056314848,0.5988329056314848,0.7450934110328173,0.7915371213903845,0.5697479571323396
19,0.40907296208626764,0.38525491401935374,0.4099988236312555,0.4839086054520456,0.3826862185271192,0.37116159625162937,0.3727806406524767,0.3781244645656922,0.3755959980164329,0.414512137327587,0.4251684613418122,0.8108183527868962,0.4349091677970196,0.4130215124851924,0.42255625980306155,0.8304115313860742,0.4154429521509628,0.5340571221257522,0.5222361892294369,0.5788373712239248,0.5662810857837005,0.5662810857837005,0.7493546523485712,0.8087579941653041,0.5393513809824986
