group,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,3,5000.0,-0.010814333156016653,0.10837881880198691,0.0015327079542374607,-0.005031740885095365,-0.005872984182456956,0.09978271839052738,7.055703681916954,0.0,0.0,0.0
group_3s_01,3,5000.0,-0.013784761247081612,0.12148026886828187,0.0017179904379425429,-0.006580730531133159,-0.007378727862155026,0.11347325269775371,8.023770646587636,0.0,0.0,0.0
group_3s_02,3,5000.0,-0.023846303487076836,0.15405648263480098,0.0021786876711363075,-0.012185135923962592,-0.011866699920903369,0.15478935439286742,10.945260214668428,0.0,0.0,0.0
group_3s_03,3,5000.0,-0.014121016737250303,0.12584657624991313,0.0017797393491084698,-0.006329471703873577,-0.007918680376912601,0.11220819157771922,7.9343173169284515,0.0,0.0,0.0
group_3s_04,3,5000.0,-0.018102331410127404,0.1391227038085693,0.0019674921456009375,-0.008537556794907577,-0.009677563357503452,0.13011773718138725,9.20071343136079,0.0,0.0,0.0
group_3s_05,3,5000.0,-0.019343472026143393,0.15096849036787136,0.0021350168656923563,-0.008305248898815953,-0.011395742541977031,0.12812920086177143,9.06010267973718,0.0,0.0,0.0
group_3s_06,3,5000.0,-0.022895432676401928,0.16265199406981168,0.002300246559605559,-0.010156092811616913,-0.013227835587443027,0.1407633076209014,9.953468936098739,0.0,0.0,0.0
group_3s_07,3,5000.0,-0.019139946632924287,0.15049006563475015,0.002128250918230809,-0.008170396796565683,-0.011323629927375702,0.12718412044140023,8.993275402336069,0.0,0.0,0.0
group_3s_08,3,5000.0,-0.01719530059141272,0.13541548076181878,0.0019150640944863705,-0.00812838962762103,-0.009168676214977255,0.12698179332728876,8.978968714895458,0.0,0.0,0.0
group_3s_09,3,5000.0,-0.010622123154932828,0.10540979733036923,0.0014907196499160742,-0.005149910951947913,-0.005555612686614758,0.10076979013289998,7.125500194171883,0.0,0.0,0.0
group_3s_10,3,5000.0,-0.013185627865183625,0.10882353692161344,0.0015389972181995496,-0.007367240128410578,-0.005921281094064881,0.1211652206698754,8.567674917963334,0.0,0.0,0.0
group_3s_11,3,5000.0,-0.022801755886743935,0.15074218442384707,0.0021318164163395084,-0.011714925590129004,-0.01136160308243656,0.15126327095427675,10.695928463622723,0.0,0.0,0.0
group_3s_12,3,5000.0,-0.011140987095606514,0.1072056572781659,0.0015161169448590411,-0.005481571871962115,-0.005746526476221783,0.10392163416058407,7.348369222693657,0.0,0.0,0.0
group_3s_13,3,5000.0,-0.00906813536664064,0.09865960629006854,0.0013952575327380483,-0.0042614785271132966,-0.004866858956655665,0.09191335448855803,6.4992556240462385,0.0,0.0,0.0
group_3s_14,3,5000.0,-0.012591362095631942,0.10540354691052364,0.0014906312556309128,-0.007118515898843532,-0.005554953850659479,0.11945861846869976,8.446999919039415,0.0,0.0,0.0
group_3s_15,3,5000.0,-0.04385618686786441,0.21719005188807178,0.0030715311699262733,-0.021397386245107175,-0.02358575931957166,0.201925394310719,14.27828156108769,0.0,0.0,0.0
group_3s_16,3,5000.0,-0.014803731810399956,0.11504125352625268,0.0016269290096922817,-0.008289051063219097,-0.006617245006445772,0.12868194110056103,9.09918731684546,0.0,0.0,0.0
group_3s_17,3,5000.0,-0.020469976373382215,0.14589440963027506,0.0020632585277355086,-0.010022214155341384,-0.010642589380683246,0.1403067905429491,9.921188303943985,0.0,0.0,0.0
group_3s_18,3,5000.0,-0.009766479931261562,0.09590520209157186,0.0013563043750003344,-0.0052264599977327264,-0.0045989038941126196,0.1018347255234014,7.200802497786793,0.0,0.0,0.0
group_3s_19,3,5000.0,-0.024063260863729008,0.15245317017577376,0.0021560134088935267,-0.012614121643927721,-0.011620984548321715,0.15784034425774693,11.160997776947202,0.0,0.0,0.0
group_3s_20,3,5000.0,-0.017165336557039446,0.13037210505723387,0.001843739991270701,-0.008809208289832619,-0.008498442888527214,0.13166418191609158,9.310063587224757,0.0,0.0,0.0
group_3s_21,3,5000.0,-0.01874505005217708,0.13753058019247613,0.001944976117492403,-0.009461904013922986,-0.009457330244039556,0.13629732402744973,9.637676207738988,0.0,0.0,0.0
group_3s_22,3,5000.0,-0.0293021907589468,0.16998664244210462,0.0024039741516389034,-0.015265856569720914,-0.014447729304369964,0.17237937250820615,12.18906232372345,0.0,0.0,0.0
group_3s_23,3,5000.0,-0.024002919912811338,0.15478678831597353,0.002189015753126231,-0.012333103391985241,-0.011979474918587002,0.15507085697658543,10.965165453255281,0.0,0.0,0.0
group_3s_24,3,5000.0,-0.02217569211350323,0.15101485881335547,0.002135672614537054,-0.011078869440474858,-0.011402743791208845,0.14684443827418958,10.383469808320887,0.0,0.0,0.0
group_5s_00,5,5000.0,-0.016152007355504816,0.1372867520668189,0.001941527867070478,-0.006881882265069824,-0.009423826146528102,0.1176516095860689,8.319225095582155,0.0,0.0,0.0
group_5s_01,5,5000.0,-0.016416043763160637,0.13488134488550074,0.0019075102724819804,-0.00758325796348839,-0.009096488599060698,0.12170729597259007,8.606005430209663,0.0,0.0,0.0
group_5s_02,5,5000.0,-0.016556788456399296,0.14143278065971585,0.0020001615657310933,-0.0067752005313401874,-0.010001615722569645,0.1170647170986093,8.277725529811141,0.0,0.0,0.0
group_5s_03,5,5000.0,-0.01671591778925774,0.1354010791992415,0.001914860425635209,-0.007756805686874877,-0.009166726124159634,0.1234548342458956,8.729575046553398,0.0,0.0,0.0
group_5s_04,5,5000.0,-0.014309998952529934,0.12975967055038343,0.0018350788594141694,-0.006058177760939166,-0.008418786050672023,0.11028078980035334,7.798029430243809,0.0,0.0,0.0
group_5s_05,5,5000.0,-0.02090660965553237,0.16054753257755264,0.002270484979767112,-0.008380710122162991,-0.012887755108370164,0.13022068492664884,9.207992936239023,0.0,0.0,0.0
group_5s_06,5,5000.0,-0.02615101461425451,0.17422981889328348,0.002463981728486896,-0.011075874986249916,-0.01517801489579318,0.1500949423030286,10.613315152427514,0.0,0.0,0.0
group_5s_07,5,5000.0,-0.024920648648376842,0.16126212000024173,0.002280590772013794,-0.01210060278977927,-0.013002735673486181,0.15453504299918347,10.927277683567734,0.0,0.0,0.0
group_5s_08,5,5000.0,-0.033184432288503984,0.19036921720587335,0.0026922272883089563,-0.01569181436503913,-0.018120219429788493,0.1743161671596145,12.32601438690112,0.0,0.0,0.0
