site,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
0,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
0,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
1,3,5000.0,-0.03686660262775421,0.12068125342353318,0.0017066906531574514,-0.02933152027773868,-0.00728198246393752,0.30548740240847644,21.601221381009736,-0.012679491194858672,0.10506595544180962,7.4292849564747225
1,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
2,3,5000.0,-0.03686660262775421,0.12068125342353318,0.0017066906531574514,-0.02933152027773868,-0.00728198246393752,0.30548740240847644,21.601221381009736,-0.012679491194858672,0.10506595544180962,7.4292849564747225
2,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
3,3,5000.0,-0.049937075181123225,0.16379132460434936,0.0023163591265452487,-0.03617798547030324,-0.013413799007823673,0.3048822964326719,21.558433927126945,-0.02574996374822769,0.15721201236041482,11.116568002403266
3,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
4,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
4,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
5,3,5000.0,-0.03686660262775421,0.12068125342353318,0.0017066906531574514,-0.02933152027773868,-0.00728198246393752,0.30548740240847644,21.601221381009736,-0.012679491194858672,0.10506595544180962,7.4292849564747225
5,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
6,3,5000.0,-0.03686660262775421,0.12068125342353318,0.0017066906531574514,-0.02933152027773868,-0.00728198246393752,0.30548740240847644,21.601221381009736,-0.012679491194858672,0.10506595544180962,7.4292849564747225
6,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
7,3,5000.0,-0.0371918505182518,0.12559680416709415,0.001776207038438222,-0.029024801153974173,-0.0078872786084937,0.29612099419959537,20.93891630502362,-0.013004739085356265,0.10354355090161962,7.32163469906697
7,5,5000.0,-0.04081347221466847,0.14018657736503048,0.0019825375897229124,-0.030863608691193336,-0.009826138236660838,0.2911368048339939,20.586480895110153,-0.01662636078177293,0.11860165997547475,8.386403802863935
8,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
8,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
9,3,5000.0,-0.041130833153296686,0.13805910336963884,0.001952450563944123,-0.03125556928286984,-0.00953015801161431,0.2979219200285053,21.06626099162724,-0.01694372172040115,0.1227280295674245,8.678182194878897
9,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
10,3,5000.0,-0.0371918505182518,0.12559680416709415,0.001776207038438222,-0.029024801153974173,-0.0078872786084937,0.29612099419959537,20.93891630502362,-0.013004739085356265,0.10354355090161962,7.32163469906697
10,5,5000.0,-0.039290215120265204,0.14026740865489531,0.001983680716786822,-0.02926625127753221,-0.009837472965379701,0.28010936750768856,19.806723323856136,-0.015103103687369668,0.10767364872711342,7.613676717004018
11,3,5000.0,-0.0371918505182518,0.12559680416709415,0.001776207038438222,-0.029024801153974173,-0.0078872786084937,0.29612099419959537,20.93891630502362,-0.013004739085356265,0.10354355090161962,7.32163469906697
11,5,5000.0,-0.038550774526453724,0.13079744866532483,0.0018497552582630106,-0.02977051366694616,-0.008553986288679141,0.29473644111434233,20.8410136174741,-0.014363663093558188,0.10981608005451927,7.765169488987535
12,3,5000.0,-0.04196200212229528,0.14840444349730889,0.002098755767103259,-0.030840107635944528,-0.011011939424872972,0.2827543511057754,19.993751907689578,-0.017774890689399747,0.11977330510135345,8.469251624229233
12,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
13,3,5000.0,-0.04610501615244855,0.1619822545746186,0.002290775012831969,-0.03295870872550932,-0.013119125398538274,0.28463004341756376,20.12638338299808,-0.021917904719553016,0.13531053001522667,9.567899333971267
13,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
14,3,5000.0,-0.04134104095505142,0.1463568692676292,0.0020697986946474722,-0.03051203945132729,-0.010710166590910952,0.2824673769118066,19.97345976783149,-0.017153929522155886,0.1172061797167039,8.287728447465051
14,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
15,3,5000.0,-0.04022893227533797,0.13445653220784665,0.001901502513979916,-0.030844276384897437,-0.00903927952667985,0.29919656274602535,21.15639184254209,-0.016041820842442434,0.11930860166499416,8.436392129120199
15,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
16,3,5000.0,-0.03686660262775421,0.12068125342353318,0.0017066906531574514,-0.02933152027773868,-0.00728198246393752,0.30548740240847644,21.601221381009736,-0.012679491194858672,0.10506595544180962,7.4292849564747225
16,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
17,3,5000.0,-0.03445479815449182,0.10877230672948826,0.0015382727138744856,-0.02824687022817685,-0.005915707355626939,0.31676075639527734,22.398367886088067,-0.01026768672159628,0.09439614760705174,6.674815609083258
17,5,5000.0,-0.03722866345451936,0.12881902766900352,0.0018217761602121977,-0.0286888923230139,-0.008297170944793746,0.28899972409493146,20.43536646685673,-0.013041552021623826,0.10123932976061337,7.158701659651077
18,3,5000.0,-0.0371918505182518,0.12559680416709415,0.001776207038438222,-0.029024801153974173,-0.0078872786084937,0.29612099419959537,20.93891630502362,-0.013004739085356265,0.10354355090161962,7.32163469906697
18,5,5000.0,-0.039290215120265204,0.14026740865489531,0.001983680716786822,-0.02926625127753221,-0.009837472965379701,0.28010936750768856,19.806723323856136,-0.015103103687369668,0.10767364872711342,7.613676717004018
19,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
19,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
20,3,5000.0,-0.041130833153296686,0.13805910336963884,0.001952450563944123,-0.03125556928286984,-0.00953015801161431,0.2979219200285053,21.06626099162724,-0.01694372172040115,0.1227280295674245,8.678182194878897
20,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
21,3,5000.0,-0.03445479815449182,0.10877230672948826,0.0015382727138744856,-0.02824687022817685,-0.005915707355626939,0.31676075639527734,22.398367886088067,-0.01026768672159628,0.09439614760705174,6.674815609083258
21,5,5000.0,-0.04400258603415641,0.15911827596935427,0.0022502722389728573,-0.031215057278714837,-0.01265931287372979,0.27654011310825904,19.554338924894484,-0.019815474601260874,0.12453298956731582,8.805812140448259
22,3,5000.0,-0.041130833153296686,0.13805910336963884,0.001952450563944123,-0.03125556928286984,-0.00953015801161431,0.2979219200285053,21.06626099162724,-0.01694372172040115,0.1227280295674245,8.678182194878897
22,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
23,3,5000.0,-0.03686660262775421,0.12068125342353318,0.0017066906531574514,-0.02933152027773868,-0.00728198246393752,0.30548740240847644,21.601221381009736,-0.012679491194858672,0.10506595544180962,7.4292849564747225
23,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
24,3,5000.0,-0.0371918505182518,0.12559680416709415,0.001776207038438222,-0.029024801153974173,-0.0078872786084937,0.29612099419959537,20.93891630502362,-0.013004739085356265,0.10354355090161962,7.32163469906697
24,5,5000.0,-0.039290215120265204,0.14026740865489531,0.001983680716786822,-0.02926625127753221,-0.009837472965379701,0.28010936750768856,19.806723323856136,-0.015103103687369668,0.10767364872711342,7.613676717004018
25,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
25,5,5000.0,-0.05028301159229098,0.17645190978365177,0.0024954068392267414,-0.034292897772164044,-0.015567638233148991,0.28496722792030493,20.15022592783801,-0.026095900159395446,0.1478924211780519,10.457573390109749
26,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
26,5,5000.0,-0.05028301159229098,0.17645190978365177,0.0024954068392267414,-0.034292897772164044,-0.015567638233148991,0.28496722792030493,20.15022592783801,-0.026095900159395446,0.1478924211780519,10.457573390109749
27,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
27,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
28,3,5000.0,-0.04610501615244855,0.1619822545746186,0.002290775012831969,-0.03295870872550932,-0.013119125398538274,0.28463004341756376,20.12638338299808,-0.021917904719553016,0.13531053001522667,9.567899333971267
28,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
29,3,5000.0,-0.03578093666797133,0.11588830962990554,0.0016389081919910497,-0.028752968570116375,-0.006715050154438429,0.30875363340995604,21.832178790016528,-0.011593825235075794,0.10004309556417891,7.074115128432472
29,5,5000.0,-0.040347408404944884,0.1418243282994593,0.0020056988855554968,-0.03001552109303009,-0.010057070048796404,0.28448862680140546,20.11638371817228,-0.01616029697204935,0.11394587350293807,8.057189984215206
30,3,5000.0,-0.036459378135182074,0.11000292732254793,0.0015556763172028918,-0.030089907566722973,-0.006050322009764882,0.3314400718471497,23.436352236007608,-0.012272266702286538,0.11156309201028891,7.8887018890614025
30,5,5000.0,-0.04921663545429933,0.16471561315403926,0.0023294305405704247,-0.035308870421819856,-0.013565616608355554,0.2987976337633079,21.128183303652957,-0.025029524021403793,0.1519559897336302,10.744911078256331
31,3,5000.0,-0.0484502774060509,0.15892964004761756,0.0022476045241841495,-0.03559253798968382,-0.012629315242832641,0.30485362825672113,21.55640678096504,-0.024263165973155365,0.15266608523045655,10.795122412365926
