group,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,1000.0,-0.03489909245143563,0.11467275822817306,0.0036262710157484138,-0.02804827304839856,-0.006574920739828516,0.3043363828573327,9.623961446861943,-0.010711981018540095,0.09341347660989942,2.9539935024214636
group_3s_01,1000.0,-0.040141567464739625,0.12509681059953257,0.003955908495172167,-0.032058834149445964,-0.007824606011087662,0.3208840199231236,10.147243677079189,-0.01595445603184409,0.1275368728857401,4.0330700397431025
group_3s_02,1000.0,-0.04640591919363368,0.1603912071574582,0.005072015312814687,-0.0333056605529906,-0.012862669666713334,0.2893295712156862,9.149404394814606,-0.022218807760738146,0.1385288392955709,4.380666537934394
group_3s_03,1000.0,-0.03460231482309495,0.1276592897262771,0.004036941200143688,-0.02624976288347234,-0.008148447126708779,0.2710520706897877,8.57141907884696,-0.010415203390199412,0.08158594186550272,2.579974013450754
group_3s_04,1000.0,-0.042186440854362406,0.13454978625613034,0.004254837832581914,-0.03269678630210362,-0.00905182249078518,0.31353777682006767,9.914935072569593,-0.01799932942146687,0.13377449286469442,4.230320902863775
group_3s_05,1000.0,-0.039431389584823506,0.15412561729120264,0.004873879964196314,-0.02770350432125611,-0.011877352952697132,0.25583929704769603,8.090348936471111,-0.01524427815192797,0.09890814012524381,3.1277500192686216
group_3s_06,1000.0,-0.04237275810030683,0.16897695471072235,0.005343520489650013,-0.028437461929934505,-0.014276605611654758,0.2507605736702159,7.929745601683308,-0.018185646667411293,0.10762205235941165,3.4033081191763905
group_3s_07,1000.0,-0.03876177413291937,0.15119302657655523,0.004781143303162847,-0.027443585513130222,-0.01142966564268947,0.25637276407912035,8.107218645230207,-0.014574662700023833,0.09639771773894666,3.048363492970881
group_3s_08,1000.0,-0.04209894804069214,0.13254439690961076,0.004191421853277529,-0.03288156448915068,-0.008784008576066218,0.3176214839877517,10.044073232039958,-0.017911836607796605,0.13513839155352347,4.273451166407944
group_3s_09,1000.0,-0.032411583669208044,0.10448818367011611,0.0033042064897157867,-0.026679378240236574,-0.00545889026333996,0.31019377053711616,9.809188308929187,-0.008224472236312508,0.07871198395292546,2.4890914844186813
group_3s_10,1000.0,-0.040714292809686636,0.11108818647193754,0.0035129169038882724,-0.034106411771562824,-0.0061702925868119835,0.36650425308699813,11.589882118937119,-0.0165271813767911,0.14877532797752624,4.704688960475549
group_3s_11,1000.0,-0.050469923350000334,0.15482485782135996,0.004895991891272322,-0.038062025211843306,-0.011985368299702164,0.32598075050863956,10.308416449783929,-0.026282811917104798,0.16975834686333402,5.36823027913036
group_3s_12,1000.0,-0.03402728491577256,0.10530062758113545,0.0033298982220153492,-0.028184584726312256,-0.005544111084490493,0.32314417964464753,10.218716203037063,-0.009840173482877024,0.09344838401171965,2.9550973713909703
group_3s_13,1000.0,-0.034290445717106266,0.09736031389816939,0.0030788034562716205,-0.02918531677751378,-0.0047395153611750375,0.3522014704366212,11.13758841840181,-0.01010333428421073,0.10377261411439119,3.2815781935121313
group_3s_14,1000.0,-0.04024123698856008,0.1054207323318476,0.0033336962677159203,-0.03416378527118887,-0.005556765402691528,0.38172033240944586,12.071056796104385,-0.016054125555664545,0.1522862268223363,4.815713330316087
group_3s_15,1000.0,-0.06913968285980654,0.2082424416233228,0.006585204210443516,-0.04736663603089288,-0.021682457246621507,0.3320153294440772,10.499246591344502,-0.044952571426911,0.21586652113992688,6.82629877379056
group_3s_16,1000.0,-0.04162613297882789,0.11535014153726657,0.003647691756805587,-0.034517068084233986,-0.006652827576333715,0.360867636780312,11.411636660681376,-0.017439021545932354,0.15118335628828222,4.780837501797115
group_3s_17,1000.0,-0.0500686122086238,0.142712453363673,0.004512964030997648,-0.039331660863542575,-0.010183422172539272,0.35083562105848154,11.09439646864535,-0.02588150077572826,0.18135418574701845,5.734922901658231
group_3s_18,1000.0,-0.03650794942599256,0.09235614073739255,0.0029205576063322325,-0.03178207112940419,-0.0042648283659525305,0.395295311546203,12.500335328718574,-0.012320837993097022,0.133405725864297,4.2186594663921335
group_3s_19,1000.0,-0.051004735143996616,0.15354819719515697,0.004855620337493739,-0.03871174329085815,-0.011788524430941404,0.3321741060832549,10.504267549534783,-0.02681762371110108,0.17465280739842465,5.523006711217289
group_3s_20,1000.0,-0.04628428505509685,0.13052767661682452,0.0041276475579906675,-0.03723525315279205,-0.008518737181493157,0.35459364829551393,11.21323572442507,-0.022097173622201316,0.16929109745107557,5.353454555349242
group_3s_21,1000.0,-0.04683669737383611,0.1327744452730311,0.004198696621281553,-0.037493728373475865,-0.008814526658780563,0.35275385468584214,11.155056342113214,-0.022649585940940575,0.17058693707486436,5.394432602283926
group_3s_22,1000.0,-0.055683356540580986,0.17253154586258054,0.005455926531555547,-0.040510501415048646,-0.014883567158865867,0.3227430454076622,10.20603122467359,-0.03149624510768545,0.18255354376046604,5.772849932182924
group_3s_23,1000.0,-0.05189707610679739,0.1594548847103206,0.0050424061972417136,-0.0387751321460793,-0.012712930128990815,0.3254655773078264,10.292125242743438,-0.027709964673901855,0.17377934030833955,5.495385256558605
group_3s_24,1000.0,-0.05315015892416186,0.14943377125669194,0.004725510765197486,-0.041441859838078035,-0.011165225995998665,0.3556770231868299,11.24749504658903,-0.028963047491266325,0.1938186211034897,6.129082956402051
