group,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_00,1000.0,0.3472501473991613,0.443244960441804,0.393205598301047,0.3924142024506202,0.00030050029383133425,0.017343618276653247,0.3620614176396964,0.36613755422023925,0.3760336078433509,0.4102006470424149,0.4241615243087675,0.42855277642579565,0.20691254081030638,-0.23225153981946756
group_3s_01,1000.0,0.331998926317727,0.43175012754657416,0.38179868420467755,0.38126954547427644,0.00022823757754641467,0.015115093237886582,0.35422914578576176,0.3581856408235896,0.36683843812731365,0.3971803067632586,0.40802841683271235,0.4117764770542885,0.17962397861469,-0.07581492665486556
group_3s_02,1000.0,0.3442261869378447,0.43486118516635663,0.3826616049015164,0.3822307367754456,0.00022220624152827136,0.01491404271813883,0.3564842808686329,0.35983801383438957,0.3678289324728498,0.3971687307645452,0.4095563998981629,0.41466144944817723,0.2791816331475834,-0.18392964699583558
group_3s_03,1000.0,0.4169639302201101,0.536899085049531,0.46647574805179615,0.4661839182962886,0.0003369998524594448,0.018366741399853538,0.4316551952384724,0.437193093073525,0.44844337976068555,0.484449011229733,0.49797193980056004,0.5052382661066422,0.21326260363358893,0.10970198572567513
group_3s_04,1000.0,0.3199133876127139,0.42181104132922354,0.3603087180683675,0.35973606575212924,0.00018504559218793763,0.01360995308628757,0.33543778048874134,0.3383775652688024,0.34688687952509467,0.37387397512596354,0.3835821388045481,0.38774981417812754,0.24958419161406567,0.43044308474681126
group_3s_05,1000.0,0.31820191292912675,0.4125041416511749,0.3622361863859936,0.3618361544454679,0.0001916931045911103,0.013852255757842871,0.3373024702883657,0.3406384685930551,0.34826053282632385,0.37591089974654845,0.38561554878642784,0.3897572157442147,0.08894617283923045,0.015055253403256419
group_3s_06,1000.0,0.3156968294474242,0.4107678919517377,0.3563851421173727,0.355973307335635,0.00017194371005587578,0.013119292125787791,0.3318002135558842,0.3354522335301295,0.3438017886724708,0.368764023415553,0.37827701876044184,0.38456430491581967,0.15247130005038292,0.3948794460109073
group_3s_07,1000.0,0.3205978219318823,0.41516691385185356,0.3626604322896793,0.3625501654050546,0.00019371769742950829,0.013925214865076476,0.33739145138168836,0.34084713733505306,0.34841203274324273,0.3758670607525548,0.3869319608468106,0.3905446643151597,0.12383229391518961,0.06426808363583847
group_3s_08,1000.0,0.3203343143458082,0.41899296801282643,0.36071213019740106,0.36026342126533156,0.00019146222725276873,0.013843911337981858,0.33555008750896537,0.33839078763968095,0.3468835997083606,0.37428465008118295,0.38392841705615827,0.38836430616037937,0.22060418823311195,0.30057517531572
group_3s_09,1000.0,0.38539552721452075,0.4779675575347456,0.43117775018863674,0.43072904724604943,0.00024283051357855474,0.01559081739889607,0.40011973538553686,0.4057401747896987,0.4160143807108671,0.44603524192357985,0.4571424977499401,0.46427513364821366,0.10336995955232481,0.025068123391636554
