site,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
0,3,5000.0,-0.00026999350264067523,0.04450287677286074,0.0006293657189679825,0.0007214215225400464,-0.0009902530205302138,0.0060668775193725415,0.4289930234576544,-0.00026999350264067523,0.0060668775193725415,0.4289930234576544
0,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
1,3,5000.0,-0.00021493373914716063,0.03966483822978014,0.000560945521738899,0.0005725591545346125,-0.0007866496958973141,0.005418747402977924,0.3831633034182684,-0.00021493373914716063,0.005418747402977924,0.3831633034182684
1,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
2,3,5000.0,-0.00021493373914716063,0.03966483822978014,0.000560945521738899,0.0005725591545346125,-0.0007866496958973141,0.005418747402977924,0.3831633034182684,-0.00021493373914716063,0.005418747402977924,0.3831633034182684
2,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
3,3,5000.0,-0.0003709427363385309,0.038946799435347935,0.0005507909197249385,0.0003885244520422004,-0.0007584265931286092,0.009524344534505317,0.6734728606705742,-0.0003709427363385309,0.009524344534505317,0.6734728606705742
3,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
4,3,5000.0,-0.00026999350264067523,0.04450287677286074,0.0006293657189679825,0.0007214215225400464,-0.0009902530205302138,0.0060668775193725415,0.4289930234576544,-0.00026999350264067523,0.0060668775193725415,0.4289930234576544
4,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
5,3,5000.0,-0.00021493373914716063,0.03966483822978014,0.000560945521738899,0.0005725591545346125,-0.0007866496958973141,0.005418747402977924,0.3831633034182684,-0.00021493373914716063,0.005418747402977924,0.3831633034182684
5,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
6,3,5000.0,-0.00021493373914716063,0.03966483822978014,0.000560945521738899,0.0005725591545346125,-0.0007866496958973141,0.005418747402977924,0.3831633034182684,-0.00021493373914716063,0.005418747402977924,0.3831633034182684
6,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
7,3,5000.0,-0.0001592522429535448,0.03977475577133647,0.0005624999905190157,0.000632500584003036,-0.000791015598334732,0.0040038521887872745,0.28311510335600826,-0.0001592522429535448,0.0040038521887872745,0.28311510335600826
7,5,5000.0,-4.563961242776138e-05,0.041499310905771435,0.0005868888831207965,0.0008145727563116473,-0.0008610964028269399,0.0010997679583497407,0.07776533810807863,-4.563961242776138e-05,0.0010997679583497407,0.07776533810807863
8,3,5000.0,-0.00026999350264067523,0.04450287677286074,0.0006293657189679825,0.0007214215225400464,-0.0009902530205302138,0.0060668775193725415,0.4289930234576544,-0.00026999350264067523,0.0060668775193725415,0.4289930234576544
8,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
9,3,5000.0,0.00015476438182981944,0.03822464124758058,0.0005405780606917447,0.0008860742949453945,-0.0007305615992531194,0.004048811886223137,0.28629423404970766,0.00015476438182981944,0.004048811886223137,0.28629423404970766
9,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
10,3,5000.0,-0.0001592522429535448,0.03977475577133647,0.0005624999905190157,0.000632500584003036,-0.000791015598334732,0.0040038521887872745,0.28311510335600826,-0.0001592522429535448,0.0040038521887872745,0.28311510335600826
10,5,5000.0,-0.0007151372885733087,0.04071789209918104,0.0005758379523790611,0.00011282311239415326,-0.0008289733685002749,0.01756321979613705,1.2419071817318321,-0.0007151372885733087,0.01756321979613705,1.2419071817318321
11,3,5000.0,-0.0001592522429535448,0.03977475577133647,0.0005624999905190157,0.000632500584003036,-0.000791015598334732,0.0040038521887872745,0.28311510335600826,-0.0001592522429535448,0.0040038521887872745,0.28311510335600826
11,5,5000.0,-0.0005871206755040381,0.03680265723120387,0.0005204681698773678,9.024006427227914e-05,-0.0006772177896387413,0.015953214242536706,1.1280625972619516,-0.0005871206755040381,0.015953214242536706,1.1280625972619516
12,3,5000.0,-0.0003340130472784253,0.03882452728221369,0.0005490617303523084,0.00041984595660269096,-0.0007536719593436774,0.00860314524502771,0.6083342342291896,-0.0003340130472784253,0.00860314524502771,0.6083342342291896
12,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
13,3,5000.0,-0.0004159155213960819,0.03753077662623278,0.0005307653331121355,0.0002889078481964546,-0.0007042795970840904,0.011081985473899589,0.7836147077605214,-0.0004159155213960819,0.011081985473899589,0.7836147077605214
13,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
14,3,5000.0,-0.0002639685331253805,0.03897081797870548,0.0005511305932225854,0.0004956861584391643,-0.0007593623269646972,0.006773492238977862,0.4789582294495697,-0.0002639685331253805,0.006773492238977862,0.4789582294495697
14,5,5000.0,-0.0004502263919823335,0.03903340401655296,0.0005520156934579764,0.0003107041195422796,-0.0007618033145597265,0.011534387105757039,0.8156043339311478,-0.0004502263919823335,0.011534387105757039,0.8156043339311478
15,3,5000.0,0.00016180542855814828,0.038701496402432575,0.0005473218109645369,0.0009113906103684062,-0.0007489029118937508,0.0041808571657187404,0.29563124530520907,0.00016180542855814828,0.0041808571657187404,0.29563124530520907
