group,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,1000.0,-0.0006959218765085762,0.04368984894006487,0.001381594332792983,0.0002569536170695417,-0.0009544014502028437,0.015928685802124518,0.503709272678996,-0.0006959218765085762,0.015928685802124518,0.503709272678996
group_3s_01,1000.0,8.707686089237665e-05,0.03640644646642051,0.0011512729234687761,0.0007509683280985485,-0.0006627146721561711,0.002391797863949507,0.07563528952805974,8.707686089237665e-05,0.002391797863949507,0.07563528952805974
group_3s_02,1000.0,-7.822253991207617e-07,0.038627525568185266,0.0012215096117185514,0.0007461352091800498,-0.0007460428657604032,2.0250466153727043e-05,0.0006403759672592692,-7.822253991207617e-07,2.0250466153727043e-05,0.0006403759672592692
group_3s_03,1000.0,-0.00034472472915980656,0.03724466115659084,0.0011777795993602822,0.0003492019137820225,-0.0006935823923346334,0.009255681712620544,0.2926903550944895,-0.00034472472915980656,0.009255681712620544,0.2926903550944895
group_3s_04,1000.0,6.560707855229886e-05,0.03866260684374694,0.0012226189790585406,0.0008130961834794776,-0.0007473985839770739,0.0016969129582349864,0.05366109939076735,6.560707855229886e-05,0.0016969129582349864,0.05366109939076735
group_3s_05,1000.0,-0.0008233386234482998,0.04387291142054678,0.0013873832767174123,0.0001378754774642794,-0.0009624161782575721,0.01876644600938678,0.5934471297623984,-0.0008233386234482998,0.01876644600938678,0.5934471297623984
group_3s_06,1000.0,-0.0005946680386712533,0.04597757249526496,0.0014539385037054852,0.0004618919424661964,-0.0010569685862786727,0.012933872024942067,0.40900494563951056,-0.0005946680386712533,0.012933872024942067,0.40900494563951056
group_3s_07,1000.0,-0.0006885249148198547,0.04475516022588892,0.0014152824335958495,0.0003117023221112571,-0.0010015121834224948,0.015384257621796488,0.4864929419568215,-0.0006885249148198547,0.015384257621796488,0.4864929419568215
group_3s_08,1000.0,0.0010278041225278978,0.03955012241320054,0.0012506846856418878,0.0018126412395942778,-0.0007821060914495739,0.02598738157596322,0.8217931620393982,0.0010278041225278978,0.02598738157596322,0.8217931620393982
group_3s_09,1000.0,0.0010471779210567966,0.039955952380601525,0.0012635181560392778,0.001847683508185655,-0.0007982390653204484,0.026208308366219745,0.8287794805730073,0.0010471779210567966,0.026208308366219745,0.8287794805730073
group_3s_10,1000.0,-0.0006699658659662378,0.05446101243860615,0.0017222084298475645,0.0008084338980278947,-0.001483000937919007,0.012301751950011758,0.38901555372454977,-0.0006699658659662378,0.012301751950011758,0.38901555372454977
group_3s_11,1000.0,0.0005852714572196493,0.041638928665835975,0.0013167385391331784,0.001452937897422557,-0.0008669001902192883,0.014055872136303414,0.4444857045081548,0.0005852714572196493,0.014055872136303414,0.4444857045081548
group_3s_12,1000.0,-0.000809628579436561,0.04117844230831353,0.001302176681921123,3.6732043844458995e-05,-0.000847832055469553,0.019661466875669185,0.6217501746706925,-0.000809628579436561,0.019661466875669185,0.6217501746706925
group_3s_13,1000.0,0.0009955735653548459,0.03912887864376838,0.0012373637880262833,0.0017632398559159124,-0.0007655345719593766,0.025443447393895605,0.8045924529138544,0.0009955735653548459,0.025443447393895605,0.8045924529138544
group_3s_14,1000.0,-0.0022702852066436296,0.05435458482865381,0.0017188428933137907,-0.0008026536337012245,-0.0014772104459476615,0.041768053491723404,1.3208218246559478,-0.0022702852066436296,0.041768053491723404,1.3208218246559478
group_3s_15,1000.0,-0.0008494542596936272,0.058725117807097445,0.0018570512813214054,0.0008638324765018728,-0.0017243197307287366,0.014464922190261886,0.4574210029833902,-0.0008494542596936272,0.014464922190261886,0.4574210029833902
group_3s_16,1000.0,-0.0008295518773963062,0.048376928426666854,0.0015298128003121323,0.0003358259757676494,-0.0011701636019994237,0.017147675645711968,0.5422571161824834,-0.0008295518773963062,0.017147675645711968,0.5422571161824834
group_3s_17,1000.0,0.00043646507306871474,0.0556384869102221,0.0017594434420176615,0.0019882854859960245,-0.0015478206128294778,0.007844661084565293,0.24806996499313075,0.00043646507306871474,0.007844661084565293,0.24806996499313075
group_3s_18,1000.0,0.0017327780714657681,0.057130252315298204,0.0018066172061645034,0.003370293001744333,-0.001631932864804818,0.030330306645639807,0.9591285113156329,0.0017327780714657681,0.030330306645639807,0.9591285113156329
group_3s_19,1000.0,-0.00035723558291200774,0.05030831698801052,0.0015908886693185504,0.0009057369053357432,-0.001265463379083074,0.0071009249424333586,0.22455096311989445,-0.00035723558291200774,0.0071009249424333586,0.22455096311989445
group_3s_20,1000.0,6.878928473141865e-05,0.047353560457519234,0.0014974510636424582,0.0011909432720090827,-0.0011211798440019646,0.001452673971435144,0.045937584473774336,6.878928473141865e-05,0.001452673971435144,0.045937584473774336
group_3s_21,1000.0,6.878928473141865e-05,0.047353560457519234,0.0014974510636424582,0.0011909432720090827,-0.0011211798440019646,0.001452673971435144,0.045937584473774336,6.878928473141865e-05,0.001452673971435144,0.045937584473774336
group_3s_22,1000.0,-0.0005264939470526475,0.061262570793416994,0.001937292590245064,0.0013478613723669273,-0.0018765512901092144,0.00859405572169071,0.2717679041894477,-0.0005264939470526475,0.00859405572169071,0.2717679041894477
group_3s_23,1000.0,0.0005265507214312071,0.04115920019342454,0.0013015681928206446,0.0013742722253907238,-0.0008470398802811993,0.012793026078172605,0.40455100572956726,0.0005265507214312071,0.012793026078172605,0.40455100572956726
group_3s_24,1000.0,-9.626170736221074e-05,0.05161967040427444,0.0016323573054469191,0.0012345085078795711,-0.0013322951863229632,0.0018648260751823718,0.058970978376486925,-9.626170736221074e-05,0.0018648260751823718,0.058970978376486925
