site,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
0,3,5000.0,-0.0026445324213395516,0.16308262467554455,0.0023063365960355625,0.010839193950066146,-0.013297971235532264,0.016215905444254962,1.146637670271254,0.0,0.0,0.0
0,5,5000.0,-0.0020710054374997178,0.19380735228243748,0.002740849860854433,0.017258601145297946,-0.018780644899364412,0.010685897171133218,0.7556070352770444,0.0,0.0,0.0
1,3,5000.0,-0.010748725688208172,0.14838602009011456,0.0020984952207800654,0.0003106765085947837,-0.011009205479091943,0.07243759002148915,5.1221111117005975,0.0,0.0,0.0
1,5,5000.0,-0.00474470223331247,0.13318121961303353,0.0018834668703014165,0.004200555465001752,-0.008868618628807532,0.03562591067343056,2.519132302312895,0.0,0.0,0.0
2,3,5000.0,-0.01089715893378429,0.16111724159637852,0.0022785418819774106,0.0021831655279003575,-0.012979382769812904,0.06763496461218728,4.78251421225898,0.0,0.0,0.0
2,5,5000.0,-0.017207157516889282,0.16070780013289862,0.0022727515052708993,-0.004283464361267833,-0.012913498511777843,0.10707107870719208,7.5710685822814074,0.0,0.0,0.0
3,3,5000.0,-0.012223936545583625,0.1400614176147279,0.001980767563559501,-0.0023949119279488905,-0.009808600352123607,0.08727554492707233,6.171312964968403,0.0,0.0,0.0
3,5,5000.0,-0.02211328030675186,0.1613484978163372,0.0022818123388038975,-0.00921193329221924,-0.013016668873794286,0.13705290477462875,9.691103834745416,0.0,0.0,0.0
4,3,5000.0,0.005095471789670292,0.19742979902967484,0.0027920789940436065,0.02542098797337258,-0.019489262772448897,0.025809030930049284,1.8249740786491198,0.0,0.0,0.0
4,5,5000.0,-0.00443478770801331,0.17635796933733533,0.0024940783206943806,0.011452451758084516,-0.015551066674394256,0.02514651152242802,1.7781268820694505,0.0,0.0,0.0
5,3,5000.0,-0.007325495567056084,0.16022152141268953,0.0022658744856587677,0.005624938131158367,-0.012835467961898463,0.04572104610208692,3.2329661741728426,0.0,0.0,0.0
5,5,5000.0,-0.005122195819958764,0.18290334986694612,0.002586643979853064,0.011841695790308216,-0.01672681769627525,0.028004931695810538,1.9802477108773713,0.0,0.0,0.0
6,3,5000.0,-0.00837303154695701,0.16245935237507245,0.0022975221946317714,0.004984021626036662,-0.013196520587063979,0.051539239967090734,3.644374607793059,0.0,0.0,0.0
6,5,5000.0,-0.013154986184735984,0.15492426937826284,0.002190960028954821,-0.0010875990079014279,-0.012000764621194275,0.08491236549011434,6.0042109444650436,0.0,0.0,0.0
7,3,5000.0,-0.018025923655668796,0.11590505496102309,0.0016391450067347784,-0.01132492428688704,-0.006716990882758891,0.15552318802428944,10.997150088372553,0.0,0.0,0.0
7,5,5000.0,-0.007495594755156043,0.15988650844697397,0.00226113668686191,0.005385063157963204,-0.01278184779168214,0.04688072075601014,3.31496755534877,0.0,0.0,0.0
8,3,5000.0,-0.016039257204396362,0.16920737640734174,0.0023929536656883193,-0.001770311389204689,-0.014315568115327913,0.0947905318606455,6.702702787094192,0.0,0.0,0.0
8,5,5000.0,-0.003283623658938639,0.17521953359025355,0.0024779784079602464,0.012363414296608371,-0.015350942475792996,0.01874005478531469,1.3251219818503428,0.0,0.0,0.0
9,3,5000.0,-0.017094656741954095,0.13754466207814836,0.0019451752654294173,-0.007649784365336838,-0.009459267033096012,0.12428440685136492,8.788234688034795,0.0,0.0,0.0
9,5,5000.0,-0.005759010925884711,0.13791360179950063,0.0019503928610057628,0.003828445772455896,-0.00951008078065561,0.04175810689258327,2.9527440553258337,0.0,0.0,0.0
10,3,5000.0,-0.016535676009379552,0.16770387423036073,0.0023716909339908795,-0.002573695247116278,-0.014062294715936325,0.09860044131518322,6.972104068195228,0.0,0.0,0.0
10,5,5000.0,-0.014713690555214987,0.13101064027059492,0.001852770242858581,-0.00614732457937237,-0.008581893932055615,0.11230912637954221,7.941454485211127,0.0,0.0,0.0
11,3,5000.0,-0.008733624815710384,0.1483242704104864,0.0020976219484360424,0.002304862150872008,-0.011000044596401545,0.058881967135520956,4.1635838251130295,0.0,0.0,0.0
11,5,5000.0,-0.012765007756681657,0.16024714227408113,0.0022662368193553644,2.623398420669324e-05,-0.012839573303504798,0.07965825521461614,5.632689243974373,0.0,0.0,0.0
12,3,5000.0,-0.00913579276032217,0.11994580283226443,0.0016962898111511754,-0.0019133288578182816,-0.007193497808538226,0.07616600618445915,5.3857499468927585,0.0,0.0,0.0
