group,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_00,3,5000.0,0.0906008215159101,0.3518260999274206,0.20317388565635341,0.2007536738111801,0.0008390706978291476,0.028969614176551528,0.15293066187434534,0.1609795248324738,0.1753758140843019,0.2304384095283218,0.25521511800456376,0.26698060731302053,0.5526310418966917,0.9059691597622681
group_3s_01,3,5000.0,0.0672363233175028,0.3529497023529073,0.15752133845591634,0.15483335007068064,0.0009142129894792907,0.030238979292512857,0.10543463264794259,0.1138260774889571,0.1293666784791215,0.1851935589400818,0.2120098858670437,0.22562667188329175,0.6620588524823628,1.3531031352215983
group_3s_02,3,5000.0,0.0756376307466057,0.3525032835314052,0.1793351204231101,0.1760706955008995,0.0009973780048054394,0.03158445060958796,0.12674069704695248,0.1343748476974715,0.1496019559907237,0.20884350026429843,0.23536323807983978,0.25067651228050913,0.6975214051742336,1.2851709063080303
group_3s_03,3,5000.0,0.0672598461730586,0.4299015399161727,0.1678729720228067,0.1633904525819073,0.0015336926293421775,0.03916630476861486,0.1028421280470557,0.11159781599191347,0.13064976105602766,0.2037794070315208,0.23762265172318453,0.256693055468731,0.8089145349874265,1.738077709140173
group_3s_04,3,5000.0,0.0974362315434284,0.3227908339264105,0.17475760605390042,0.172085201159265,0.0008623779983778009,0.02936921021204855,0.12450374117587812,0.131887505643081,0.14591550174454307,0.2030632494237949,0.22559425248508247,0.24119178008490902,0.5828789002919205,0.6713836068632335
group_3s_05,3,5000.0,0.0931596331980689,0.5914906621226559,0.202482975445476,0.19733169395538394,0.0018751346702904307,0.043307156132039885,0.1327455469435113,0.1417739353475193,0.16211791397142516,0.24248032778542608,0.2781777333867245,0.2989594683824892,0.9812596052203014,3.0683094981916694
group_3s_06,3,5000.0,0.0995281983093637,0.5980710557154598,0.21465462323422316,0.20900933293676316,0.0020778990556741418,0.04558853714057807,0.1418193829661306,0.1514230657575939,0.17184336709278772,0.2574431016640734,0.29482973578282684,0.3162815825269934,0.9642417328746942,2.701365533722642
group_3s_07,3,5000.0,0.0960237480094663,0.5949272834523236,0.20305186140279913,0.19822179176826116,0.0018906117356881594,0.04348551406704185,0.1327761402445075,0.14216637931297432,0.16277764698591926,0.24281913966441968,0.2791126666558317,0.3008124452324233,0.9788019807651993,3.082255493881953
group_3s_08,3,5000.0,0.0756870892115698,0.3535708942632479,0.17325280489209408,0.169694889191342,0.0011224597216652487,0.033506480843516706,0.1172627664689438,0.1244891459476899,0.14088228613990708,0.2049211604895486,0.23210948612578783,0.2504745307869637,0.6866175003552235,1.0062690369976588
group_3s_09,3,5000.0,0.1075698829728832,0.3115631093094618,0.18473668252736494,0.18326892881874257,0.0006985496428390464,0.026432733129874965,0.13732852681987853,0.14420353656695298,0.1592102126943583,0.21039265107488028,0.23087669886289927,0.2413083408236925,0.36758343270793525,0.4148607862112774
