site,n_storeys,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
0,3,5000.0,-0.03271887190033729,0.10204617795296177,0.0014431508884941685,-0.02723294606950868,-0.0052067112174037705,0.3206280975600974,22.67183020236868,-0.008531760467441751,0.08360685954719901,5.911897733953567
0,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
1,3,5000.0,-0.037274597512621854,0.12249123137326756,0.0017322876067985573,-0.029535189487266786,-0.007502050881669683,0.3043042109604969,21.517557111378913,-0.013087486079726318,0.10684426903869403,7.555030716818044
1,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
2,3,5000.0,-0.037274597512621854,0.12249123137326756,0.0017322876067985573,-0.029535189487266786,-0.007502050881669683,0.3043042109604969,21.517557111378913,-0.013087486079726318,0.10684426903869403,7.555030716818044
2,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
3,3,5000.0,-0.04445863442211939,0.14434584285021443,0.002041358486309487,-0.03370195380699188,-0.0104178611740694,0.30800079548015435,21.778945109486806,-0.020271522989223856,0.14043717913136797,9.930408169450018
3,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
4,3,5000.0,-0.03271887190033729,0.10204617795296177,0.0014431508884941685,-0.02723294606950868,-0.0052067112174037705,0.3206280975600974,22.67183020236868,-0.008531760467441751,0.08360685954719901,5.911897733953567
4,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
5,3,5000.0,-0.037274597512621854,0.12249123137326756,0.0017322876067985573,-0.029535189487266786,-0.007502050881669683,0.3043042109604969,21.517557111378913,-0.013087486079726318,0.10684426903869403,7.555030716818044
5,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
6,3,5000.0,-0.037274597512621854,0.12249123137326756,0.0017322876067985573,-0.029535189487266786,-0.007502050881669683,0.3043042109604969,21.517557111378913,-0.013087486079726318,0.10684426903869403,7.555030716818044
6,5,5000.0,-0.039066631335562096,0.13503123086397542,0.0019096299803176649,-0.0296992643944717,-0.009116716654320112,0.289315524161341,20.457696903702466,-0.01487951990266656,0.1101931738862363,7.791834049542607
7,3,5000.0,-0.03759089917919378,0.12606874524440528,0.0017828812931599658,-0.02935242265610081,-0.007946664263749379,0.2981777847183103,21.084353357349972,-0.013403787746298246,0.10632125924877549,7.518048339910208
