group,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
group_3s_00,1000.0,-0.02458262608248707,0.13885088629082157,0.004390850558120449,-0.014841381759013152,-0.00963978431187333,0.1770433501663003,5.598602311122592,0.0,0.0,0.0
group_3s_01,1000.0,-0.031077477232407835,0.1976429219523471,0.006250017967803098,-0.01179421102177073,-0.01953136229893078,0.1572405271356027,4.972382062340162,0.0,0.0,0.0
group_3s_02,1000.0,-0.02112393876595542,0.17015029578168084,0.005380624792214513,-0.006684036957636155,-0.014475561577296738,0.12414870434935629,3.925926743028183,0.0,0.0,0.0
group_3s_03,1000.0,-0.036335318186784704,0.23081280645180216,0.00729894181523302,-0.009817068452223802,-0.02663727581107854,0.15742331955212446,4.978162466092312,0.0,0.0,0.0
group_3s_04,1000.0,-0.033610904419385745,0.16379250770829804,0.005179573880289079,-0.019874463036681143,-0.013413992790686434,0.2052041628133822,6.489125398383134,0.0,0.0,0.0
group_3s_05,1000.0,-0.02210232335621254,0.21411388636218354,0.006770875595749641,0.0009232006092687414,-0.022922378166559024,0.10322694960020219,3.2643227664804657,0.0,0.0,0.0
group_3s_06,1000.0,-0.019596705673120773,0.21112516849280039,0.006676364038240677,0.0028557223463037485,-0.022286918385556676,0.0928203198747905,2.93523623949733,0.0,0.0,0.0
group_3s_07,1000.0,-0.023151529049825204,0.21464882623243,0.006787791879761778,-2.799528579075456e-05,-0.023037059301479968,0.10785770160585847,3.410760002653134,0.0,0.0,0.0
group_3s_08,1000.0,-0.030782197950039336,0.19016046659642635,0.006013401953650744,-0.012496572944042904,-0.01808050152808529,0.16187485496324408,5.118932375932633,0.0,0.0,0.0
group_3s_09,1000.0,-0.023726571990157375,0.1395718323813721,0.0044136488752837865,-0.013927484213533712,-0.009740148197146917,0.16999541802479073,5.375727127507807,0.0,0.0,0.0
group_3s_10,1000.0,-0.03640282315368837,0.15122601860469223,0.004782186602698259,-0.024732285122313197,-0.01143465435151336,0.2407179894674478,7.612171204935574,0.0,0.0,0.0
group_3s_11,1000.0,-0.05321569338575327,0.2088755541438467,0.006605224986243772,-0.03108870074179749,-0.02181449855944952,0.25477224275419574,8.056605716925885,0.0,0.0,0.0
group_3s_12,1000.0,-0.03030814112567848,0.1905171614214832,0.006024681634418493,-0.012042997902932114,-0.01814839439804974,0.1590835224477623,5.030662691374537,0.0,0.0,0.0
group_3s_13,1000.0,-0.029360361689468872,0.1858527845131782,0.005877181085461112,-0.012169499986126743,-0.017270628755650923,0.15797644230284336,4.995653743271604,0.0,0.0,0.0
group_3s_14,1000.0,-0.03289638117047633,0.17078590518297776,0.005400724526317656,-0.01785397164546538,-0.014583912704584536,0.1926176585546189,6.091105186012121,0.0,0.0,0.0
group_3s_15,1000.0,-0.0480273457135032,0.22142832919793795,0.007002178587510489,-0.023706880893802504,-0.02451525248569519,0.21689792759340595,6.858914709654463,0.0,0.0,0.0
group_3s_16,1000.0,-0.03442031636901999,0.13497021203971832,0.004268132863213905,-0.025140327933865975,-0.00910847906902326,0.2550215773454587,8.064490369004465,0.0,0.0,0.0
group_3s_17,1000.0,-0.03887235057998173,0.20492449090538842,0.0064802813961148805,-0.017517630682351588,-0.02099702348641631,0.18969109259824246,5.998559044563535,0.0,0.0,0.0
group_3s_18,1000.0,-0.029816668592183904,0.1772964961642516,0.005606607490463416,-0.013861301727418238,-0.015717023776060244,0.16817404312694959,5.318130196005463,0.0,0.0,0.0
group_3s_19,1000.0,-0.036400563983238765,0.20789170655776995,0.006574112993819161,-0.014569013179914018,-0.021609480827750965,0.17509387260296314,5.536954417647185,0.0,0.0,0.0
group_3s_20,1000.0,-0.03559298394382271,0.18787230682807915,0.00594104398846734,-0.017758117544335716,-0.017648001836451956,0.18945306279969001,5.991031881419367,0.0,0.0,0.0
group_3s_21,1000.0,-0.03559298394382271,0.18787230682807915,0.00594104398846734,-0.017758117544335716,-0.017648001836451956,0.18945306279969001,5.991031881419367,0.0,0.0,0.0
group_3s_22,1000.0,-0.03710230210893273,0.22089749279426066,0.00698539206650496,-0.012386838636529578,-0.024397851161395222,0.1679616261805608,5.3114129823633975,0.0,0.0,0.0
group_3s_23,1000.0,-0.05313760258275568,0.2085967125670695,0.006596407241354085,-0.031069632543539383,-0.021756294246894303,0.25473844687590896,8.055536997416764,0.0,0.0,0.0
group_3s_24,1000.0,-0.0457514480110921,0.2092900538134875,0.006618332616698295,-0.023646733922299434,-0.02190116331262625,0.21860306869558313,6.91283600580296,0.0,0.0,0.0
