site,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
0,3,5000.0,0.1173189508186482,0.2894423153426014,0.2094333578979572,0.21002476398648945,0.0004920132508773573,0.02218359017859823,0.16470749406955348,0.17205721919795738,0.18746025878907752,0.2315922554638712,0.24519010192855284,0.25120714289143337,-0.14430925203242873,0.03865271784102253
0,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
1,3,5000.0,0.0941998109691283,0.2513725896471609,0.1802579442497568,0.181048181175765,0.000446734005603032,0.021138196949529245,0.1361985052445811,0.14464695331166688,0.16007425187624807,0.2006014820194634,0.21339508112375416,0.21844573074068607,-0.24484806849062385,0.2771612470349307
1,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
2,3,5000.0,0.0941998109691283,0.2513725896471609,0.1802579442497568,0.181048181175765,0.000446734005603032,0.021138196949529245,0.1361985052445811,0.14464695331166688,0.16007425187624807,0.2006014820194634,0.21339508112375416,0.21844573074068607,-0.24484806849062385,0.2771612470349307
2,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
3,3,5000.0,0.0792420055091138,0.2691721641946218,0.1799923375733551,0.1802534683209956,0.0007242847422008397,0.026915230411914834,0.12725757933634066,0.13593707566924107,0.15267973520618608,0.20737196992305862,0.2233885820146631,0.2318198788686503,-0.023817446173219913,-0.18169249316087344
3,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
4,3,5000.0,0.1173189508186482,0.2894423153426014,0.2094333578979572,0.21002476398648945,0.0004920132508773573,0.02218359017859823,0.16470749406955348,0.17205721919795738,0.18746025878907752,0.2315922554638712,0.24519010192855284,0.25120714289143337,-0.14430925203242873,0.03865271784102253
4,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
5,3,5000.0,0.0941998109691283,0.2513725896471609,0.1802579442497568,0.181048181175765,0.000446734005603032,0.021138196949529245,0.1361985052445811,0.14464695331166688,0.16007425187624807,0.2006014820194634,0.21339508112375416,0.21844573074068607,-0.24484806849062385,0.2771612470349307
5,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
6,3,5000.0,0.0941998109691283,0.2513725896471609,0.1802579442497568,0.181048181175765,0.000446734005603032,0.021138196949529245,0.1361985052445811,0.14464695331166688,0.16007425187624807,0.2006014820194634,0.21339508112375416,0.21844573074068607,-0.24484806849062385,0.2771612470349307
6,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
7,3,5000.0,0.1037360964713285,0.257748777296272,0.1804574741185695,0.180855196266784,0.0004916795592851385,0.02217606626225923,0.13714351832472493,0.1432812970276136,0.15799828360562607,0.20267288409844011,0.21602770381230513,0.22292400018938952,-0.07057947777591962,-0.08806529157589171
7,5,5000.0,0.0928230642620747,0.2794702037693775,0.19035613731235143,0.19202169134489866,0.0006041339199975903,0.024581594149928124,0.13844640468329422,0.14713199753503345,0.16596690872714828,0.21448561321490434,0.22809704074641163,0.23451077735041773,-0.30660751753512194,0.05250888342530802
8,3,5000.0,0.1173189508186482,0.2894423153426014,0.2094333578979572,0.21002476398648945,0.0004920132508773573,0.02218359017859823,0.16470749406955348,0.17205721919795738,0.18746025878907752,0.2315922554638712,0.24519010192855284,0.25120714289143337,-0.14430925203242873,0.03865271784102253
8,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
9,3,5000.0,0.1003498031154282,0.2671627319541705,0.1756577672970875,0.175248094993057,0.0005755502836635583,0.023993028503023702,0.12953260377331713,0.13695976527641562,0.1515721516239046,0.19959256340187462,0.2158280468451886,0.2231300338783077,0.06898133273142903,-0.10467365526846573
9,5,5000.0,0.0999850824204733,0.2597159216530793,0.1751459451042834,0.17555671589581257,0.0005513421928624312,0.02348302543027842,0.1293843860031548,0.13593599579536667,0.15149287996548919,0.1987292037024399,0.21360545619809249,0.22131987242052556,-0.018110548919372704,-0.13992362989323626
10,3,5000.0,0.1037360964713285,0.257748777296272,0.1804574741185695,0.180855196266784,0.0004916795592851385,0.02217606626225923,0.13714351832472493,0.1432812970276136,0.15799828360562607,0.20267288409844011,0.21602770381230513,0.22292400018938952,-0.07057947777591962,-0.08806529157589171
10,5,5000.0,0.0891241620748251,0.2704141153601949,0.18584390222792754,0.1862029137964443,0.0006485958232017849,0.02547009164324793,0.13380408112564235,0.14255537082526226,0.1603171937189169,0.21110997606851592,0.2271424716928489,0.2338780070761328,-0.10192289510904227,-0.09086154453205086
