group,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_00,3,5000.0,0.1191145306416013,0.2831612207620702,0.20972209301872985,0.21045537462750585,0.00043540475759049107,0.02086844162753135,0.16698583662626132,0.1740980374704824,0.188887687712021,0.23032758217698526,0.24252720031503494,0.24819511057350663,-0.22413602198138774,0.14140289566918796
group_3s_01,3,5000.0,0.0927487272795767,0.2470772709559389,0.17663933725024578,0.17751115070401813,0.00043487242800428554,0.02085568075820742,0.13297419471072164,0.14144097971365574,0.15649932894828503,0.19711726315527442,0.2093113247848938,0.21463899820774618,-0.2597285442514768,0.2860876510976005
group_3s_02,3,5000.0,0.0816588232042865,0.2600298713785429,0.1786667610421493,0.1788787627294264,0.0006266256876514893,0.025034996262413563,0.1286942535829312,0.1365198587603269,0.15330256079586088,0.20384353386554327,0.21834543846712218,0.2262341397538628,-0.0642889748089036,-0.1280553305609069
group_3s_03,3,5000.0,0.1006494556899559,0.2494435358268318,0.17685414776113703,0.17726441901356527,0.00047401675573385626,0.021774103381068673,0.13435095432999652,0.1406286589136665,0.15508931344681498,0.1984643934743026,0.2120634300033926,0.21795114470588614,-0.06515425295779549,-0.07334556020422012
group_3s_04,3,5000.0,0.1039529489257707,0.2667269784855249,0.1755116304922402,0.17506144144158636,0.0005752639214808451,0.02398705895436748,0.12945509452241794,0.13650747916226394,0.15129024144322167,0.1995358453082798,0.21538185805989368,0.2233582399968874,0.08691580782860178,-0.12307380022078762
group_3s_05,3,5000.0,0.0717690023816777,0.2552648633784496,0.17064424815481766,0.17136051245260758,0.0006284763964579934,0.025071938833711477,0.11836751118646284,0.12749122280616415,0.14582722425691522,0.19581327234680512,0.20969502656259567,0.2164883364207345,-0.1875946150524501,0.016249043996400925
group_3s_06,3,5000.0,0.0733313724764747,0.2500449736980059,0.16779836931995054,0.1684931562607339,0.0006633176173946528,0.025757529141129668,0.1141796364586945,0.12328674339200928,0.14258787630948513,0.19315661478006987,0.20808449548015542,0.2140206128638306,-0.22802108574067467,0.05007055864443899
group_3s_07,3,5000.0,0.0715003892720703,0.2552481971980255,0.1705844756287491,0.1712583995883116,0.0006388616996644748,0.025278241583701736,0.11799252019224357,0.12654372251937662,0.14581313393601636,0.19555579078532556,0.2104759013834964,0.21650944645513429,-0.18715094723221828,0.014883932456152937
group_3s_08,3,5000.0,0.1062222912833448,0.2670431897573568,0.17754416257841857,0.1771315660955459,0.000560281633121186,0.02367263635220122,0.13255846833196028,0.13915279840095118,0.15356859882590762,0.20118939954592455,0.21704274046341837,0.2242656679472894,0.08842195151034069,-0.11344264442214058
group_3s_09,3,5000.0,0.1009058872107294,0.2072393967730808,0.15819733406772882,0.15897210316080895,0.0002651504429782279,0.016285069348177885,0.12494889615894028,0.13065630188722396,0.14177012976931772,0.1742657669085853,0.18412997095139239,0.1887975943412345,-0.1625721480542298,-0.08258174926513417
group_3s_10,3,5000.0,0.1151539182640492,0.2866486677759767,0.20563341342089506,0.20690749780246753,0.00046727822978315724,0.0216187812821163,0.16088402205289054,0.1688290736107947,0.18382602432730047,0.2267391161603242,0.2398637493853592,0.24558694642406248,-0.2157990567730502,0.16843527291801896
group_3s_11,3,5000.0,0.1238530778190646,0.3822186408393454,0.2590060420302807,0.26029819070534455,0.0012779360438649843,0.035751806698423295,0.18688202776865911,0.19772039224682464,0.2225628905868814,0.29494404035083976,0.3151240654425177,0.32584086028347387,-0.14336942548506237,-0.037957145042037066
group_3s_12,3,5000.0,0.0979838710465789,0.2390675080931724,0.17013982180748047,0.17016861815867612,0.00035226565858835815,0.018770618684889447,0.13329213391044406,0.13929413892318115,0.15113547124784976,0.18937718366528794,0.20056347200099933,0.20603974893235377,-0.0793048273066133,0.01310494475464008
group_3s_13,3,5000.0,0.0919402122085495,0.2232438174567519,0.16821891859060162,0.16846607739763086,0.0002745847906510148,0.016572257498444008,0.13489864046926847,0.1404709832720909,0.15182026513635352,0.18446789945407302,0.1951237698389963,0.2004113220762218,-0.1029979637655265,0.07905939766641668
group_3s_14,3,5000.0,0.1193139830205009,0.2859974791631456,0.21086071526314917,0.2117874765854472,0.00047312260701816536,0.021753557191141384,0.1667851854596943,0.17364197740211176,0.18952795953878696,0.23234770212448683,0.24455360556887115,0.250337903157406,-0.2116170717597775,0.1680744849296234
group_3s_15,3,5000.0,0.1044051015332807,0.50935781299006,0.3178919185506368,0.3199269567782955,0.004282339239328661,0.0654461295914767,0.18128522285121512,0.2044836141699291,0.2507947808357588,0.38309491745573815,0.4201690498536703,0.43743645549880805,-0.19311526064806567,-0.22709728522951655
group_3s_16,3,5000.0,0.1025812554360681,0.2866592371155784,0.20064397012774132,0.2016449251007627,0.0005144801616657694,0.0226844236929534,0.1546208021932781,0.16227968073451116,0.17750489939515446,0.22317686144574414,0.23607369832114386,0.24299407715568971,-0.17398853687777635,0.049422846224146166
group_3s_17,3,5000.0,0.1091207416151263,0.3398548493438254,0.21738814941535148,0.2176931182018608,0.0009773814724544315,0.031266227592276014,0.15689319913735802,0.1664648020186085,0.18484819718073264,0.24870227926710348,0.26879973385509204,0.2774324246669695,-0.011408139051242504,-0.19431680106126503
