event_id;event_time;ISC_ev_id;INGV_ev_id;EMSC_ev_id;ev_nation_code;ev_latitude;ev_longitude;ev_depth_km;ev_hyp_ref;fm_type_code;ML;ML_ref;Mw;Mw_ref;Ms;Ms_ref;network_code;station_code;location_code;instrument_code;sensor_depth_m;proximity_code;housing_code;installation_code;st_nation_code;st_latitude;st_longitude;st_elevation;ec8_code;ec8_code_ref;vs30_m_sec;vs30_ref;vs30_meas_type;slope_deg;vs30_m_sec_WA;epi_dist;epi_az;instrument_type_code;U_hp;V_hp;U_lp;V_lp;U_pga;V_pga;U_pgv;V_pgv;U_T0_025;U_T0_040;U_T0_050;U_T0_070;U_T0_100;U_T0_150;U_T0_200;U_T0_250;U_T0_300;U_T0_350;U_T0_400;U_T0_450;U_T0_500;U_T0_600;U_T0_700;U_T0_750;U_T0_800;U_T0_900;U_T1_000;U_T1_200;U_T1_400;U_T1_600;U_T1_800;U_T2_000;U_T2_500;U_T3_000;U_T3_500;U_T4_000;U_T4_500;U_T5_000;V_T0_025;V_T0_040;V_T0_050;V_T0_070;V_T0_100;V_T0_150;V_T0_200;V_T0_250;V_T0_300;V_T0_350;V_T0_400;V_T0_450;V_T0_500;V_T0_600;V_T0_700;V_T0_750;V_T0_800;V_T0_900;V_T1_000;V_T1_200;V_T1_400;V_T1_600;V_T1_800;V_T2_000;V_T2_500;V_T3_000;V_T3_500;V_T4_000;V_T4_500;V_T5_000
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;FAVR;0;HH;0;;;;IT;37.2671;13.667;289;A*;ESM;;;;10.276092;819.548531;127.6;61.8;D;0.1;0.1;25;25;0.055336;-0.063758;-0.004465;-0.003656;0.055738;0.056593;0.058463;0.079942;0.156109;0.124777;0.145782;0.1504;0.125276;0.153856;0.117985;0.141162;0.12;0.09739;0.100668;0.09391;0.088458;0.060134;0.055819;0.068046;0.029834;0.027783;0.019988;0.021482;0.0174;0.007774;0.005325;0.003114;0.002608;0.00238;0.064305;0.066161;0.065745;0.072821;0.138727;0.125631;0.11622;0.152866;0.155461;0.132858;0.147319;0.13404;0.095453;0.099951;0.076756;0.075191;0.072121;0.053328;0.050055;0.060306;0.04287;0.023806;0.026645;0.031094;0.020549;0.012174;0.007205;0.003804;0.003479;0.00188
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;GALF;0;HH;0;;;;IT;37.7107;14.5665;740;A*;ESM;;;;5.561072;613.148861;34.8;72.6;D;0.04;0.04;30;30;-0.603239;0.66682;-0.053879;0.044666;0.607425;0.61422;0.62328;0.657084;0.753837;0.974032;1.42592;1.99283;2.09263;1.81609;1.27986;1.47102;1.41435;1.48937;1.15823;1.04344;0.950131;0.534209;0.393608;0.243689;0.13442;0.085201;0.060571;0.047051;0.030886;0.020075;0.015223;0.012412;0.010614;0.008672;0.670177;0.679618;0.692462;0.728334;0.758013;0.946842;1.43576;1.8461;2.86598;2.5175;2.23817;1.33236;1.18668;1.53588;1.20614;1.12596;1.16688;0.748991;0.511556;0.29553;0.194745;0.136459;0.101933;0.075681;0.044521;0.030032;0.021667;0.016527;0.013765;0.010989
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;GIB;0;HH;0;;;;IT;37.990126;14.026023;1020;A*;ESM;;;;6.748967;684.188324;83.3;104.1;D;0.1;0.1;30;30;-0.232015;0.447087;-0.02637;0.039406;0.233413;0.234959;0.237503;0.243432;0.246395;0.3004;0.360179;0.615821;0.802734;0.737922;1.03041;1.01371;0.90428;0.578893;0.347453;0.352409;0.284725;0.262987;0.234551;0.269983;0.147558;0.11933;0.128619;0.115016;0.072379;0.0361;0.02319;0.015832;0.012519;0.009516;0.448173;0.451028;0.450916;0.459388;0.469085;0.52308;0.594366;0.798196;1.06309;0.889293;1.10847;1.61387;2.11931;1.41312;0.563523;0.434507;0.471923;0.595577;0.631326;0.345959;0.183911;0.127903;0.088489;0.073053;0.047685;0.03623;0.024288;0.016366;0.013047;0.009663
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;GRI;0;EH;0;0;BOX;P;IT;38.82213;16.42002;510;C*;ESM;;;;3.010182;496.723561;171.6;229.3;D;0.2;0.2;30;30;0.029356;0.021114;0.001421;0.001866;0.029434;0.030371;0.031002;0.030973;0.036932;0.0449;0.086951;0.06509;0.05948;0.053055;0.053934;0.04247;0.060574;0.052246;0.041492;0.034128;0.033012;0.03697;0.027328;0.018999;0.010229;0.005039;0.004672;0.005086;0.00473;0.002417;0.001186;0.000723;0.000645;0.000438;0.021829;0.024511;0.021077;0.023026;0.027123;0.038283;0.046075;0.049447;0.053223;0.072035;0.044461;0.051183;0.043471;0.039884;0.040512;0.041014;0.038745;0.038183;0.050323;0.026409;0.01445;0.010347;0.006821;0.005282;0.003266;0.001591;0.001159;0.000768;0.000614;0.000463
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;HAGA;0;HH;0;;;;IT;37.285;15.155;126;A*;ESM;;;;11.650139;855.426134;60.6;342;D;0.04;0.04;30;30;-0.996649;-0.875964;0.01871;-0.022766;1.1089;1.31245;1.45337;2.22579;3.19268;1.88367;0.937336;1.08689;0.752058;0.500731;0.480602;0.482885;0.308239;0.305149;0.335048;0.379904;0.305842;0.182461;0.1567;0.144269;0.078381;0.06007;0.058222;0.045532;0.030031;0.014961;0.009461;0.006649;0.005326;0.004334;0.977895;1.66072;2.53399;3.52067;2.26832;1.50667;1.19283;1.46037;0.79056;0.607533;0.451511;0.304252;0.298752;0.33302;0.502426;0.502985;0.374946;0.222197;0.223933;0.150005;0.108624;0.091604;0.091822;0.077299;0.042642;0.026045;0.017971;0.012641;0.009874;0.007198
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;HAVL;0;HH;0;;;;IT;36.9596;15.122;502;A*;ESM;;;;4.472937;563.388787;95;350.5;D;0.04;0.04;30;30;-0.672697;0.899284;0.015783;-0.023206;0.702793;0.783509;1.04249;1.62148;2.36195;1.63662;1.4135;1.21318;1.03046;0.848206;0.429956;0.306537;0.250925;0.289377;0.295779;0.244433;0.177874;0.123711;0.128469;0.094019;0.042983;0.034253;0.032651;0.031883;0.019832;0.013514;0.007066;0.005145;0.003783;0.002996;0.949496;1.17157;1.29701;2.66412;2.41276;2.17349;1.79853;2.2463;1.32455;0.892908;0.502167;0.327373;0.349006;0.241816;0.189044;0.181205;0.13427;0.100112;0.125903;0.067942;0.034443;0.032114;0.030914;0.03345;0.028455;0.012326;0.007563;0.00512;0.004859;0.004061
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;HCRL;0;HH;0;;;;IT;37.2831;15.0325;240;A*;ESM;;;;4.213329;551.540196;58.4;352.2;D;0.1;0.1;30;30;1.136087;-1.005663;-0.031475;-0.029094;1.17955;1.27767;1.39712;2.12574;3.2615;3.79806;1.64823;1.17931;1.49583;1.01367;0.566519;0.368016;0.281785;0.31151;0.330567;0.320968;0.241553;0.139888;0.119161;0.117031;0.070678;0.058653;0.048449;0.045188;0.029752;0.017344;0.012068;0.008486;0.00662;0.00537;1.0688;1.12997;1.42795;2.37586;2.71466;2.77913;1.65859;1.04124;1.36489;1.13963;0.918159;0.638018;0.446308;0.347952;0.288206;0.320588;0.284132;0.178019;0.183687;0.162254;0.09534;0.061417;0.050102;0.038209;0.029592;0.020015;0.013014;0.009422;0.007559;0.005902
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;HLNI;0;HH;0;;;;IT;37.3485;14.872;146;B*;ESM;;;;9.186495;791.321225;50.9;7.1;D;0.04;0.04;30;30;2.042489;-1.395605;-0.034911;0.027331;2.18611;2.65329;3.00553;5.9883;8.64736;4.65808;2.61146;1.68377;1.23087;0.530419;0.425227;0.43629;0.393269;0.213065;0.150735;0.13498;0.154435;0.096238;0.114896;0.12554;0.079121;0.055893;0.059551;0.061464;0.044934;0.024726;0.016367;0.011376;0.008408;0.005772;1.54021;1.81519;2.05409;4.53927;6.28151;3.43757;1.46452;1.29072;1.17086;0.815299;0.550802;0.35066;0.25748;0.240546;0.127856;0.102144;0.099068;0.080992;0.076661;0.06576;0.06389;0.053437;0.057769;0.049829;0.025374;0.014257;0.009612;0.006468;0.00506;0.004216
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;HMDC;0;HH;0;;;;IT;36.959;14.7831;595;A*;ESM;;;;7.174178;710.550353;94.8;8.5;D;0.04;0.04;30;30;-0.605947;0.504603;0.03421;0.031861;0.626808;0.731605;0.830199;1.14546;1.44122;1.13796;1.66782;1.00763;0.875216;0.896716;0.854712;0.944337;0.728307;0.65269;0.563091;0.625039;0.588589;0.376211;0.452363;0.405194;0.182945;0.118721;0.100053;0.081915;0.055991;0.028743;0.021136;0.01484;0.011484;0.008542;0.529854;0.565961;0.770999;1.28731;1.23135;1.55984;1.26322;0.951586;0.758415;0.801758;0.863256;0.832937;0.841232;0.818148;0.775978;0.66482;0.425281;0.333888;0.353921;0.28048;0.127976;0.086375;0.076257;0.058112;0.032489;0.018579;0.013946;0.010676;0.008955;0.006934
EMSC-20110506_0000042;06.05.2011 15:12;16497798;2350579;20110506_0000042;IT;37.804;14.943;20.35;INGV_OSS_ETNEO_SEISMIC_CATALOG;TF;4;INGV_OSS_ETNEO_SEISMIC_CATALOG;4.3;INGV_OSS_ETNEO_SEISMIC_CATALOG;;;IV;HVZN;0;HH;0;;;;IT;37.1783;14.7155;787;A*;ESM;;;;8.255468;767.339851;72.3;16.1;D;0.1;0.1;30;30;0.504434;-0.600555;-0.030461;-0.030744;0.523729;0.569751;0.663765;1.04138;1.49054;1.52006;1.41206;1.08562;1.17463;1.19319;1.05133;1.23157;0.887074;0.893054;1.13663;1.05981;0.945417;0.591235;0.332583;0.244841;0.15811;0.107089;0.104447;0.094693;0.071344;0.035867;0.021945;0.014746;0.011155;0.007782;0.617225;0.6594;0.793547;1.06795;1.88567;2.45931;1.45966;1.27705;2.45641;2.37825;1.39415;1.23168;1.25607;1.15533;0.762646;0.690628;0.770305;0.446308;0.434965;0.26021;0.143602;0.094529;0.069719;0.051355;0.026053;0.020073;0.013757;0.009892;0.008621;0.007185
