,GM_RSD595_None_Delta,"rotD50_AvgSA[0,3]_3.0_Delta","rotD50_AvgSA[0,6]_6.0_Delta",rotD50_PGA_None_Delta,rotD50_SA_0.025_Delta,rotD50_SA_0.04_Delta,rotD50_SA_0.05_Delta,rotD50_SA_0.07_Delta,rotD50_SA_0.1_Delta,rotD50_SA_0.15_Delta,rotD50_SA_0.2_Delta,rotD50_SA_0.25_Delta,rotD50_SA_0.3_Delta,rotD50_SA_0.35_Delta,rotD50_SA_0.4_Delta,rotD50_SA_0.45_Delta,rotD50_SA_0.5_Delta,rotD50_SA_0.6_Delta,rotD50_SA_0.7_Delta,rotD50_SA_0.75_Delta,rotD50_SA_0.8_Delta,rotD50_SA_0.9_Delta,rotD50_SA_1.0_Delta,rotD50_SA_1.2_Delta,rotD50_SA_1.4_Delta,rotD50_SA_1.6_Delta,rotD50_SA_1.8_Delta,rotD50_SA_2.0_Delta,rotD50_SA_2.5_Delta,rotD50_SA_3.0_Delta,rotD50_SA_3.5_Delta,rotD50_SA_4.0_Delta,rotD50_SA_4.5_Delta,rotD50_SA_5.0_Delta,rotD50_SA_6.0_Delta,rotD50_SA_7.0_Delta,rotD50_SA_8.0_Delta,event_id,station_code,max_usable_T
158,0.7785951996762548,-2.7555392076342633,-2.6218409933283002,-3.1839941834078545,-3.2509794058987875,-3.339260583137877,-3.424739965435796,-3.1339368897661615,-3.324153579153146,-3.107800739030079,-2.896668443009391,-2.7374617643520907,-2.597967698092754,-2.744411825598519,-2.905214834900381,-2.968904506696026,-2.7956781512782207,-2.6631582370991733,-2.6911107314981972,-2.7280967331998642,-2.718863303841726,-2.5361815649915656,-2.741943795201415,-2.506168495925712,-2.6390634384036815,-2.62049997083421,-2.6506065488989208,-2.618193376229108,-2.6812786816341916,-2.608232729195924,-2.336461280421558,-2.5272919244640377,-2.3153816101843496,-2.383168980462342,-2.6192571161197495,-2.567236257307112,-2.485598089877172,EMSC-20130731_0000025,MNVA,5.3333
159,1.414319981521972,-1.4144474283709094,-1.4020070789961459,-0.7698585179652433,-0.7215462725850248,-0.5220300092708605,-0.5029093746438642,-0.46765651923658424,-0.3240617297771067,-0.8877823754920735,-0.636220506197505,-0.55359066585316,-0.544647518303627,-0.47450817781332777,-0.6283638013980388,-0.8773070037680633,-1.0262920775558158,-1.1484310062924035,-1.2165249395347075,-1.1595871805087299,-1.0863281429670035,-1.1143280916987717,-1.2695352929998496,-1.5667940527465003,-1.768120459953705,-1.7931059103820353,-1.710243453588161,-1.6526049014090916,-1.5826951407004675,-1.6049436897200238,-1.4828976140457915,-1.411434739928346,-1.3566984747032116,-1.4013403999868093,-1.3336043213090907,-1.279523849942768,-1.2421314562275434,EMSC-20130811_0000067,KARP,4.0
160,1.403641548973452,-1.4282698585348825,-1.398487862523794,-0.7910402252353919,-0.7428372449824998,-0.5435461875288565,-0.5245174774288106,-0.4890675342239321,-0.3451309876138602,-0.9085662732029656,-0.6569397005333775,-0.5743904525377381,-0.5653444838320132,-0.4952614902833288,-0.6491634405513729,-0.8980352289759512,-1.046808163860863,-1.1691714023663557,-1.237351609078436,-1.1800719961362027,-1.1072900660123075,-1.1347035278743078,-1.2891121050910623,-1.5868531032755193,-1.7855607000069096,-1.8079327814574793,-1.7225480010518055,-1.6660148606370804,-1.5893856763877832,-1.6025572703241782,-1.4754665786014467,-1.3909213622008956,-1.3343926743124346,-1.3878569202569153,-1.2899761005534565,-1.2877545733386082,-1.2525275408211751,EMSC-20130811_0000067,KARP,5.3333
161,0.4870754914491817,-2.4257579172486476,-2.240747998983979,-1.8404623949481884,-1.9165905779630226,-2.060191853032828,-1.990076730932362,-2.275267485874645,-2.214148040489782,-2.014011722258486,-1.6025625392858647,-1.2266292780668877,-1.3439432688119606,-1.613910095369416,-1.5772578865261249,-2.060344050207176,-2.0375018692384614,-1.9702156916324025,-2.094756187681437,-2.2452279799519648,-2.31732564264769,-2.3103493349435595,-2.621796301881316,-2.6516892592617207,-2.72943268792228,-2.878018284522218,-2.8787316820474924,-2.790442064121729,-2.42776114351307,-2.3831032727367916,-2.1441679377655554,-2.1347488113372837,-2.083131792404256,-2.025076440835617,-2.0237963345386802,-2.086610429441821,-2.1131105812703765,EMSC-20130811_0000067,ZKR,5.3333
162,0.5859249673768452,-1.902748023818603,-1.8377983744378952,-2.472217435605172,-2.5703258758574083,-2.761021059643179,-2.842150131789916,-2.9417036664320175,-2.7883873508329877,-2.400752024509268,-2.1649555865165144,-1.7330520573859172,-1.6298418729396822,-1.7344792006972076,-1.757150193972544,-1.687878264148833,-1.7556574049162537,-1.4268143685793149,-1.329041244439506,-1.3324668983408987,-1.3740888573918362,-1.546338086194126,-1.5240067136458926,-1.8658872169093268,-1.7565825788034939,-1.7563694723047352,-1.9246175125130058,-2.0371668371656266,-2.016476129385895,-1.9663078197903854,-1.8529819873971523,-1.7738662400578473,-1.7014950174915917,-1.7382603523665967,-1.7389962246236532,-1.7195481125065228,-1.749791493473067,EMSC-20131012_0000048,IMMV,8.0
163,0.4532438673096424,-2.1061372072889473,-2.068677037517446,-1.93733881479152,-1.98790715885319,-2.099770338156363,-2.12311469218956,-1.9723039144852441,-1.7025401743849748,-1.936935003949027,-1.7194427863556614,-1.9869332484648092,-2.0335248911919797,-1.9444178802882233,-1.7722560611036648,-1.9598931781485671,-1.7858171377131313,-1.7285506146046998,-1.967364061377614,-2.0114435511116806,-1.882968466253235,-2.049803253586255,-2.151580486994943,-2.269493247716351,-2.1923179114280806,-2.0996342248230437,-2.09778874999056,-2.074226264510898,-2.0748162390140923,-2.1218133523677487,-2.01713732397028,-1.987034982785051,-2.01311696736761,-2.162694575364579,-2.2138691549691547,-2.118955702091645,-2.076949070964897,EMSC-20131012_0000048,KTHA,8.0
164,0.5859061588345651,-1.9010148422156545,-1.8362294530761698,-2.4712103853293694,-2.569394801787036,-2.7602302011217734,-2.841435557780736,-2.941084444953317,-2.7876666934247503,-2.3997999148147873,-2.163740464910566,-1.7317038599257426,-1.628344969148312,-1.732875097298038,-1.7554506943507837,-1.6861254427614885,-1.7538533556876805,-1.4249075274518832,-1.327058436326408,-1.3304498771616995,-1.3720770342036257,-1.544328646268216,-1.5219974410705142,-1.8639227546229478,-1.7546438185228848,-1.7544709451593494,-1.9227830343964012,-2.0354064843229516,-2.0147819306069152,-1.9646921166844589,-1.8515073759528295,-1.7723609843586896,-1.7001544409650844,-1.7369920452412302,-1.7376373877343863,-1.7182523075291058,-1.7489073919508478,EMSC-20131012_0000048,IMMV,8.0
165,0.45477491710688467,-2.13388347341046,-2.0958950390217854,-1.9620073156326914,-2.0122963389429565,-2.123535907737164,-2.1465925247760698,-1.9953819038307987,-1.7260438104618645,-1.961365207505004,-1.7449631916121238,-2.0130272752642284,-2.060232743766395,-1.9715802780983651,-1.7998116768790373,-1.9876715122034216,-1.8137952805509112,-1.756961119750157,-1.9960899996687953,-2.040311332330969,-1.91183197834013,-2.0786545787661748,-2.1804205580961824,-2.2981824158073803,-2.2208727410712132,-2.1280374348819393,-2.1259910738758645,-2.1022231855919102,-2.1024523512220394,-2.1490737758205025,-2.043989363455447,-2.0138294862858395,-2.0399023791241913,-2.188986827912643,-2.240415661079439,-2.1442081346061013,-2.102834708193564,EMSC-20131012_0000048,KTHA,8.0
166,0.8055035748985033,-2.0151884745963464,-1.6562484744939105,-0.5471022831871233,-0.6254084490920153,-0.6079470526213022,-0.4918530423928642,-0.2791312028378927,-0.23136394500879653,-0.3593541439425181,-0.5154735499027971,-0.5598086860067273,-0.7172503529426963,-1.1808628922362878,-1.3857857889873895,-1.458262995592639,-1.630555713070212,-1.9344516396548652,-2.2497403561758134,-2.3220325094384684,-2.3311887614808153,-2.429699659193293,-2.458135581395391,-2.6010903706956476,-2.487207681383781,-2.4795084121954414,-2.450181553605095,-2.406210206357745,-2.1769969138906013,-1.84833964747353,-1.5716417679255255,-1.500471181686498,-1.334545259054238,-1.256516819988656,-1.1880284254254292,-1.0907235954771313,-1.073389162450317,EMSC-20131012_0000067,KARP,8.0
167,0.41039641238659286,-2.034651971784001,-1.6757029447763863,-0.5661214845547775,-0.6444102546062291,-0.6269185344856867,-0.5108080617120807,-0.29805327001170934,-0.250297053121872,-0.37831686375378215,-0.5345225278523031,-0.578919583639709,-0.736425070873401,-1.2000939664072146,-1.4050645760512452,-1.4775904100070427,-1.6499263978329815,-1.9538781763174953,-2.2692236615125836,-2.341530912518877,-2.350692733671986,-2.449211336371695,-2.4776763928873002,-2.6206566321129614,-2.506804585548881,-2.499071127493485,-2.469685118273329,-2.425876246877454,-2.196501318416974,-1.8677804485896523,-1.5913093059675276,-1.5200237310456135,-1.3540270096441276,-1.2760769480608882,-1.207119407792689,-1.1115794763004914,-1.0930783401018083,EMSC-20131012_0000067,KARP,8.0
