0.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+01,2.500000000000000000e+01
5.000000000000000000e-01,9.499999999999999556e-01
1.000000000000000021e-02,1.000000000000000000e+00
1.000000000000000021e-02,1.000000000000000000e+00
1.000000000000000021e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
