design_group_id,T1_modal_s,V_max_N,W_N,Vb_design_N,delta_y_eff_mm,delta_u_mm,roof_height_mm,overstrength,ductility
group_3s_00,0.6498880648969265,441502.7984599209,3061799.999999999,87384.86839229577,19.112909430005846,,10500.0,5.0523941568223005,
group_3s_01,0.6127121513957469,498566.0477364109,3061799.999999999,119785.53283036355,19.202012487734088,117.16883837615862,10500.0,4.162155779216379,6.101904081720812
group_3s_02,0.6400873845963758,448190.6057745356,3061799.999999999,97145.90913072394,18.6711503058721,163.99680056675749,10500.0,4.613581876838787,8.783433151153
group_3s_03,0.5085479103832392,847439.1842518272,3061799.999999999,226305.71937417545,22.588425053289328,83.72962456220839,10500.0,3.7446653429499293,3.70674911441051
group_3s_04,0.566393256613228,642187.832321419,3061799.999999999,125404.96313984985,21.177713574525164,83.68128174841478,10500.0,5.120912412415929,3.9513841498487183
group_3s_05,0.5992432815623902,506390.6090879757,3061799.999999999,128330.8517305786,18.724111918247093,104.74100579457276,10500.0,3.9459771540448156,5.593910475000961
group_3s_06,0.6003081586948157,506356.6671634297,3061799.999999999,125855.85908145309,18.784140455388737,104.78357292797295,10500.0,4.023306271627124,5.57830011848708
group_3s_07,0.5967998700590988,504851.3969403967,3061799.999999999,140864.4938179819,18.370450097023866,104.34282962738978,10500.0,3.5839506695898873,5.679927768579497
group_3s_08,0.5660102778922889,642142.2863079375,3061799.999999999,122418.5730151744,21.13161885263433,83.68124240809834,10500.0,5.245464560580531,3.960001502566681
group_3s_09,0.4902015132335804,851040.7679825816,3061799.999999999,276413.40663281584,21.23785168039298,59.82980731926956,10500.0,3.07886935858033,2.8171308576613288
group_3s_10,0.4475436794883699,1234669.1072483542,3061799.999999999,481632.30210751103,25.7381359786211,59.81067995616888,10500.0,2.5635097601338805,2.3238155243973186
group_3s_11,0.33303753176204676,2745165.5507443524,3061799.999999999,1234128.0871614844,31.772467603010284,83.67773785335426,10500.0,2.224376528904937,2.633655619666954
group_3s_12,0.46744200353499293,1029822.6657933644,3061799.999999999,378151.69511831424,23.205626096797396,59.81762431717993,10500.0,2.723305697389929,2.5777207676993186
group_3s_13,0.4640439359769089,1040812.9667261611,3061799.999999999,394770.5567193954,23.148218323901418,42.71073950791132,10500.0,2.6365009978846405,1.8450983531553637
group_3s_14,0.44753104928386644,1243776.7943633841,3061799.999999999,488325.62435543333,25.926993592795863,59.81474984698887,10500.0,2.547023404731444,2.3070453437998744
group_3s_15,0.31087824126741714,3328850.1515719164,3061799.999999999,1443586.2666749996,33.52494195782309,83.6758176566124,10500.0,2.3059585896721155,2.4959272938304533
group_3s_16,0.4479620807046249,1253240.870032623,3061799.999999999,453746.08095948165,26.19385225312783,59.80007872678277,10500.0,2.7619872052284107,2.2829814472837606
group_3s_17,0.38947807654336675,1794422.7807030226,3061799.999999999,782327.4236931851,28.329064048114372,,10500.0,2.293697915166992,
group_3s_18,0.40781509604886346,1518049.5659378553,3061799.999999999,640536.3859607135,25.97744224977997,59.814238784376876,10500.0,2.3699661708694295,2.3025453471995885
group_3s_19,0.36369111991678993,2147958.7569027697,3061799.999999999,1061200.635103945,29.34228917151361,59.811308122920074,10500.0,2.0240835576699183,2.0383995186369686
group_3s_20,0.3800011464559286,1800376.8327272953,3061799.999999999,885918.6242812237,26.85588374203163,59.81878805370093,10500.0,2.0322146790716844,2.2273997247046347
group_3s_21,0.37935174554307677,1799389.0753186375,3061799.999999999,826982.2993749179,26.759547428786785,59.81909179580837,10500.0,2.175849563743652,2.235429876196543
group_3s_22,0.329108178747993,2777450.531373315,3061799.999999999,1364023.5480899995,31.012800946445847,59.79025879739379,10500.0,2.0362189019848627,1.9279219216813732
group_3s_23,0.3330856779853072,2745438.9700595196,3061799.999999999,1172806.8267875826,31.785239561588245,83.67771054524309,10500.0,2.340913189923621,2.6325965038931383
group_3s_24,0.3840037660785033,1790083.956088942,3061799.999999999,803956.4248129174,27.323777947911022,59.811658179529125,10500.0,2.2265932590880144,2.188996642175607
group_5s_00,0.911184483342262,644995.3480984507,5178599.999999999,164068.65224614358,33.75504741194874,99.7690838822156,17500.0,3.93125279733997,2.9556789734177342
group_5s_01,0.8273605333746998,858517.4912082348,5178599.999999999,276992.31781041535,37.37577054306252,139.4711831543538,17500.0,3.099427081569239,3.731593519755318
group_5s_02,0.8053362233312693,906401.6264503679,5178599.999999999,327269.4908582564,37.6371637294125,139.46974998620524,17500.0,2.7695879138423543,3.7056392184306155
group_5s_03,0.810660414425501,844966.4409901622,5178599.999999999,292988.5784285851,35.51123667404955,139.47276108233285,17500.0,2.8839569293863097,3.927566994146813
group_5s_04,0.8012365408125486,920199.6126834222,5178599.999999999,336311.6608645192,37.89183188964995,134.89563867692425,17500.0,2.7361513731577634,3.5600189262364648
group_5s_05,0.786618699288213,1022710.5495615386,5178599.999999999,360497.1328564439,40.71794595298594,139.46712573001452,17500.0,2.836945030485997,3.425200423691487
group_5s_06,0.8960235194066521,640636.4935861534,5178599.999999999,164068.65224614384,32.642843788185424,99.65918774150794,17500.0,3.904685537521446,3.053017941334451
group_5s_07,0.6992004635246543,1468636.3590663786,5178599.999999999,609497.8181907178,46.23959322060082,99.76594032601031,17500.0,2.4095842761603254,2.1575868942022236
group_5s_08,0.5620038997754119,2731963.5444962457,5178599.999999999,1251747.9474802562,56.10560719592744,99.66009803552828,17500.0,2.182518892877463,1.7762947950550358
group_5s_09,0.7397492411074756,1242173.7861740168,5178599.999999999,474184.38917656546,43.68347166073176,99.63701840004154,17500.0,2.6196007598037685,2.280885987585275
group_5s_10,0.7477635048155272,1207082.1300543593,5178599.999999999,456315.7909792959,43.20492123358238,,17500.0,2.645278015612498,
group_5s_11,0.5722611009155402,2544948.9496441693,5178599.999999999,1183622.91656284,53.997432413117124,,17500.0,2.1501349070145808,
group_5s_12,0.6992186248190873,1468717.6648135765,5178599.999999999,617968.1082620128,46.244222949136,99.76579745606075,17500.0,2.376688449092026,2.157367798477079
group_5s_13,0.5169985886967173,3283693.8294240185,5178599.999999999,1541828.1953574948,57.40352079880692,139.46482024290918,17500.0,2.1297404206975523,2.4295516773564843
group_5s_14,0.7272211521847182,1255770.7766415973,5178599.999999999,505144.32512097055,42.53951062015619,99.64363146519631,17500.0,2.485964335719042,2.34237841509119
group_5s_15,0.7192814727908503,1237233.117996165,5178599.999999999,559874.1419716023,41.10980587508121,99.64873020635486,17500.0,2.209841507663198,2.4239649904734075
group_5s_16,0.6399671589483028,1805785.171805038,5178599.999999999,795613.6297361512,47.76966403425261,99.66648985483913,17500.0,2.2696760139766448,2.0863971281726954
group_5s_17,0.6253410010579925,2065481.716534443,5178599.999999999,850064.4533694036,52.439260431619,,17500.0,2.4297942448334187,
group_5s_18,0.5862547743232078,2456388.3389240145,5178599.999999999,1103329.033333371,55.02769481754491,,17500.0,2.226342518607336,
group_5s_19,0.6123663138393948,2115500.209546879,5178599.999999999,919878.776845372,51.30904884369639,,17500.0,2.299759775741066,
group_5s_20,0.5449510645220372,2763302.362309245,5178599.999999999,1407896.0635225642,53.72042070718338,99.65574143997175,17500.0,1.9627175854128367,1.855081180081786
group_5s_21,0.5909851041948593,2267829.826957175,5178599.999999999,1089801.4644535063,51.55911806956973,139.46850487013458,17500.0,2.0809568540031327,2.705021150321986
group_5s_22,0.747859086777284,1213997.6605606398,5178599.999999999,462768.045927955,43.464533964128826,99.74963049923821,17500.0,2.6233394272638226,2.2949660654721695
group_5s_23,0.559158048915636,2745436.396345349,5178599.999999999,1325230.6113529361,55.854905046137226,99.65159551880588,17500.0,2.0716669029720918,1.7841153867595287
group_5s_24,0.7273203767638413,1140084.102165696,5178599.999999999,527772.6584823885,38.631544220714936,,17500.0,2.160180304610721,
group_5s_25,0.5601013176868567,2747061.064214513,5178599.999999999,1268386.6426024884,56.05296764595862,99.65268680442776,17500.0,2.165791543324728,1.7778307017364967
