design_group_id,n_storeys,group_id,representative_site,representative_tag,n_sites_in_group,T1_modal_s,T2_modal_s,C0,W_N,Vb_design_N,seismic_mass_kg,roof_height_mm,design_period_s,V_max_N,d_at_V_max_mm,f_y_N,d_y_mm,d_f_mm,f_f_N,f_max_bb_N,d_max_mm,k_e_N_per_mm,k_pb_N_per_mm,k_r_N_per_mm,delta_u_mm,delta_u_bb_mm,delta_y_eff_mm,delta_y_eff_maxT_mm,p695_period_used_s,omega_max,omega_y,mu_f_bb,mu_u_bb,mu_f_p695,mu_u_p695,mu_u_p695_maxT,cpo_complete,reached_max_amplitude,ends_at_zero,max_level_reached,n_levels,max_abs_d_mm,U_max_mm,frac_of_Umax,envelope_reaches_08fmax,backbone_fit_ok,backbone_overshoots,backbone_fit_error
group_3s_00,3,0,0,3s_cbf_dc2_site0,8,0.6498880648969265,0.24002739168625484,1.2629430479599753,3061799.999999999,87384.86839229577,312110.0917431192,10500.0,0.7199782679216568,441502.7984599209,151.66100000000105,734090.555786614,39.108000021787255,42.507999999999996,418563.8944991848,734090.555786614,163.994,18770.853927013617,-92801.95979686163,-3.62338836011345e-06,,,19.112909430005846,23.457863494515607,0.6498880648969265,5.0523941568223005,8.400659854416334,1.086938733157374,,2.224046535440889,,,False,False,False,8,12,163.994,630.0,0.2603079365079365,False,True,True,
group_3s_01,3,1,1,3s_cbf_dc2_site1,6,0.6127121513957469,0.22437040633176664,1.2640917857662695,3061799.999999999,119785.53283036355,312110.0917431192,10500.0,0.6865612912684532,498566.0477364109,37.70799999999993,626672.3404548108,29.820000172746212,117.139,168689.58278662074,626672.3404548108,337.04299999998005,21015.168907596242,-5244.93819872231,0.0,117.16883837615862,73.25607008128772,19.202012487734088,24.10973233987349,0.6127121513957469,4.162155779216379,5.231619592511929,3.9282025258691444,3.929203142099385,6.100350162506475,6.101904081720812,4.8598149794629135,False,False,False,10,12,337.04299999998005,630.0,0.5349888888888572,True,True,True,
group_3s_02,3,2,3,3s_cbf_dc2_site3,1,0.6400873845963758,0.23223358632945654,1.252844982927762,3061799.999999999,97145.90913072394,312110.0917431192,10500.0,0.7080166853882643,448190.6057745356,140.0610000000017,402914.2836712298,20.6430000427619,163.86100000000036,454474.1950752621,454474.1950752621,343.1409999999802,19518.20388686694,360.0099946894029,-1193.0520804032792,163.99680056675749,163.95616732188793,18.6711503058721,22.844387829233725,0.6400873845963758,4.613581876838787,4.147516733093208,7.93784816453824,7.944426693166628,8.776159867796997,8.783433151153,7.178866065165138,False,False,False,10,12,343.1409999999802,630.0,0.5446682539682225,True,True,False,
group_3s_03,3,3,7,3s_cbf_dc2_site7,5,0.5085479103832392,0.1838223219584831,1.2699341731266816,3061799.999999999,226305.71937417545,312110.0917431192,10500.0,0.5813111984301537,847439.1842518272,41.90799999999999,1087516.9890080811,36.10800000190272,102.93000000000157,181079.83347683586,1087516.9890080811,383.08299999997763,30118.44989893581,-13564.950997531267,0.0,83.72962456220839,66.30093189536534,22.588425053289328,29.51478213217585,0.5085479103832392,3.7446653429499293,4.805521451315921,2.8506148220498964,2.3188663054668286,4.5567585945976745,3.70674911441051,2.8368708326303267,False,False,False,10,12,383.08299999997763,630.0,0.6080682539682185,True,True,True,
group_3s_04,3,4,9,3s_cbf_dc2_site9,3,0.566393256613228,0.20624434847680984,1.266625997024331,3061799.999999999,125404.96313984985,312110.0917431192,10500.0,0.6391120585316887,642187.832321419,40.70799999999997,252631.01171093914,10.322920509664065,321.429,-95366.04839324953,252631.01171093914,346.14899999998005,24472.823507110432,-1118.5800697764853,0.0,83.68128174841478,,21.177713574525164,26.96478398877735,0.566393256613228,5.120912412415929,2.014521637626165,31.137409195303405,8.10635727264144,15.177700787617102,3.9513841498487183,3.103354426397135,False,False,False,10,12,346.14899999998005,630.0,0.5494428571428255,True,True,False,
group_3s_05,3,5,12,3s_cbf_dc2_site12,1,0.5992432815623902,0.2239111680561391,1.268752134685674,3061799.999999999,128330.8517305786,312110.0917431192,10500.0,0.6721571492816951,506390.6090879757,96.33000000000148,883904.2131657169,40.30800002437005,42.507999999999996,604884.697028384,883904.2131657169,117.139,21928.753910670635,-126827.05419459792,-37.59782324165988,104.74100579457276,69.51323083677893,18.724111918247093,23.55789738217285,0.5992432815623902,3.9459771540448156,6.887698485952624,1.0545797353949546,2.598516565725086,2.270227831664205,5.593910475000961,4.4461101131136695,False,False,False,7,12,117.139,630.0,0.18593492063492062,True,True,True,
group_3s_06,3,6,13,3s_cbf_dc2_site13,2,0.6003081586948157,0.22399348483839882,1.2683930411540487,3061799.999999999,125855.85908145309,312110.0917431192,10500.0,0.6721571492816947,506356.6671634297,96.53000000000148,647083.2509244904,29.620000110185735,101.73000000000155,169980.89785557182,647083.2509244904,344.2089999999795,21846.159639343525,-6616.313324059516,0.0,104.78357292797295,66.1959458583635,18.784140455388737,23.54965124413721,0.6003081586948157,4.023306271627124,5.141463064549917,3.4345037009307307,3.53759529163337,5.415738891092968,5.57830011848708,4.449474509906353,False,False,False,10,12,344.2089999999795,630.0,0.5463634920634595,True,True,True,
group_3s_07,3,7,14,3s_cbf_dc2_site14,1,0.5967998700590988,0.21812163230653486,1.2588278514800226,3061799.999999999,140864.4938179819,312110.0917431192,10500.0,0.6672272790734812,504851.3969403967,95.73000000000147,896603.3443488522,40.30800001781232,42.507999999999996,613288.0223364759,896603.3443488522,117.139,22243.806290380035,-128779.69286647353,-87.76397503448912,104.34282962738978,70.13499778466142,18.370450097023866,22.962012282347565,0.5967998700590988,3.5839506695898873,6.365005971677991,1.054579735566525,2.588638225197979,2.313933506010643,5.679927768579497,4.544150065959379,False,False,False,7,12,117.139,630.0,0.18593492063492062,True,True,True,
group_3s_08,3,8,15,3s_cbf_dc2_site15,1,0.5660102778922889,0.20566291859743216,1.265669783960746,3061799.999999999,122418.5730151744,312110.0917431192,10500.0,0.6391120585316888,642142.2863079375,40.307999999999964,706809.7103616631,28.82000014246777,140.0610000000017,102249.6156405489,706809.7103616631,348.7489999999799,24524.972479793374,-5434.687709525919,0.0,83.68124240809834,64.3502627142904,21.13161885263433,26.94251649865721,0.5660102778922889,5.245464560580531,5.773713031878344,4.859854243845563,2.9035823037623683,6.62802982472596,3.960001502566681,3.105917831107905,False,False,False,10,12,348.7489999999799,630.0,0.5535698412698093,True,True,True,
group_3s_09,3,9,17,3s_cbf_dc2_site17,2,0.4902015132335804,0.18362110254215858,1.2796124930198725,3061799.999999999,276413.40663281584,312110.0917431192,10500.0,0.5584443698413003,851040.7679825816,35.10799999999989,1013534.7796175994,31.508000089035786,116.73000000000177,124853.67090260031,1013534.7796175994,426.03699999997497,32167.53766514972,-10427.836821987648,0.0,59.82980731926956,63.4131948970341,21.23785168039298,27.56265962291471,0.4902015132335804,3.07886935858033,3.6667352425635653,3.7047733804159058,1.8988767027485585,5.496318636963088,2.8171308576613288,2.170683386066597,False,False,False,10,12,426.03699999997497,630.0,0.6762492063491666,True,True,True,
group_3s_10,3,10,30,3s_cbf_dc2_site30,1,0.4475436794883699,0.16486807324149105,1.2823990896866175,3061799.999999999,481632.30210751103,312110.0917431192,10500.0,0.5157565279068438,1234669.1072483542,42.689,1609639.8746658321,41.90800000071351,42.507999999999996,1439106.9681590784,1609639.8746658321,163.994,38408.89268489136,-284221.5111825817,-1065.906820742473,59.81067995616888,57.05586315403299,25.7381359786211,34.18186084517187,0.4475436794883699,2.5635097601338805,3.3420513275841803,1.0143170754814421,1.4271900342452652,1.6515570527449412,2.3238155243973186,1.7497783466817034,False,False,False,8,12,163.994,630.0,0.2603079365079365,True,True,True,
group_3s_11,3,11,31,3s_cbf_dc2_site31,4,0.33303753176204676,0.12144217396441674,1.2857709073264558,3061799.999999999,1234128.0871614844,312110.0917431192,10500.0,0.40176070212485315,2745165.5507443524,43.711000000000155,5564586.952424487,80.4350000362795,83.63500000000096,4092094.320580896,5564586.952424487,229.0059999999946,69181.16429308918,-460153.95266790874,-4.98331979998916e-06,83.67773785335426,83.78492105211909,31.772467603010284,46.23804846201066,0.33303753176204676,2.224376528904937,4.508921732121932,1.039783675791361,1.0403150098292056,2.6323104974093026,2.633655619666954,1.8097160376935928,False,False,False,9,12,229.0059999999946,630.0,0.3635015873015787,True,True,True,
