IM,info,info,info,info,SA,SA,AvgSA_03,AvgSA_03,AvgSA_06,AvgSA_06
parameter,storeys,site,group,Vb_coeff,median,dispersion,median,dispersion,median,dispersion
structure,,,,,,,,,,
3s_cbf_dc2_site4,3,4,group_3s_00,0.026097668925284,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site29,3,29,group_3s_00,0.026097668925284,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site8,3,8,group_3s_00,0.0260976689252841,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site19,3,19,group_3s_00,0.0260976689252841,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site27,3,27,group_3s_00,0.0262788423870807,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site26,3,26,group_3s_00,0.0262832406679841,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site0,3,0,group_3s_00,0.0285403580874961,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site25,3,25,group_3s_00,0.0293101457558889,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
3s_cbf_dc2_site3,3,3,group_3s_02,0.0317283653833444,0.9742145411084129,0.3910725178643202,0.3825272841732061,0.18886796568351774,0.1729792500798763,0.24717950292709634
3s_cbf_dc2_site5,3,5,group_3s_01,0.0346307479727325,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
3s_cbf_dc2_site2,3,2,group_3s_01,0.0349139581958305,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
3s_cbf_dc2_site16,3,16,group_3s_01,0.0349462775473123,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
3s_cbf_dc2_site23,3,23,group_3s_01,0.0356020968258607,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
3s_cbf_dc2_site6,3,6,group_3s_01,0.0384981232964605,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
3s_cbf_dc2_site1,3,1,group_3s_01,0.0391225856784778,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
3s_cbf_dc2_site15,3,15,group_3s_08,0.0399825504654694,1.022555019454434,0.45058561145866866,0.3606346048078661,0.18453952507398694,0.16307935688130135,0.3153235064568624
3s_cbf_dc2_site20,3,20,group_3s_04,0.0406497269451512,1.0202521370257454,0.44833618409450393,0.3601987280197424,0.18211704222158842,0.16288225292805047,0.3158494279588037
3s_cbf_dc2_site22,3,22,group_3s_04,0.0408779798752166,1.0202521370257454,0.44833618409450393,0.3601987280197424,0.18211704222158842,0.16288225292805047,0.3158494279588037
3s_cbf_dc2_site9,3,9,group_3s_04,0.0409579212031647,1.0202521370257454,0.44833618409450393,0.3601987280197424,0.18211704222158842,0.16288225292805047,0.3158494279588037
3s_cbf_dc2_site13,3,13,group_3s_06,0.041105186191604,0.9412960594026203,0.42155005870171075,0.3562756440191636,0.1807604047182646,0.1611082301158287,0.2784476993338684
3s_cbf_dc2_site12,3,12,group_3s_05,0.0419135318213399,0.9585361523859575,0.4348443747496288,0.3622831388882218,0.18802198392758604,0.16382482576874915,0.2975833315796172
3s_cbf_dc2_site28,3,28,group_3s_06,0.0448001957988619,0.9412960594026203,0.42155005870171075,0.3562756440191636,0.1807604047182646,0.1611082301158287,0.2784476993338684
3s_cbf_dc2_site14,3,14,group_3s_07,0.0460070853151681,0.9625936280793748,0.4381772599263903,0.36267328102395674,0.18873379502886875,0.16400124846291042,0.2976128450999582
3s_cbf_dc2_site7,3,7,group_3s_03,0.0739126394193531,1.4427728010662084,0.5367560915302394,0.46623040775284913,0.19081191701363567,0.21082989275349515,0.3273303872488157
3s_cbf_dc2_site11,3,11,group_3s_03,0.0764343387901755,1.4427728010662084,0.5367560915302394,0.46623040775284913,0.19081191701363567,0.21082989275349515,0.3273303872488157
3s_cbf_dc2_site18,3,18,group_3s_03,0.082821067780361,1.4427728010662084,0.5367560915302394,0.46623040775284913,0.19081191701363567,0.21082989275349515,0.3273303872488157
3s_cbf_dc2_site24,3,24,group_3s_03,0.0846862341254467,1.4427728010662084,0.5367560915302394,0.46623040775284913,0.19081191701363567,0.21082989275349515,0.3273303872488157
3s_cbf_dc2_site10,3,10,group_3s_03,0.0848468681087339,1.4427728010662084,0.5367560915302394,0.46623040775284913,0.19081191701363567,0.21082989275349515,0.3273303872488157
3s_cbf_dc2_site17,3,17,group_3s_09,0.0902780738888287,1.3490540130124855,0.5277848411328278,0.43093436740684643,0.17161689736636968,0.19486898527721672,0.3161064313133451
3s_cbf_dc2_site21,3,21,group_3s_09,0.0958805634454682,1.3490540130124855,0.5277848411328278,0.43093436740684643,0.17161689736636968,0.19486898527721672,0.3161064313133451
3s_cbf_dc2_site33,3,33,group_3s_12,0.1202160450891463,1.4379867379015445,0.5408117362554448,0.4470725842025201,0.17083117720582588,0.20216670430130107,0.3272399211203145
3s_cbf_dc2_site50,3,50,group_3s_12,0.121915886705782,1.4379867379015445,0.5408117362554448,0.4470725842025201,0.17083117720582588,0.20216670430130107,0.3272399211203145
3s_cbf_dc2_site32,3,32,group_3s_12,0.1235063345477543,1.4379867379015445,0.5408117362554448,0.4470725842025201,0.17083117720582588,0.20216670430130107,0.3272399211203145
3s_cbf_dc2_site36,3,36,group_3s_12,0.1243767504062939,1.4379867379015445,0.5408117362554448,0.4470725842025201,0.17083117720582588,0.20216670430130107,0.3272399211203145
3s_cbf_dc2_site35,3,35,group_3s_13,0.1289341422429275,1.394595856210129,0.5257512554489884,0.4332417257452942,0.1776875715054676,0.19591237520406315,0.3302713441664455
3s_cbf_dc2_site39,3,39,group_3s_13,0.1304671248719981,1.394595856210129,0.5257512554489884,0.4332417257452942,0.1776875715054676,0.19591237520406315,0.3302713441664455
3s_cbf_dc2_site58,3,58,group_3s_13,0.1363115013155072,1.394595856210129,0.5257512554489884,0.4332417257452942,0.1776875715054676,0.19591237520406315,0.3302713441664455
3s_cbf_dc2_site40,3,40,group_3s_16,0.1481958589586131,1.4432038416275332,0.47867640267171685,0.44954061204007495,0.212113422875249,0.20328274914876654,0.362664291439921
3s_cbf_dc2_site30,3,30,group_3s_10,0.1573036456030802,1.463832502674253,0.4891910510926613,0.4561761892123099,0.21599126253908682,0.20628336429594807,0.35630934355075183
3s_cbf_dc2_site37,3,37,group_3s_14,0.1594897198887691,1.457277586423989,0.5074441207916004,0.45414047814640535,0.21709452700399565,0.20536281355844827,0.35011784037582705
3s_cbf_dc2_site42,3,42,group_3s_18,0.2092025559999718,1.8200290457434585,0.45015579855556487,0.5535757192825865,0.23168695451378404,0.2503275367426385,0.40556921889026465
3s_cbf_dc2_site56,3,56,group_3s_18,0.2130271215630449,1.8200290457434585,0.45015579855556487,0.5535757192825865,0.23168695451378404,0.2503275367426385,0.40556921889026465
3s_cbf_dc2_site57,3,57,group_3s_17,0.2543854871403012,1.9440798590881845,0.396272643745852,0.5873798462652654,0.22587692761871148,0.2656137993884712,0.3889941938234352
3s_cbf_dc2_site41,3,41,group_3s_17,0.2555122554357519,1.9440798590881845,0.396272643745852,0.5873798462652654,0.22587692761871148,0.2656137993884712,0.3889941938234352
3s_cbf_dc2_site54,3,54,group_3s_17,0.2571982679377878,1.9440798590881845,0.396272643745852,0.5873798462652654,0.22587692761871148,0.2656137993884712,0.3889941938234352
3s_cbf_dc2_site55,3,55,group_3s_24,0.2625764010754842,1.9234542696568948,0.39452380295658396,0.5805885522719614,0.24513541530679264,0.2625427689270159,0.4150356356140436
3s_cbf_dc2_site47,3,47,group_3s_21,0.270096772935828,2.0397662440638658,0.4045910506331899,0.6155441485356533,0.21040620173993899,0.2783497272224417,0.3808404420387212
3s_cbf_dc2_site52,3,52,group_3s_20,0.2868592250557802,2.0390645304917907,0.40470224372206004,0.615520965818806,0.21061684581525306,0.2783392439729037,0.3813393813801218
3s_cbf_dc2_site45,3,45,group_3s_20,0.2893456869427213,2.0390645304917907,0.40470224372206004,0.615520965818806,0.21061684581525306,0.2783392439729037,0.3813393813801218
3s_cbf_dc2_site49,3,49,group_3s_19,0.3440649897276621,1.9524761280854837,0.3865029154854427,0.5871225593363817,0.24534250150125778,0.2654974539620008,0.41844789017672424
3s_cbf_dc2_site44,3,44,group_3s_19,0.3465937145156265,1.9524761280854837,0.3865029154854427,0.5871225593363817,0.24534250150125778,0.2654974539620008,0.41844789017672424
3s_cbf_dc2_site46,3,46,group_3s_19,0.3503125164088124,1.9524761280854837,0.3865029154854427,0.5871225593363817,0.24534250150125778,0.2654974539620008,0.41844789017672424
3s_cbf_dc2_site53,3,53,group_3s_23,0.3830448843123597,2.709393763669615,0.36528161503764717,0.7876307266661481,0.2558931634297706,0.3561674632779605,0.40276407449856994
3s_cbf_dc2_site34,3,34,group_3s_11,0.3881730654803285,2.714519847070971,0.35838697043045403,0.789180377035858,0.25911542757184575,0.35686821684490616,0.4013757920406143
3s_cbf_dc2_site43,3,43,group_3s_11,0.4019936099917753,2.714519847070971,0.35838697043045403,0.789180377035858,0.25911542757184575,0.35686821684490616,0.4013757920406143
3s_cbf_dc2_site31,3,31,group_3s_11,0.4030727307993614,2.714519847070971,0.35838697043045403,0.789180377035858,0.25911542757184575,0.35686821684490616,0.4013757920406143
3s_cbf_dc2_site59,3,59,group_3s_11,0.4084305221129851,2.714519847070971,0.35838697043045403,0.789180377035858,0.25911542757184575,0.35686821684490616,0.4013757920406143
3s_cbf_dc2_site51,3,51,group_3s_22,0.428613111111111,2.6252504459226755,0.332585417740724,0.7670476423986337,0.2639359122585532,0.34685977039372323,0.41702717519751026
3s_cbf_dc2_site48,3,48,group_3s_22,0.4454972722222222,2.6252504459226755,0.332585417740724,0.7670476423986337,0.2639359122585532,0.34685977039372323,0.41702717519751026
3s_cbf_dc2_site38,3,38,group_3s_15,0.471482875,2.98698181314213,0.34812501425972103,0.8758756045036302,0.3252593297433471,0.3960718921207572,0.45534818706634245
5s_cbf_dc2_site29,5,29,group_5s_00,0.0260139118091648,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site4,5,4,group_5s_00,0.0265641825526238,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site8,5,8,group_5s_00,0.0277392929476345,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site9,5,9,group_5s_00,0.0316820477051988,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site13,5,13,group_5s_00,0.0316820477051988,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site15,5,15,group_5s_00,0.0316820477051988,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site22,5,22,group_5s_00,0.0316820477051988,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site1,5,1,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site2,5,2,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site6,5,6,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site12,5,12,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site14,5,14,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site16,5,16,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site23,5,23,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site28,5,28,group_5s_00,0.0316820477051989,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site0,5,0,group_5s_00,0.031682047705199,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site3,5,3,group_5s_00,0.031682047705199,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site5,5,5,group_5s_00,0.031682047705199,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site19,5,19,group_5s_00,0.031682047705199,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site20,5,20,group_5s_00,0.031682047705199,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site27,5,27,group_5s_00,0.031682047705199,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
5s_cbf_dc2_site7,5,7,group_5s_01,0.0534878766095885,0.9020438473176963,0.3636953274699733,0.44436993291725363,0.198192047838369,0.2009445624779713,0.2590572777036169
5s_cbf_dc2_site11,5,11,group_5s_03,0.0565767926521811,0.8307410708095705,0.3325912006490509,0.40604705097665716,0.17823995072948473,0.1836149139711672,0.2694247056204414
5s_cbf_dc2_site18,5,18,group_5s_02,0.0616876410562286,0.8734859997296655,0.3403770994453022,0.4268112122661973,0.19721422385033785,0.1930044900798767,0.2548979543488586
5s_cbf_dc2_site24,5,24,group_5s_02,0.0630768734712336,0.8734859997296655,0.3403770994453022,0.4268112122661973,0.19721422385033785,0.1930044900798767,0.2548979543488586
5s_cbf_dc2_site10,5,10,group_5s_02,0.0631965185297679,0.8734859997296655,0.3403770994453022,0.4268112122661973,0.19721422385033785,0.1930044900798767,0.2548979543488586
5s_cbf_dc2_site17,5,17,group_5s_04,0.0649425831044141,0.8196096524143663,0.3127461819917227,0.40040422384007807,0.17659315830811248,0.18106322145980677,0.2589068672690659
