IM,SA,SA,AvgSA_03,AvgSA_03,AvgSA_06,AvgSA_06
parameter,median,dispersion,median,dispersion,median,dispersion
structure,,,,,,
3s_cbf_dc2_site29,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.2162369317847636,0.1777792453404177,0.25488569679408074
3s_cbf_dc2_site4,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.17777924534041736,0.25488569679408074
3s_cbf_dc2_site8,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.17777924534041736,0.2548856967940807
3s_cbf_dc2_site19,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.1777792453404172,0.25488569679408074
3s_cbf_dc2_site27,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.2162369317847636,0.17777924534041736,0.2548856967940807
3s_cbf_dc2_site26,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.17777924534041736,0.2548856967940807
3s_cbf_dc2_site0,0.9854873892209236,0.4060437898619831,0.3931420206240297,0.21623693178476358,0.17777924534041736,0.2548856967940807
3s_cbf_dc2_site25,0.9854873892209254,0.40604378986198314,0.3931420206240297,0.2162369317847636,0.17777924534041736,0.25488569679408074
3s_cbf_dc2_site3,0.9742145411084149,0.39107251786432035,0.38252728417320603,0.18886796568351777,0.17297925007987636,0.24717950292709628
3s_cbf_dc2_site5,0.9994620945617451,0.4157092358987721,0.38199966012102077,0.19040154399924855,0.17274065791495816,0.29833394134035257
3s_cbf_dc2_site2,0.9994620945617451,0.4157092358987722,0.38199966012102077,0.19040154399924855,0.17274065791495816,0.29833394134035257
3s_cbf_dc2_site16,0.9994620945617451,0.4157092358987722,0.38199966012102077,0.19040154399924852,0.17274065791495816,0.29833394134035257
3s_cbf_dc2_site23,0.9994620945617451,0.4157092358987721,0.38199966012102077,0.19040154399924852,0.17274065791495816,0.2983339413403525
3s_cbf_dc2_site6,0.9994620945617451,0.4157092358987721,0.38199966012102077,0.19040154399924852,0.17274065791495816,0.29833394134035257
3s_cbf_dc2_site1,0.9994620945617451,0.4157092358987722,0.38199966012102077,0.19040154399924852,0.17274065791495816,0.29833394134035257
3s_cbf_dc2_site15,1.0225550194544355,0.45058561145866866,0.36063460480786613,0.18453952507398697,0.1630793568813014,0.3153235064568624
3s_cbf_dc2_site20,1.0202521370257462,0.44833618409450393,0.36019872801974206,0.18211704222158842,0.16288225292805036,0.3158494279588038
3s_cbf_dc2_site22,1.0202521370257445,0.44833618409450393,0.36019872801974273,0.18211704222158848,0.16288225292805067,0.3158494279588038
3s_cbf_dc2_site9,1.0202521370257445,0.44833618409450393,0.36019872801974273,0.18211704222158848,0.16288225292805067,0.3158494279588038
3s_cbf_dc2_site13,0.9412960594026207,0.4215500587017108,0.3562756440191636,0.18076040471826463,0.16110823011582867,0.2784476993338684
3s_cbf_dc2_site12,0.9585361523859585,0.4348443747496289,0.3622831388882224,0.1880219839275861,0.16382482576874907,0.2975833315796172
3s_cbf_dc2_site28,0.9412960594026207,0.4215500587017108,0.3562756440191636,0.18076040471826463,0.16110823011582867,0.2784476993338684
3s_cbf_dc2_site14,0.962593628079376,0.43817725992639023,0.36267328102395674,0.18873379502886875,0.1640012484629104,0.2976128450999582
3s_cbf_dc2_site7,1.4427728010662084,0.5367560915302393,0.46623040775284896,0.19081191701363565,0.21082989275349534,0.3273303872488157
3s_cbf_dc2_site11,1.4427728010662084,0.5367560915302393,0.46623040775284896,0.19081191701363565,0.21082989275349534,0.3273303872488157
3s_cbf_dc2_site18,1.4427728010662084,0.5367560915302393,0.46623040775284896,0.19081191701363565,0.21082989275349534,0.3273303872488157
3s_cbf_dc2_site24,1.4427728010662084,0.5367560915302393,0.46623040775284813,0.19081191701363565,0.21082989275349498,0.32733038724881564
3s_cbf_dc2_site10,1.4427728010662084,0.5367560915302393,0.4662304077528498,0.19081191701363567,0.21082989275349498,0.32733038724881564
3s_cbf_dc2_site17,1.3490540130124833,0.5277848411328279,0.43093436740684604,0.17161689736636962,0.1948689852772168,0.3161064313133452
3s_cbf_dc2_site21,1.3490540130124833,0.5277848411328278,0.43093436740684604,0.17161689736636962,0.1948689852772168,0.3161064313133452
3s_cbf_dc2_site33,1.437986737901541,0.5408117362554447,0.44707258420252094,0.17083117720582588,0.20216670430130113,0.3272399211203146
3s_cbf_dc2_site50,1.437986737901541,0.5408117362554448,0.44707258420252094,0.17083117720582588,0.20216670430130113,0.3272399211203146
3s_cbf_dc2_site32,1.437986737901541,0.5408117362554448,0.44707258420252094,0.17083117720582588,0.20216670430130113,0.3272399211203146
3s_cbf_dc2_site36,1.437986737901541,0.5408117362554448,0.44707258420252094,0.17083117720582588,0.20216670430130113,0.3272399211203146
3s_cbf_dc2_site35,1.3945958562101282,0.5257512554489884,0.43324172574529357,0.17768757150546755,0.195912375204063,0.3302713441664454
3s_cbf_dc2_site39,1.3945958562101282,0.5257512554489885,0.43324172574529357,0.17768757150546755,0.195912375204063,0.3302713441664454
3s_cbf_dc2_site58,1.3945958562101282,0.5257512554489884,0.43324172574529435,0.17768757150546752,0.19591237520406332,0.3302713441664454
