,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999964,-0.6050371191370814,-0.5799234010477172,-0.6812711062062315,-0.6754214964251523,-0.6237719016664274,-0.6199740064112491,-0.5698671335543875,-0.5961554569368219,-0.637670288752043,-0.6242387834629065,-0.629238277640561,-0.6255256173876268,-0.5898275470665868,-0.5736786200281078,-0.5592450375359799,-0.5581028203866432,-0.552625357515522,-0.5604230029003943,-0.5473667423321191,-0.5430071717402158,-0.5385198608233526,-0.5432967182952361,-0.5414715294955437,-0.553084511447193,-0.5565652399410022,-0.5742946127336837,-0.5647947596547628,-0.5535024024833447,-0.5435605214139845,-0.5456663587919904,-0.5655667576454442,-0.5393467283822001,-0.5454327602126352,-0.5648381418284494,-0.58008668620009,-0.5812288784197583
rotD50,"AvgSA([0, 3])",3.0,-0.6050371191370814,1.000000000000001,0.9193034987567547,0.7371415865707159,0.7220046007112517,0.6411449169317223,0.6393621921737744,0.5774379022753543,0.6019497163072426,0.6500770664221329,0.720214252501404,0.7471748951307502,0.7694899381544675,0.7811666716076036,0.7885322998136776,0.8045348595720887,0.8254684741197259,0.8671181197449956,0.8714763072931058,0.8740376805779657,0.8720959856811248,0.8823383038504976,0.8881528332999885,0.8935359643441261,0.9057925459257999,0.9198642096898143,0.9255374178749262,0.9232179751069427,0.9277245119758916,0.9454417738271305,0.9189227191585566,0.9229881187694987,0.8744822037366398,0.8707827238953837,0.8633550203545262,0.8678183389369996,0.8673231114818378
rotD50,"AvgSA([0, 6])",6.0,-0.5799234010477172,0.9193034987567547,0.9999999999999989,0.7069946953079932,0.6951516805529199,0.6282453164073908,0.6053822723057705,0.5353526883177848,0.5371797787680733,0.6111218901034778,0.663813986443465,0.6565479481320176,0.6784997546045458,0.6981437198403375,0.7287063624339963,0.7534969225722752,0.7877790705498818,0.8191875279862805,0.8023554730272362,0.8075176927848888,0.8078850483032005,0.8032164345487148,0.8116053829635183,0.8228829879726896,0.8201691954196898,0.8286237321305285,0.827332301141602,0.8293614998845346,0.8472565770905881,0.875334558367941,0.9129263150542571,0.9285984820220956,0.9691028314830554,0.9671889342711638,0.9717744537515316,0.967565697093656,0.9628334374968381
rotD50,PGA,None,-0.6812711062062317,0.737141586570716,0.7069946953079933,1.0000000000000007,0.9981184532552756,0.9569075435392163,0.9419976029554683,0.9060915952785535,0.9089013366120475,0.8969565555976144,0.8790129717671731,0.8384267542444209,0.8174568306816316,0.7767872523187331,0.7337845468221871,0.7128379116302589,0.7054922730625282,0.6907775626965709,0.6552895126365935,0.6370635087867726,0.631542190402228,0.622683113813412,0.6218575548642842,0.6242216166252407,0.6385900096668448,0.6514821465212643,0.6690769708780344,0.6650050413638681,0.6675686379896922,0.6539634938344463,0.647687765612262,0.6794621448682802,0.6760287592290657,0.6877645109838942,0.6918837313033807,0.7124003600124831,0.7219812642993578
rotD50,SA,0.025,-0.6754214964251523,0.7220046007112516,0.6951516805529198,0.9981184532552755,1.0000000000000007,0.9672951401078085,0.9517585518730353,0.913049211564739,0.9096342720687907,0.8899026681473218,0.868465062055419,0.8285689353882318,0.8069947476861321,0.7644681713321628,0.7214896270038025,0.7003705984943857,0.6933026400756386,0.6790492493667597,0.6426445129057349,0.6239418534788704,0.6175977666837473,0.6085807906392745,0.607214264093764,0.6094853021921852,0.6240585476938609,0.636558060963575,0.6544945365949696,0.6504773133182341,0.6537884995845705,0.6391466377146088,0.6337761565525734,0.6650817219585283,0.6642429229176448,0.6762540285679182,0.6790943115622019,0.6998016053711476,0.7095404980147657
rotD50,SA,0.04,-0.6237719016664273,0.6411449169317222,0.6282453164073908,0.9569075435392161,0.9672951401078085,0.9999999999999992,0.9578677448928526,0.917150941485001,0.880408280799035,0.8390467481546623,0.8015251142091447,0.7630490196030913,0.741582331033712,0.6950970883494736,0.6514955866059247,0.629624330356032,0.6249677255266429,0.6158421369823368,0.5744016700979853,0.5532076388009662,0.5439169093321125,0.5360875212686166,0.5314679375064353,0.5347798090091314,0.5488735242406947,0.5592742025946086,0.5804774972697614,0.5749154331557892,0.5843767404107464,0.5639449630049324,0.564241258824165,0.5941888344925733,0.6018381699246037,0.6134401885264584,0.6117942638419185,0.63191865613782,0.6425012285519408
rotD50,SA,0.05,-0.6199740064112491,0.6393621921737745,0.6053822723057705,0.9419976029554682,0.9517585518730354,0.9578677448928528,1.0000000000000002,0.9380398280427953,0.896207275832307,0.8335050602077888,0.7874830747352572,0.7435673215956915,0.7200746226647513,0.6707369409247984,0.6304643975820072,0.6157689896005799,0.6085467208279619,0.6018188284932122,0.5660745247540538,0.5463748753122687,0.5383298296398668,0.5305706035872225,0.5282766081639683,0.531419337163163,0.5419159890288386,0.5511579130294816,0.5731670339446805,0.5672641240606879,0.5835617969602735,0.5634656576734327,0.5602815046569396,0.5843969488747854,0.5739823512493818,0.5855268532160391,0.5827907711434113,0.6028793240954191,0.6126162219255271
rotD50,SA,0.07,-0.5698671335543875,0.5774379022753544,0.5353526883177848,0.9060915952785535,0.9130492115647391,0.9171509414850011,0.9380398280427953,1.0000000000000036,0.8982295740780183,0.8147353750336507,0.7479599378394217,0.6997782546230094,0.6708692664266425,0.6190971916955424,0.5744409688195337,0.559154658617493,0.5422574519174174,0.5336467797807218,0.5105253552050057,0.490278013386275,0.4816054279773782,0.46741620782977483,0.4604088151273804,0.4652811505971055,0.4756115900823132,0.49082147293180733,0.5111923915261382,0.5031008392229491,0.5156132881255862,0.5091215768113221,0.4946205993919402,0.5274021994440296,0.5136248835132632,0.5239847746455926,0.5187351793921752,0.5369414800935,0.551523395934962
