site_id,seismicity,region,k0,k1,k2,r2,n_points,rtp_low,rtp_high
0,lowmod,0,1.4387668240495684e-07,3.3706120864367337,0.1867328589534031,0.9999314336299862,10,10.0,10000.0
1,lowmod,0,4.491554060420826e-07,3.0490904715887113,0.17768785978420953,0.9998461876301179,12,10.0,10000.0
2,lowmod,0,1.858222662822117e-07,3.0911868875415704,0.1806176006069839,0.9995700297943018,15,10.561644591259718,10000.0
3,lowmod,0,1.6880552013729032e-07,3.1027849915186545,0.17685485416646707,0.9997839981097443,14,10.0,10000.0
4,lowmod,0,5.4354907472718165e-09,4.860457312043568,0.3373701762108081,0.9999761195290539,9,10.0,10000.0
5,lowmod,1,6.211110127390808e-07,2.5945291985089667,0.13743667958939215,0.9999376776532757,15,11.98347320538603,10000.0
6,lowmod,1,2.222714540922868e-07,3.3029241574884196,0.1952721539875483,0.9998946108453464,12,10.0,10000.0
7,lowmod,1,9.43180678468748e-07,3.185815562158299,0.20527069028873235,0.9995616894248841,11,10.0,10000.0
8,lowmod,1,4.551548905176258e-09,4.586717163530229,0.3050614743041858,0.9999388320049141,10,10.0,10000.0
9,lowmod,1,2.283827820081634e-07,3.45693778103191,0.20392269894700094,0.999871401621948,10,10.0,10000.0
10,lowmod,2,3.624428097122923e-06,2.5045937530877653,0.12890724008858276,0.999648569761319,12,10.0,10000.0
11,lowmod,2,1.3146299698488222e-07,4.180252104070204,0.3130577053652182,0.9998019712355292,10,10.0,10000.0
12,lowmod,2,1.9823577364536205e-07,3.8278703455186096,0.24270228084798834,0.9999873537354369,8,10.0,10000.0
13,lowmod,2,1.4718412397184637e-07,3.7030324623268176,0.22983779848128946,0.9999998380206894,10,10.0,10000.0
14,lowmod,2,1.5074209812497876e-07,4.0880334583327675,0.2911164548087991,0.999927526450758,9,10.0,10000.0
15,lowmod,3,1.1765271840632264e-06,2.853076709040353,0.1641223835021483,0.9995692438952796,12,10.0,10000.0
16,lowmod,3,8.90127042526819e-08,3.8514175151267707,0.249894539160092,0.9999495718632706,11,10.0,10000.0
17,lowmod,3,7.463174264252837e-07,3.4848389200402323,0.2383117083567009,0.9999183014144555,10,10.0,10000.0
18,lowmod,3,3.473543662704886e-07,3.9204737922188078,0.2909968205332301,0.9995677483413644,9,10.0,10000.0
19,lowmod,3,3.7500605507361376e-08,4.440775748756128,0.3297743783517916,0.9996320312387538,9,10.0,10000.0
20,lowmod,4,5.428091312331656e-07,3.290120226111641,0.20981947698786216,0.9996604136326304,11,10.0,10000.0
21,lowmod,4,3.053257405433173e-06,2.6874028312410996,0.15026218286208903,0.9995884470288746,12,10.0,10000.0
22,lowmod,4,8.944912208265724e-08,4.760641678270596,0.40793070831730605,0.9986504646070109,10,10.0,10000.0
23,lowmod,4,1.28584703192853e-07,4.727824933655643,0.4146652516936624,0.9989275856697702,10,10.0,10000.0
24,lowmod,4,3.4986631339620783e-07,3.5210899746661326,0.21645842868016754,0.9998203260199343,9,10.0,10000.0
25,lowmod,5,5.7735658948186686e-08,3.8833004285289032,0.256762378703517,0.9998467139943767,11,10.0,10000.0
26,lowmod,5,2.064792623791667e-07,3.105989661769437,0.18414166966631865,0.9986459787183715,15,10.075248713924001,10000.0
27,lowmod,5,3.56788838066081e-09,5.509182159842778,0.4370758676871717,0.9998055075343357,8,10.0,10000.0
28,lowmod,5,5.920906410746295e-08,4.855577911968863,0.40973405700412524,0.9991001078145556,9,10.0,10000.0
29,lowmod,5,4.193022591545613e-07,2.7058387994523763,0.1427423794319772,0.9998749640655569,14,10.0,10000.0
30,high,0,6.431289535346025e-05,1.4411520152786172,0.034753367167226,0.995488292027323,14,10.0,10000.0
31,high,0,1.1174672007807807e-05,3.061490531501054,0.2267680055151508,0.9996145311613133,10,10.0,10000.0
32,high,0,7.73656427332526e-06,2.303855574731758,0.11144320625983173,0.9999376772792062,12,10.0,10000.0
33,high,0,1.9346156977498467e-06,3.2625106957403593,0.22352516536827577,0.9993946807121245,10,10.0,10000.0
34,high,0,7.703037189365324e-06,3.5777206845133005,0.3421736580681122,0.9984133687033243,11,10.0,10000.0
35,high,1,1.2557759871083694e-05,2.186544935278288,0.10116458261913014,0.999733683876374,12,10.0,10000.0
36,high,1,2.8675959017653795e-05,1.6727391976486734,0.047548133301176694,0.9975108877782422,14,10.0,10000.0
37,high,1,1.130809302610635e-05,2.2330138536013657,0.10548929347013633,0.9998420990259977,12,10.0,10000.0
38,high,1,2.180407265814803e-05,2.8631590639385793,0.20974537430376647,0.9995173980391716,10,10.0,10000.0
39,high,1,2.322068465126123e-06,2.8997726196627,0.18382525843467895,0.9999515430745022,13,10.0,10000.0
40,high,2,1.1122892357909023e-05,2.108072824392184,0.08203434220547111,0.9997180777898504,12,10.0,10000.0
41,high,2,1.9338067695568698e-05,2.4883888516740535,0.1599515239916919,0.9995845072660986,12,10.0,10000.0
42,high,2,1.1592673118262433e-05,2.68386427735452,0.17129392597236073,0.9992393362199053,11,10.0,10000.0
43,high,2,5.66178964539042e-06,2.896781743196395,0.16772349070843576,0.9999496829322296,10,10.0,10000.0
44,high,2,1.9417678743283696e-06,3.594913644349214,0.2551324146840487,0.9999271758707292,9,10.0,10000.0
45,high,3,2.2034916207253297e-05,1.8719730744175387,0.05931700653464735,0.9990334045097212,13,10.0,10000.0
46,high,3,2.9432846596288853e-05,2.185432472492281,0.12430104158211791,0.9997234804332524,12,10.0,10000.0
