site_id,seismicity,region,k0,k1,rtp_low,rtp_high
0,lowmod,0,9.846308853639188e-07,2.159962711779875,475,2475
1,lowmod,0,2.0932766004192556e-06,1.9836938838132352,475,2475
2,lowmod,0,1.314235070517455e-06,1.8957892388974036,475,2475
3,lowmod,0,1.2623253678258332e-06,1.9061867086720434,475,2475
4,lowmod,0,1.6257470453719917e-07,2.7092653776090136,475,2475
5,lowmod,1,2.96286998788192e-06,1.6595105244168993,475,2475
6,lowmod,1,1.4834207054584524e-06,2.0797556772967347,475,2475
7,lowmod,1,3.799547655560015e-06,2.116689261808079,475,2475
8,lowmod,1,1.5792334336373117e-07,2.4961157623416255,475,2475
9,lowmod,1,1.4393529937828037e-06,2.2163078763657453,475,2475
10,lowmod,2,8.64691639797015e-06,1.8314087866021111,475,2475
11,lowmod,2,9.55212185427443e-07,2.589070794741814,475,2475
12,lowmod,2,1.039935122760939e-06,2.5479037689744013,475,2475
13,lowmod,2,9.596040214390178e-07,2.3799844588817014,475,2475
14,lowmod,2,9.673175985879155e-07,2.6037485162522653,475,2475
15,lowmod,3,4.041533877438669e-06,1.9541600884748023,475,2475
16,lowmod,3,7.795675452466678e-07,2.360965889906127,475,2475
17,lowmod,3,3.0686336765920997e-06,2.315046716406067,475,2475
18,lowmod,3,1.888027740598698e-06,2.5132213997774495,475,2475
19,lowmod,3,4.176329022105367e-07,2.641725081394834,475,2475
20,lowmod,4,2.087268874741063e-06,2.2161623631382406,475,2475
21,lowmod,4,6.17271635535699e-06,2.0042576061931436,475,2475
22,lowmod,4,8.907937138412055e-07,2.830467137276559,475,2475
23,lowmod,4,9.93882603889523e-07,2.8794760385250315,475,2475
24,lowmod,4,1.4286848074152558e-06,2.4078959909365945,475,2475
25,lowmod,5,6.363985846579534e-07,2.303994864028219,475,2475
26,lowmod,5,1.2128492858844227e-06,1.9621848533826025,475,2475
27,lowmod,5,1.2251962020118288e-07,3.010855000015885,475,2475
28,lowmod,5,4.938634738314406e-07,2.967144210082636,475,2475
29,lowmod,5,2.29133726799655e-06,1.7058129982157502,475,2475
30,high,0,5.8336291505795805e-05,1.4407100650307243,475,2475
31,high,0,1.8168925143679515e-05,2.382350112423837,475,2475
32,high,0,1.5484077306543138e-05,1.7348544604475886,475,2475
33,high,0,6.136406347774923e-06,2.2500177320787698,475,2475
34,high,0,1.3083496143407108e-05,2.6851945159825465,475,2475
35,high,1,2.1625114704259536e-05,1.7085927026918148,475,2475
36,high,1,4.4768778720951284e-05,1.3809324502022673,475,2475
37,high,1,2.1076571470548396e-05,1.7059309688943591,475,2475
38,high,1,3.446123366191351e-05,2.2485179041466785,475,2475
39,high,1,6.589642412396273e-06,2.014711746991611,475,2475
40,high,2,2.0495742202508196e-05,1.6427102614760274,475,2475
41,high,2,2.8376280865976568e-05,1.9837694758797055,475,2475
42,high,2,2.1394068228942958e-05,2.045049070831571,475,2475
43,high,2,1.1417738620136378e-05,2.2015859591402225,475,2475
44,high,2,5.103710574125649e-06,2.5900415540869415,475,2475
45,high,3,3.7903787903055577e-05,1.4919429482540034,475,2475
46,high,3,4.0317769366045624e-05,1.775984169744523,475,2475
47,high,3,2.0469823262867325e-05,2.054579208146101,475,2475
48,high,3,3.9383164756684045e-06,2.8810751763331077,475,2475
49,high,3,9.498740159167734e-06,2.4418407802099327,475,2475
50,high,4,3.991683672927852e-06,2.342246010619869,475,2475
51,high,4,1.1127919215668062e-05,2.386003791160095,475,2475
52,high,4,1.275950230955488e-05,2.9648094846250608,475,2475
53,high,4,1.0547809192010343e-05,2.542615766122181,475,2475
54,high,4,6.276226937261415e-06,2.686305112623468,475,2475
55,high,5,5.5501998459439225e-06,2.8919829378068966,475,2475
56,high,5,5.8611768789340614e-06,2.9108995301585185,475,2475
57,high,5,4.416624689963897e-06,2.960941850567467,475,2475
58,high,5,3.398662232442131e-06,2.8844951277322535,475,2475
59,high,5,1.0733113446720246e-05,2.9910081390611163,475,2475
