group,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,3,4,5,6,7,8,9
group_3s_00,0.7320500000000001,1.26445,0.6050000000000002,1.26445,1.7049999999999998,1.55,1.26445,0.8854222222222222,1.0450000000000002,1.0450000000000002,0.55,1.8755,1.0450000000000002,0.4903204099862825,1.4230888888888888,0.8047,0.73205,0.605,1.7049999999999998,1.4230888888888888,0.7320500000000001,0.6655
group_3s_01,0.9212987654320989,1.3596333333333335,0.55,1.423088888888889,1.26445,2.017,1.3596333333333335,0.95,1.1495000000000002,1.1495000000000002,0.55,2.1113333333333335,1.1495000000000002,0.605,1.26445,0.605,0.605,0.605,1.55,1.0450000000000002,0.95,0.6655000000000001
group_3s_02,0.73205,1.3596333333333335,0.55,1.1495000000000002,1.7049999999999998,1.7049999999999998,1.1495000000000002,0.8854222222222222,0.95,1.1495000000000002,0.55,1.8755,1.0450000000000002,0.5000000000000003,1.4230888888888888,0.8047,0.7320500000000001,0.6655,1.26445,1.3596333333333335,0.8047,0.6655
group_3s_03,1.26445,1.51239670781893,0.73205,2.53,1.1495000000000002,3.2,1.3596333333333335,1.1495000000000004,2.7533333333333334,1.1495000000000002,0.55,3.2000000000000006,2.1113333333333335,0.73205,3.2,0.8854222222222222,1.0450000000000002,1.0450000000000002,3.2,1.1495000000000002,1.0450000000000002,1.5249311385459534
group_3s_04,0.95,1.4653925925925926,0.55,1.7049999999999998,1.0450000000000002,1.7049999999999998,1.1495000000000002,1.0450000000000002,1.1495000000000002,1.0450000000000002,0.55,2.1113333333333335,1.7049999999999998,0.55,1.8755,0.605,0.605,0.55,1.5500000000000003,0.7320500000000001,0.95,1.0450000000000002
group_3s_05,0.95,1.55,0.5500000000000004,1.493595061728395,1.1495000000000002,1.7049999999999998,1.1495000000000002,0.9414959304983999,1.1495000000000004,1.0450000000000002,0.55,2.2161481481481484,1.26445,0.5,1.51239670781893,0.605,0.55,0.55,1.1495000000000002,0.9069481481481484,0.95,0.605
group_3s_06,0.9443306203322663,1.55,0.55,1.0450000000000002,1.1495000000000002,1.7049999999999998,1.1495000000000002,0.9372438957475995,1.1495000000000002,1.0450000000000002,0.55,2.1742222222222223,1.26445,0.5000000000000003,1.493595061728395,0.6050000000000002,0.55,0.55,1.1495000000000004,0.9069481481481482,0.95,0.605
group_3s_07,0.9500000000000005,1.5500000000000003,0.55,1.4935950617283955,1.1495000000000002,1.7049999999999998,1.1495000000000004,0.9443306203322664,1.1495000000000002,1.0450000000000002,0.55,2.2161481481481484,1.3596333333333335,0.5,1.5388582837982014,0.605,0.55,0.55,1.1495000000000002,0.9069481481481482,0.95,0.605
group_3s_08,0.9500000000000004,1.4653925925925926,0.55,1.7049999999999996,1.0450000000000002,1.8755,1.1495000000000002,1.0450000000000002,1.1495000000000002,1.0450000000000002,0.55,2.017,1.7049999999999998,0.55,1.8755,0.605,0.605,0.55,1.5500000000000003,0.7320500000000001,0.95,1.0450000000000002
