Group ID,RSN ID,Status
9,4028854,downloaded
9,4030515,downloaded
9,4038115,downloaded
9,4039223,downloaded
9,4040694,downloaded
9,6004592,downloaded
9,6004607,downloaded
9,6005384,downloaded
9,6005524,downloaded
9,6005525,downloaded
9,7004688,downloaded
9,7004769,downloaded
9,7004901,downloaded
9,7004910,downloaded
9,7004932,downloaded
9,7004957,downloaded
9,7007993,downloaded
10,1002969,downloaded
10,3000367,downloaded
10,3000384,downloaded
10,3001992,downloaded
10,4022900,downloaded
10,4022903,downloaded
10,4022948,downloaded
10,4023054,downloaded
10,4024938,downloaded
10,4028570,downloaded
10,4030541,downloaded
10,4032909,downloaded
10,4033933,downloaded
10,4040376,downloaded
10,5003382,downloaded
10,6000858,downloaded
10,6001064,downloaded
10,6001141,downloaded
10,6001219,downloaded
10,6001377,downloaded
10,6001781,downloaded
10,6005734,downloaded
10,7004882,downloaded
10,7004929,downloaded
10,7005904,downloaded
10,7006078,downloaded
10,7006419,downloaded
10,7007985,downloaded
10,7007986,downloaded
10,7008171,downloaded
11,3000386,downloaded
11,3000392,downloaded
11,4002243,downloaded
11,4003195,downloaded
11,4009374,downloaded
11,4018354,downloaded
11,4018860,downloaded
11,4019024,downloaded
11,4023064,downloaded
11,4024766,downloaded
11,4025961,downloaded
11,4028522,downloaded
11,4029156,downloaded
11,4030654,downloaded
11,4033713,downloaded
11,4033838,downloaded
11,4040382,downloaded
11,6000994,downloaded
11,6001361,downloaded
11,6005811,downloaded
11,7001738,downloaded
11,7004747,downloaded
11,7004872,downloaded
11,7004877,downloaded
11,7004923,downloaded
11,7004940,downloaded
11,7006719,downloaded
11,7008186,downloaded
11,7011024,downloaded
11,7011578,downloaded
12,3000387,downloaded
12,3000403,downloaded
12,3001469,downloaded
12,4001354,downloaded
12,4018891,downloaded
12,4018945,downloaded
12,4023067,downloaded
12,4023184,downloaded
12,4029080,downloaded
12,4030660,downloaded
12,4031160,downloaded
12,4032989,downloaded
12,4040441,downloaded
12,4040667,downloaded
12,6001864,downloaded
12,6002142,downloaded
12,6002223,downloaded
12,6002226,downloaded
12,6002718,downloaded
12,6004346,downloaded
12,6005160,downloaded
12,7001963,downloaded
12,7004846,downloaded
12,7004925,downloaded
12,7004927,downloaded
12,7004944,downloaded
12,7004959,downloaded
12,7004976,downloaded
12,7006364,downloaded
12,7008018,downloaded
13,3000390,downloaded
13,4001341,downloaded
13,4001999,downloaded
