SA 0.1s [g],MAFE
5.000000000000000104e-04,1.621016708117864746e-01
7.338995999999999758e-04,1.443400305869948219e-01
1.077217000000000105e-03,1.266116054934919022e-01
1.581139000000000069e-03,1.095154158389023691e-01
2.320794000000000155e-03,9.344543979057653993e-02
3.406460000000000043e-03,7.867719400074638103e-02
5.000000000000000104e-03,6.537025194618607815e-02
7.338996000000000408e-03,5.359421176744388199e-02
1.077217299999999947e-02,4.335426698083662961e-02
1.581138799999999914e-02,3.460128723524719813e-02
2.320794400000000118e-02,2.724827570918709682e-02
3.406460000000000043e-02,2.117091558910052379e-02
5.000000000000000278e-02,1.621291013499830819e-02
7.338996000000000408e-02,1.219583623930338423e-02
1.077217300000000016e-01,8.944907482478467106e-03
1.581138830000000106e-01,6.322700926938634898e-03
2.320794419999999969e-01,4.243651854069862769e-03
3.406460350000000137e-01,2.662332430221950406e-03
5.000000000000000000e-01,1.536605793689439824e-03
7.338995999999999853e-01,8.043602057758377248e-04
1.077217344999999993e+00,3.758699327967509490e-04
1.581138829999999995e+00,1.543339454201196202e-04
2.320794417000000109e+00,5.481504866006732497e-05
3.406460345000000167e+00,1.632666218447568855e-05
5.000000000000000000e+00,4.060412145777070169e-06
