SA 0.3s [g],MAFE
5.000000000000000104e-04,1.846108615858653712e-01
7.338995999999999758e-04,1.669490083365792465e-01
1.077217000000000105e-03,1.474594078299227284e-01
1.581139000000000069e-03,1.274486436723146765e-01
2.320794000000000155e-03,1.079450822881611871e-01
3.406460000000000043e-03,8.967675801641128430e-02
5.000000000000000104e-03,7.310038473251666280e-02
7.338996000000000408e-03,5.846786014992533254e-02
1.077217299999999947e-02,4.586041950650901478e-02
1.581138799999999914e-02,3.523943134036640334e-02
2.320794400000000118e-02,2.648705919159415056e-02
3.406460000000000043e-02,1.943791881593803089e-02
5.000000000000000278e-02,1.389781399212641592e-02
7.338996000000000408e-02,9.646318306405499143e-03
1.077217300000000016e-01,6.456101188622342252e-03
1.581138830000000106e-01,4.123049415065064074e-03
2.320794419999999969e-01,2.478615386102350597e-03
3.406460350000000137e-01,1.380807452302242923e-03
5.000000000000000000e-01,6.993665475029963753e-04
7.338995999999999853e-01,3.147030141227168294e-04
1.077217344999999993e+00,1.225748486635367665e-04
1.581138829999999995e+00,3.999997329330244697e-05
2.320794417000000109e+00,1.042271535317350143e-05
3.406460345000000167e+00,1.960096046275924727e-06
5.000000000000000000e+00,2.200012100085383104e-07
