SA 4.00s [g],MAFE
5.000000000000000104e-04,2.821936547770209983e-02
6.862980000000000079e-04,2.242771288422265585e-02
9.420109999999999768e-04,1.736382564767341430e-02
1.293000000000000095e-03,1.304048862541879773e-02
1.774790000000000048e-03,9.469922418019357385e-03
2.435999999999999797e-03,6.636023261826622457e-03
3.343699999999999797e-03,4.484057243718158128e-03
4.589552999999999688e-03,2.923511315154989510e-03
6.299599999999999818e-03,1.839959424567804694e-03
8.646816999999999351e-03,1.115371132194357007e-03
1.186859000000000004e-02,6.464972853261777242e-04
1.629078800000000049e-02,3.537297579870109406e-04
2.236068000000000083e-02,1.795838512129017646e-04
3.069219299999999956e-02,8.299195368097043611e-05
4.212799999999999878e-02,3.416917169211253761e-05
5.782474800000000220e-02,1.227760791881980773e-04
7.937005299999999597e-02,3.680338601534997755e-06
1.089430640000000061e-01,9.000202506067552588e-07
1.495348780000000100e-01,1.600006400035733629e-07
2.052510640000000108e-01,2.000000098947294954e-09
2.581726910000000097e-01,1.600000063157834072e-09
3.866973989999999972e-01,4.000000112916879384e-11
5.307795320000000538e-01,3.999911513123514152e-14
