SA 3.00s [g],MAFE
5.000000000000000104e-04,3.940256098678807106e-02
6.862980000000000079e-04,3.205431116346584008e-02
9.420109999999999768e-04,2.557105365363342500e-02
1.293000000000000095e-03,1.989299299169291005e-02
1.774790000000000048e-03,1.501768700163905526e-02
2.435999999999999797e-03,1.096193277632917691e-02
3.343699999999999797e-03,7.721721998753251076e-03
4.589552999999999688e-03,5.248449323223534392e-03
6.299599999999999818e-03,3.447868088090973952e-03
8.646816999999999351e-03,2.194042982914098851e-03
1.186859000000000004e-02,1.352133796473776843e-03
1.629078800000000049e-02,8.025072444977593249e-04
2.236068000000000083e-02,4.532574780869047418e-04
3.069219299999999956e-02,2.395286402120039900e-04
4.212799999999999878e-02,1.160963077674354596e-04
5.782474800000000220e-02,5.052376256120843010e-05
7.937005299999999597e-02,1.926927964801330453e-05
1.089430640000000061e-01,6.240973642522490516e-06
1.495348780000000100e-01,1.640067243676542843e-06
2.052510640000000108e-01,3.200025600276270141e-07
2.581726910000000097e-01,4.000003999898311083e-08
3.866973989999999972e-01,4.000000400115076089e-09
5.307795320000000538e-01,1.600000005557830575e-10
7.285461770000000170e-01,1.200000099324445060e-12
