SA 0.35s [g],MAFE
5.000000000000000104e-04,1.819402337333834163e-01
7.338995999999999758e-04,1.635431177726122953e-01
1.077217000000000105e-03,1.435388553759554264e-01
1.581139000000000069e-03,1.231929308069640433e-01
2.320794000000000155e-03,1.035432448998314520e-01
3.406460000000000043e-03,8.529838765727060235e-02
5.000000000000000104e-03,6.890235843440588315e-02
7.338996000000000408e-03,5.456362964798399523e-02
1.077217299999999947e-02,4.232460030255344452e-02
1.581138799999999914e-02,3.210812102641460303e-02
2.320794400000000118e-02,2.376546709607493119e-02
3.406460000000000043e-02,1.711760501262470438e-02
5.000000000000000278e-02,1.196583299094533016e-02
7.338996000000000408e-02,8.087404154608103524e-03
1.077217300000000016e-01,5.250867610156226099e-03
1.581138830000000106e-01,3.242215550180272982e-03
2.320794419999999969e-01,1.878259127515121037e-03
3.406460350000000137e-01,1.003120931244524776e-03
5.000000000000000000e-01,4.825344547248383077e-04
7.338995999999999853e-01,2.035119244701317370e-04
1.077217344999999993e+00,7.287259929672833486e-05
1.581138829999999995e+00,2.129132899674703765e-05
2.320794417000000109e+00,4.680547645433482929e-06
3.406460345000000167e+00,6.400102402190987256e-07
5.000000000000000000e+00,4.000003999898311083e-08
