SA 2.00s [g],MAFE
5.000000000000000104e-04,6.295204445784235991e-02
7.064079999999999492e-04,5.124344434575149598e-02
9.980160000000000073e-04,4.114749625461177479e-02
1.410026999999999895e-03,3.242595931293524442e-02
1.992110000000000061e-03,2.490610691639573784e-02
2.814486000000000158e-03,1.851223071841820791e-02
3.976353999999999653e-03,1.323983191204645624e-02
5.617859000000000221e-03,9.087866136078466203e-03
7.937005000000000449e-03,5.994931131056801046e-03
1.121353400000000070e-02,3.818004975479361192e-03
1.584266800000000072e-02,2.359348553110865963e-03
2.238278700000000121e-02,1.416068762908425380e-03
3.162277699999999775e-02,8.187733598601351420e-04
4.467718799999999962e-02,4.481844302625936373e-04
6.312067999999999846e-02,2.269427186266086561e-04
8.917795300000000425e-02,1.035475905827077140e-04
1.259921049999999931e-01,4.140282529198783330e-05
1.780037550000000135e-01,1.406494440741493142e-05
2.514866860000000148e-01,3.860372537933959845e-06
3.553046009999999977e-01,7.800152103956965841e-07
5.019802880000000522e-01,1.000002500014884643e-07
7.092061560000000320e-01,8.000001600230471725e-09
1.001978331999999972e+00,3.000000026472047608e-10
1.415611763000000023e+00,1.000000082765371079e-12
