SA 0.25s [g],MAFE
5.000000000000000104e-04,1.865374837646414097e-01
7.338995999999999758e-04,1.695594495652604783e-01
1.077217000000000105e-03,1.507022943800802872e-01
1.581139000000000069e-03,1.311419681473796617e-01
2.320794000000000155e-03,1.119344680472559028e-01
3.406460000000000043e-03,9.377103589854288157e-02
5.000000000000000104e-03,7.713271206697175364e-02
7.338996000000000408e-03,6.230428503192061290e-02
1.077217299999999947e-02,4.940587874840310367e-02
1.581138799999999914e-02,3.843522197604665180e-02
2.320794400000000118e-02,2.930597216360687762e-02
3.406460000000000043e-02,2.187350989426725331e-02
5.000000000000000278e-02,1.595540380928462537e-02
7.338996000000000408e-02,1.133889156062553756e-02
1.077217300000000016e-01,7.800321231078367196e-03
1.581138830000000106e-01,5.139281435804976192e-03
2.320794419999999969e-01,3.197648163532902914e-03
3.406460350000000137e-01,1.849521992123856397e-03
5.000000000000000000e-01,9.779233957565804016e-04
7.338995999999999853e-01,4.634483734179171781e-04
1.077217344999999993e+00,1.924227008810951948e-04
1.581138829999999995e+00,6.825634081393094216e-05
2.320794417000000109e+00,1.998998666167011554e-05
3.406460345000000167e+00,4.520510836966521436e-06
5.000000000000000000e+00,7.000122502859857875e-07
