SA 0.2s [g],MAFE
5.000000000000000104e-04,1.850232473299318892e-01
7.338995999999999758e-04,1.683469571289279987e-01
1.077217000000000105e-03,1.499669174243378478e-01
1.581139000000000069e-03,1.310156076006879500e-01
2.320794000000000155e-03,1.123980198135100389e-01
3.406460000000000043e-03,9.475803796884095520e-02
5.000000000000000104e-03,7.852243859615298804e-02
7.338996000000000408e-03,6.396039661977648283e-02
1.077217299999999947e-02,5.119889801341354074e-02
1.581138799999999914e-02,4.025675309758137282e-02
2.320794400000000118e-02,3.107296981584117823e-02
3.406460000000000043e-02,2.352864437087189703e-02
5.000000000000000278e-02,1.746045861557499884e-02
7.338996000000000408e-02,1.266732417267339705e-02
1.077217300000000016e-01,8.931055258259764512e-03
1.581138830000000106e-01,6.054154553375799136e-03
2.320794419999999969e-01,3.888376693789185202e-03
3.406460350000000137e-01,2.327463100107160943e-03
5.000000000000000000e-01,1.276610103467418298e-03
7.338995999999999853e-01,6.304531869436732182e-04
1.077217344999999993e+00,2.746775890928466329e-04
1.581138829999999995e+00,1.031656217242152480e-04
2.320794417000000109e+00,3.250640234881400524e-05
3.406460345000000167e+00,8.221689672987262857e-06
5.000000000000000000e+00,1.520057762925973190e-06
