SA 0.15s [g],MAFE
5.000000000000000104e-04,1.762312850403823794e-01
7.338995999999999758e-04,1.589808500206168485e-01
1.077217000000000105e-03,1.408257334321341425e-01
1.581139000000000069e-03,1.189145331086827184e-01
2.320794000000000155e-03,1.053092605935416759e-01
3.406460000000000043e-03,8.899754603164108935e-02
5.000000000000000104e-03,7.408717281924795395e-02
7.338996000000000408e-03,6.074650797304708555e-02
1.077217299999999947e-02,4.904422049899773151e-02
1.581138799999999914e-02,3.897261693598358390e-02
2.320794400000000118e-02,3.046970024199913141e-02
3.406460000000000043e-02,2.342494999426464677e-02
5.000000000000000278e-02,1.769157818478948527e-02
7.338996000000000408e-02,1.309057143424019465e-02
1.077217300000000016e-01,9.432386675872922802e-03
1.581138830000000106e-01,6.550063582770553235e-03
2.320794419999999969e-01,4.322688454943170687e-03
3.406460350000000137e-01,2.668936495438256618e-03
5.000000000000000000e-01,1.517134622219144975e-03
7.338995999999999853e-01,7.819488150327207586e-04
1.077217344999999993e+00,3.592675949880662226e-04
1.581138829999999995e+00,1.445611919640133435e-04
2.320794417000000109e+00,4.990220400307393913e-05
3.406460345000000167e+00,1.436515770897106273e-05
5.000000000000000000e+00,3.320275590499093379e-06
