SA 1.00s [g],MAFE
5.000000000000000104e-04,1.192847712170874708e-01
7.184440000000000487e-04,1.001847254636509255e-01
1.032324000000000045e-03,8.276718295283042037e-02
1.483333999999999998e-03,6.732085231175562179e-02
2.131384999999999964e-03,5.388176252172310887e-02
3.062562000000000010e-03,4.233638947595071839e-02
4.400559000000000068e-03,3.251307360417909215e-02
6.323111000000000183e-03,2.425919465467277214e-02
9.085602999999999388e-03,1.747736837094778645e-02
1.305499499999999979e-02,1.210591313185288564e-02
1.875856799999999977e-02,8.057638946851512773e-03
2.695396499999999987e-02,5.172202401879936323e-03
3.872983299999999823e-02,3.218780035411063049e-03
5.565043900000000293e-02,1.944716653686131462e-03
7.996345800000000115e-02,1.132147784226385451e-03
1.148985470000000036e-01,6.241175585258548937e-04
1.650963619999999965e-01,3.177711454386585163e-04
2.372250099999999862e-01,1.452259908145758858e-04
3.408658099999999913e-01,5.782350845466617274e-05
4.897860490000000011e-01,1.938939568009967102e-05
7.037677789999999822e-01,5.220681328552860813e-06
1.011235595999999903e+00,1.000025000833254484e-06
1.453032462999999996e+00,1.200003600004497991e-07
2.087845154000000036e+00,8.000001600230471725e-09
3.000000000000000000e+00,3.000000026472047608e-10
