SA 0.5s [g],MAFE
5.000000000000000104e-04,1.461050443488223216e-01
7.338995999999999758e-04,1.275543087258467767e-01
1.077217000000000105e-03,1.097267023177374012e-01
1.581139000000000069e-03,9.308300736419614085e-02
2.320794000000000155e-03,7.790725129070075194e-02
3.406460000000000043e-03,6.434978573113731004e-02
5.000000000000000104e-03,5.246159310384754942e-02
7.338996000000000408e-03,4.221781859906853507e-02
1.077217299999999947e-02,3.354619967361869431e-02
1.581138799999999914e-02,2.633275419966805281e-02
2.320794400000000118e-02,2.043135835341355205e-02
3.406460000000000043e-02,1.566240058580930031e-02
5.000000000000000278e-02,1.182206718112707548e-02
7.338996000000000408e-02,8.712662417615334165e-03
1.077217300000000016e-01,6.184380055648740562e-03
1.581138830000000106e-01,4.155741359870393156e-03
2.320794419999999969e-01,2.596912440026610900e-03
3.406460350000000137e-01,1.483525643582124520e-03
5.000000000000000000e-01,7.626165458940573115e-04
7.338995999999999853e-01,3.470131167329635930e-04
1.077217344999999993e+00,1.372901381803475981e-04
1.581138829999999995e+00,4.649400044889105899e-05
2.320794417000000109e+00,1.302423985019398758e-05
3.406460345000000167e+00,3.000225022502200766e-06
5.000000000000000000e+00,5.200067601165853586e-07
