SA 0.75s [g],MAFE
5.000000000000000104e-04,1.408257334321341425e-01
7.271079999999999644e-04,1.201600103149617210e-01
1.057371000000000092e-03,1.005048289297124642e-01
1.537645999999999935e-03,8.253033151856900562e-02
2.236067999999999910e-03,6.656823423873012291e-02
3.251725000000000015e-03,5.270668537630270739e-02
4.728707999999999870e-03,4.087206932554360989e-02
6.876560000000000311e-03,3.091799783260225365e-02
1.000000000000000021e-02,2.269185793272096574e-02
1.454215399999999984e-02,1.607245958441481937e-02
2.114742500000000094e-02,1.095114075593605144e-02
3.075291200000000030e-02,7.181470650790510585e-03
4.472136000000000167e-02,4.547901525038233403e-03
6.503449099999999983e-02,2.787839216535469965e-03
9.457416100000000381e-02,1.646686628773333600e-03
1.375312039999999902e-01,9.236433589988948811e-04
2.000000000000000111e-01,4.808544762767441322e-04
2.908430870000000001e-01,2.257290613408020191e-04
4.229485049999999746e-01,9.257391807652236662e-05
6.150582439999999762e-01,3.202562733947758578e-05
8.944271910000000103e-01,8.941998685630012407e-06
1.300689825000000077e+00,1.840084645191231305e-06
1.891483218000000077e+00,2.400014400117601136e-07
2.750624087999999912e+00,2.000001000058178289e-08
4.000000000000000000e+00,2.000000020049518606e-10
