SA 0.60s [g],MAFE
5.000000000000000104e-04,1.565309828214863086e-01
7.271079999999999644e-04,1.360319016630749112e-01
1.057371000000000092e-03,1.156955126773145243e-01
1.537645999999999935e-03,9.648145486090096978e-02
2.236067999999999910e-03,7.897788960408105852e-02
3.251725000000000015e-03,6.347565926994598595e-02
4.728707999999999870e-03,5.004830061761615656e-02
6.876560000000000311e-03,3.862953625195528207e-02
1.000000000000000021e-02,2.908384236355768954e-02
1.454215399999999984e-02,2.125942102247599039e-02
2.114742500000000094e-02,1.502001789777589885e-02
3.075291200000000030e-02,1.022944999223460855e-02
4.472136000000000167e-02,6.715217793768900323e-03
6.503449099999999983e-02,4.255351369788787363e-03
9.457416100000000381e-02,2.594771887716527080e-03
1.375312039999999902e-01,1.512064867217571221e-03
2.000000000000000111e-01,8.273178481179459297e-04
2.908430870000000001e-01,4.150163337138451170e-04
4.229485049999999746e-01,1.854572077623001583e-04
6.150582439999999762e-01,7.142739511584717785e-05
8.944271910000000103e-01,2.283302872145597231e-05
1.300689825000000077e+00,5.720818115991336969e-06
1.891483218000000077e+00,1.000025000833254484e-06
2.750624087999999912e+00,1.000002500014884643e-07
4.000000000000000000e+00,2.000000098947294954e-09
