1,4040879,4040808,5001609,4002065,6003695,2000809,7008085,6001565,7006405,1002910,4027411,4027477,7005111,4023510,4039336,4023517,7011979,4036473,6002715,4019363,4026658,7008070,7001981,7004941,7010382,7010647,7005194,7005953,7006120,7010984
2,3001521,4027459,4027505,7006689,4029162,4030518,6005389,7010711,4028847,4040496,6004310,6004540,4016648,6001857,7004637,7004994,1002899,4007433,6000030,7006596,7010412,3000433,4023322,6003748,6004648,7004813,4016060,6001397,6004290,7001964
3,7004980,4007211,4007511,4016996,6001504,7005084,4006380,4018131,4018859,4032414,4032428,7001179,3001575,4017029,4017133,4017166,7006088,7006630,7011561,3001443,4012371,4012404,4037820,7001268,7005936,7010384,4026349,4031238,6004353,7001510
4,7006247,7007970,7007981,1002953,4017184,4021935,4027529,4027548,7005085,7006178,7006608,1002808,3001797,4021843,4021968,4022488,6001673,7006162,7006263,7006681,3000362,4018053,4029081,4032111,4040378,4040452,6001512,6001790,7001748,7004691
5,4026484,4028980,4033694,6004599,7006073,7007016,7008053,7008087,7010333,7011320,4007091,4007126,4040498,6004288,7001518,7004708,7004779,7006529,7007983,7010401,7010678,4001870,4016659,4018021,4018326,4023074,4035250,7000177,7001535,7008071
6,7008243,7010438,7010694,2001638,3001492,4022474,4022479,4027356,4027511,4034796,5001510,6001530,7005189,7005388,7006174,7006248,3000363,4007106,4031185,4040655,6001403,6001727,7000095,7000096,7001155,7001195,7001741,7001784,7007969,7007979
7,3001593,4007262,4022489,4027390,4027453,4027502,4034765,6003448,7006009,7006287,7006465,7006671,7006718,7006720,1002267,1002499,2001694,4008110,4009654,4009722

8,4017866,4018306,4031970,4034753,5004017,6001689,7005022,7007042,7011031,4007034,4016737,4018483,4032119,4032194,4040493,4040836,6001243,6001804,6002906,7004744,7004902,7008009,7008011,7008021,1001289,1002349,1002584,2001442,4008147,4009686
9,4009694,4009729,4010572,4019196,4020188,4021682,4022425,7010425,7011083,7011782,2000773,2000810,2000811,2001400,2001550,4008143,4008215,4009643,4010141,4021746,4027472,4031899,4040173,6000075,7005809,7006169,7006424,2000780,3001445,3001656
10,4003087,4016619,4016739,4018077,4031101,6002165,6003837,6006369,7001771,7001782,7001960,7001978,7005010,7006427,7008059,1002498,1002508,1002564,4007501,4009567,4009636,4009992,4010606,4019300,4025935,5004029,6000535,6001688,6003904,6004045
11,7001187,7004057,7011354,1000958,1000984,1002314,4018327,4018997,4022902,4029005,4029084,4030728,4032998,4033813,4033865,4038478,6004317,6004816,7004776,7004868,7004874,7004949,7011276,1002963,3001312,4007315,4016856,4016873,4016877,4016958
12,4021544,4022525,4027341,4027372,4028411,4032475,4032484,4032633,4038288,7005027,7006306,7006672,7006674,1002842,4007192,4007348,4016798,4022463,4022520,4027521,4028069,6000388,6001136,6001694,6002309,6003447,7005370,7006064,7006081,7006236
13,7006359,7006439,7011014,1002882,4007198,4007259,4007393,4007432,4007527,4007550,4010410,4010564,4022486,4022599,4026895,4027345,4027450,4028131,4028339,4032530,4034489,4034605,6003894,7006076,7006194,7006351,7006470,2001549,2001556,3001314
14,4008486,4015580,4023346,4025906,4026399,4031788,4032361,4032433,4036373,4037830,4038162,4039179,4040135,4040777,4040810,6001861,6002421,7006466,7006688,7010373

15,7010375,7010690,2000027,2000031,2000070,4007196,4017053,4022441,4022686,4026918,4026919,4027446,4027530,4028116,4028124,4028155,4032684,4034590,4034606,4038347,6001508,7006223,7006344,7006382,7006385,7006393,7006595,7006737,3000436,4002640
16,4006962,4008641,4012459,4016655,4016755,4023046,4026721,4028820,4033810,4035235,4038110,4040497,5000407,6003465,7001023,7001028,7001988,7001999,7002042,7004773,7004986,7005011,7008047,7010620,7010630,1002121,4002592,4007344,4009540,4016636
17,4018355,4018994,4019989,4022763,4025990,4025997,4027554,4028646,4031690,4033727,4033737,4036461,4039342,4040100,5001776,5003326,6001153,6002708,7004919,7005761,7006511,7006677,7011321,1002195,1002392,4008211,4009494,4009624,4010008,4010118
18,4017140,4018265,4019167,4019175,4019907,4020183,4031774,4031833,4031976,4034396,4038016,6000359,6000408,6000558,6003672,6003912,7005361,7006665,7006778,7007071,7008483,7010512,3000401,4002576,4009655,4017806,4017882,4019946,4025875,4029220
19,4035242,4036745,4036786,5001479,7000098,7000208,7000263,7001174,7001194,7001198,7001208,7001491,7001496,7001546,7002380,7002743,7003355,7003468,7004233,7005762,7006056,7006251,7006346,7006687,7006730,7007094,7007162,7007887,7008159,7010224
20,7010422,3001008,4002589,4006882,4008156,4008165,4008493,4011115,4012393,4023016,4023489,4024752,4025096,4028511,4028630,4028795,4029205,4030529,4031063,4031255,4031406,4031808,4033669,4034314,4036414,4039234,4039279,4040034,4040055,4040760
21,4040876,6000019,6001805,6001865,6004361,7004682,7004984,7005000,7005291,7006624,7011323,1002824,1002861,1002966,4007371,4007461,4009575,4010624,4017097,4017104

22,4017107,4019322,4022705,4028153,4028265,4028266,4028373,4034338,4034399,4034405,4034482,4034497,4034526,4034560,4034625,4034725,4034801,4038244,4038343,4040305,6000064,6000083,6001731,6002306,6004405,7005859,7006294,7006369,7006483,7006581
23,7006612,7011560
