metadata,metadata,metadata
event_id,station_code,location_code
EMSC-20161026_0000095,AQU,0
IT-2009-0140,ANT,0
SI-1998-0010,LJU,0
IT-1997-0091,CLC,0
EMSC-20161030_0000029,TRE1,0
IT-2012-0012,T0828,0
EMSC-20161026_0000095,AQG,0
EMSC-20161026_0000077,NOR,0
GR-1990-0014,ABS1,0
TK-2003-0038,1201,0
IT-1984-0004,ORT,0
IT-2013-0003,RNI2,0
EMSC-20160824_0000013,AQV,0
EMSC-20161026_0000095,CIT,0
IT-2013-0019,SAB,0
EMSC-20161030_0000029,T1213,0
GR-1999-0001,RFNA,0
EMSC-20140203_0000008,VLMS,0
IT-2013-0005,SMP,0
IT-2009-0102,RM13,0
IT-2009-0095,SCN,0
EMSC-20161030_0000029,T1299,0
EMSC-20161026_0000077,CTD,0
GR-1988-0020,PYR1,0
IT-2009-0009,ORC,0
TK-2004-0080,4802,0
EMSC-20161026_0000077,ACC,0
EMSC-20161026_0000095,TER,0
TK-2007-0024,4401,0
EMSC-20160824_0000013,PTI,0
IT-2003-0048,BRB,0
IT-2009-0174,AQA,0
IT-2013-0019,BOI,0
IT-2012-0061,SALB,0
TK-2004-0020,2406,0
IT-2009-0121,AQP,0
IT-2013-0019,RIC,0
IT-1997-0062,CLC,0
EMSC-20161026_0000095,T1214,0
TK-2005-0030,1208,0
IT-1997-0137,CSC,0
IT-2009-0121,GSA,0
GR-1995-0017,VER1,0
ME-1979-0012,BUD,0
IT-2009-0009,CSO1,0
IT-1976-0030,SRC0,0
EMSC-20160824_0000006,PZI1,0
IT-2012-0061,MLR,0
EMSC-20161030_0000029,CTD,0
IT-1997-0137,SER,0
EMSC-20161030_0000029,BZZ,0
IT-2012-0008,FIVI,0
IT-2012-0004,RVR,0
EMSC-20090916_0000122,CSS,0
IT-2012-0029,MIR06,0
EMSC-20161103_0000003,ATLO,0
IT-2012-0061,VNN,0
EMSC-20160824_0000172,AMT,0
EMSC-20160824_0000013,AQK,0
EMSC-20161103_0000003,T1215,0
EMSC-20161026_0000095,ASP,0
IT-1976-0002,CST,0
EMSC-20161101_0000060,ACC,0
IT-2008-0004,GNV,0
TK-2006-0076,2406,0
EMSC-20160824_0000013,AQG,0
EMSC-20120922_0000007,ITM,0
IT-2008-0015,BGR,0
IT-2013-0019,VRP,0
EMSC-20161103_0000003,PZI1,0
EMSC-20161026_0000077,CIT,0
EMSC-20161026_0000095,GUMA,0
EMSC-20161030_0000135,MMO,0
EMSC-20161030_0000029,TSC,0
IT-2013-0019,VAGA,0
EMSC-20161030_0000029,SDM,0
EMSC-20160826_0000013,SDM,0
IT-2009-0121,RM02,0
EMSC-20150416_0000081,ZKR,0
IT-2013-0003,POFI,0
EMSC-20161030_0000029,T1212,0
EMSC-20140126_0000085,VLMS,0
EMSC-20160824_0000006,FLT,0
EMSC-20161030_0000029,PRG,0
IT-2002-0009,ACR,0
EMSC-20161026_0000095,T1216,0
EMSC-20130409_0000010,MNVA,0
IT-2009-0121,AQU,0
EMSC-20120214_0000005,PLG,0
IT-2012-0061,LRG,0
IT-2009-0084,CLN,0
IT-2009-0102,RM14,0
IT-2009-0084,RM03,0
IT-2013-0019,CERA,0
IT-2012-0061,SIRI,0
IT-2012-0008,LNG,0
EMSC-20130108_0000044,EFSA,0
TK-1999-0294,1604,0
EMSC-20161101_0000060,SPD,0
EMSC-20161030_0000029,MMP1,0
IT-1981-0001,CNB,0
EMSC-20161026_0000095,PRE,0
IT-1997-0208,FORC,0
EMSC-20150417_0000011,KARP,0
IT-2003-0048,BSZ,0
IT-1997-0137,NRC,0
IT-2009-0140,AQU,0
IT-2009-0095,CLN,0
EMSC-20161026_0000095,NRC,0
IT-2013-0019,GLD,0
EMSC-20161030_0000029,AQG,0
EMSC-20161026_0000077,NRC,0
IT-2012-0061,0MOR,0
EMSC-20140407_0000141,SURF,0
EMSC-20160824_0000013,MSCT,0
EMSC-20160824_0000006,FIU1,0
TK-2003-0109,1201,0
IT-2009-0009,MMP,0
IT-2012-0061,CVL,0
IT-1978-0004,PTT1,0
IT-2009-0009,MTR,0
EMSC-20160824_0000006,CTD,0
IT-2012-0032,MIR06,0
IT-2012-0004,VRL,0
IT-2009-0102,AQK,0
EMSC-20160824_0000006,SPD,0
EMSC-20161026_0000077,T1201,0
EMSC-20160824_0000006,BZZ,0
IT-2009-0262,BZZ,0
TK-1999-0120,5902,0
