metadata,metadata,metadata
event_id,station_code,location_code
IT-2009-0140,SCN,0
EMSC-20161026_0000095,PCRO,0
IT-2012-0008,RIM,0
IT-2012-0004,BDG,0
IT-2012-0061,ORS,0
TK-2004-0062,4802,0
EMSC-20161026_0000077,ACC,0
IT-1980-0012,BGI,0
IT-2012-0006,CPGN,0
SI-1998-0010,ILBA,0
EMSC-20151117_0000025,ROD3,0
IT-2013-0019,CMR,0
IT-2012-0011,SFI,0
IT-2012-0011,CPGN,0
EMSC-20160824_0000006,PTI,0
IT-2012-0006,GAI,0
EMSC-20161026_0000095,CVM,0
IT-2009-0009,VRP,0
EMSC-20161026_0000077,T1201,0
IT-2009-0140,MMP,0
IT-2012-0011,MTRZ,0
EMSC-20161030_0000029,TSC,0
EMSC-20161030_0000029,MDAR,0
EMSC-20161026_0000095,NRC,0
IT-2012-0008,ATPC,0
EMSC-20161026_0000095,MTL,0
EMSC-20160824_0000006,ATPC,0
EMSC-20161030_0000029,PTL,0
EMSC-20130616_0000095,ZKR,0
IT-2012-0011,BRB,0
EMSC-20160824_0000006,FSS,0
EMSC-20130615_0000050,ANKY,0
EMSC-20130615_0000050,ZKR,0
EMSC-20130108_0000044,PRK,0
EMSC-20160824_0000006,PCB,0
EMSC-20160824_0000006,ATTE,0
TK-1999-0077,MCD,0
EMSC-20161026_0000095,ANB,0
IT-2009-0009,ANT,0
EMSC-20161026_0000095,TSC,0
TK-2005-0090,4802,0
EMSC-20161026_0000095,CSS,0
EMSC-20160824_0000006,SSG,0
IT-2009-0009,CMR,0
EMSC-20161026_0000077,MVB,0
IT-2013-0005,AUL,0
EMSC-20161026_0000095,BDT,0
IT-2012-0008,LEC,0
EMSC-20161026_0000077,TRN1,0
IT-2009-0009,PTF,0
IT-2013-0005,BVT,0
EMSC-20120610_0000062,DATC,0
IT-2009-0121,RM14,0
IT-2012-0010,LNG,0
EMSC-20160824_0000006,NCR,0
IT-2012-0011,GRIMS,0
IT-2012-0011,T0823,0
IT-2012-0008,OGME,0
IT-2012-0011,T0817,0
IT-2012-0011,MIR01,0
EMSC-20151117_0000025,CEL,0
TK-1999-0415,1401,0
EMSC-20140203_0000008,T0721,0
TK-1992-0002,2402,0
TK-1999-0415,8101,0
EMSC-20161030_0000029,T1244,0
EMSC-20160824_0000006,CSS,0
IT-2009-0009,SUL,0
TK-1999-0415,487,0
IT-2012-0008,MRN,0
TK-1999-0077,8101,0
EMSC-20161030_0000029,FIR,0
TK-1999-0415,FAT,0
EMSC-20140524_0000026,YDRA,0
TK-1999-0415,CNAK,0
TK-1999-0077,1001,0
EMSC-20160824_0000006,TRV,0
EMSC-20161030_0000029,VITU,0
EMSC-20161030_0000029,SGTA,0
EMSC-20151117_0000025,TNSA,0
TK-2002-0008,5401,0
GR-1995-0047,PAT1,0
TK-1999-0415,C1058,0
TK-2002-0008,1006,0
IT-2009-0009,ASS,0
IT-2009-0009,GNL,0
TK-1999-0415,4302,0
EMSC-20151117_0000025,MCEL,0
TK-1999-0415,C0362,0
EMSC-20151117_0000025,LACI,0
TK-2002-0008,6401,0
EMSC-20151117_0000025,PDG,0
TK-1999-0077,6401,0
IT-1980-0012,TRR,0
IT-1980-0012,STR,0
EMSC-20140524_0000026,KVLA,0
TK-2003-0038,2301,0
EMSC-20161030_0000029,SNAL,0
EMSC-20161030_0000029,PZUN,0
TK-1999-0077,4501,0
TK-1999-0077,3701,0
TK-1999-0415,DHM,0
EMSC-20151117_0000025,LIA,0
GR-1995-0047,PATA,0
EMSC-20140524_0000026,PRK,0
EMSC-20140524_0000026,SMTH,0
EMSC-20140524_0000026,EFSA,0
EMSC-20160824_0000006,CRP,0
EMSC-20140203_0000008,MNVA,0
EMSC-20160824_0000006,PVF,0
EMSC-20161026_0000095,CTL8,0
EMSC-20160824_0000006,SMPL,0
IT-2012-0011,CAS0,0
EMSC-20161026_0000095,PP3,0
EMSC-20151117_0000025,KASA,0
TK-1999-0415,BAH,0
EMSC-20080215_0000079,BZS,0
IT-2013-0074,MGAB,0
EMSC-20160824_0000006,FIVI,0
