metadata,metadata,metadata
event_id,station_code,location_code
EMSC-20151118_0000064,KASA,0
IT-2009-0174,TRTR,0
IT-2012-0002,BAG8,0
IT-2013-0019,ASR,0
EMSC-20161026_0000077,MSC,0
TK-1999-0415,C1060,0
EMSC-20161026_0000095,T1216,0
TK-1998-0024,1604,0
EMSC-20161030_0000029,AQG,0
GR-2016-0006,ROD3,0
IT-1997-0006,MTL,0
EMSC-20160824_0000006,SSC,0
IR-2005-0044,KJA,0
IT-2012-0010,VLM,0
EMSC-20160824_0000013,MVB,0
EMSC-20161026_0000095,AQA,0
EMSC-20161026_0000077,SLO,0
IT-2012-0008,BRH,0
EMSC-20160824_0000006,MTR,0
IT-2009-0121,FMG,0
IT-2013-0003,FLT,0
IR-2004-0043,A6250,0
EMSC-20140921_0000002,KYMI,0
EMSC-20130125_0000039,CRMI,0
EMSC-20161026_0000095,T1212,0
ME-1979-0012,TIVA,0
EMSC-20160826_0000013,POFI,0
EMSC-20161030_0000029,CTD,0
EMSC-20161026_0000077,MNF,0
EMSC-20161101_0000060,SNO,0
IR-2004-0043,A6256,0
EMSC-20161026_0000095,T1215,0
ME-1979-0012,BUD,0
EMSC-20161101_0000060,T1201,0
EMSC-20160824_0000006,ASS,0
TK-2005-0030,2406,0
IT-2012-0011,CAFI,0
EMSC-20161030_0000029,ANT,0
TK-1999-0389,5401,0
EMSC-20120304_0000006,PLG,0
EMSC-20161026_0000095,T1201,0
TK-1999-0415,C1061,0
IT-2002-0047,CHT,0
IT-2012-0061,LTR,0
EMSC-20160824_0000006,AQG,0
EMSC-20161030_0000029,AMT,0
TK-1999-0294,1604,0
IT-2013-0019,GLD,0
IR-2003-0041,SDD,0
EMSC-20161030_0000029,FMG,0
IT-2012-0061,SMA,0
EMSC-20161026_0000077,MDAR,0
EMSC-20160824_0000013,SNM,0
EMSC-20161026_0000077,PTL,0
TK-2000-0218,7801,0
IT-2009-0121,RM02,0
EMSC-20161030_0000029,T1201,0
SI-1998-0010,MOG,0
IT-2013-0019,SACR,0
ME-1979-0003,ULA,0
TK-2005-0032,1208,0
EMSC-20161030_0000029,PCB,0
IT-2009-0174,RM22,0
TK-1999-0077,MCD,0
IR-2004-0043,VAR,0
AM-1988-0001,GUK,0
IT-1997-0137,FHC,0
IT-2009-0102,CLN,0
IT-1984-0004,CSN0,0
IT-2009-0102,RM02,0
IR-2004-0043,BRQ,0
EMSC-20160824_0000006,PTL,0
EMSC-20111123_0000028,ZKR,0
GR-1995-0030,CHR1,0
IT-2009-0121,MI01,0
EMSC-20160824_0000013,CTD,0
TK-2005-0036,2406,0
EMSC-20160824_0000013,NRC,0
IT-2002-0047,SCV,0
IR-1990-0004,A6211,0
IT-2009-0102,RM10,0
EMSC-20161030_0000029,T1299,0
IT-2012-0061,SDN,0
GE-1991-0003,SAMB,0
EMSC-20161026_0000077,CNE,0
EMSC-20161026_0000077,T1212,0
IT-2012-0002,GNV,0
IT-1997-0004,CSC,0
TK-2004-0021,2406,0
EMSC-20161030_0000029,LSS,0
EMSC-20161026_0000095,LSS,0
IT-2009-0102,PSC,0
EMSC-20160824_0000006,RM33,0
EMSC-20130916_0000088,NOAC,0
IT-2009-0009,CLN,0
IT-2009-0095,AQP,0
EMSC-20161026_0000095,SLO,0
EMSC-20160824_0000013,MSC,0
TK-1998-0063,3102,0
GR-2016-0006,KBN,0
EMSC-20161030_0000029,T1213,0
EMSC-20161026_0000095,CERA,0
IT-1984-0004,LPD1,0
IT-2009-0174,RM01,0
EMSC-20160824_0000013,SPD,0
IT-2012-0061,0LAI,0
IT-1976-0030,SRC0,0
EMSC-20160824_0000006,SNO,0
IT-1976-0027,SRC0,0
EMSC-20160824_0000013,FEMA,0
EMSC-20161026_0000095,MDAR,0
EMSC-20130516_0000002,DATC,0
IT-1976-0025,GMN,0
EMSC-20161030_0000029,MSCT,0
IT-2013-0019,PDM,0
IT-2012-0011,PZS,0
IT-1976-0030,CRD,0
EMSC-20161026_0000095,TRE1,0
IR-1994-0020,ZRT,0
EMSC-20161026_0000095,BGR,0
IT-2009-0140,AQG,0
IT-2008-0004,AUL,0
GR-1995-0017,ABS1,0
TK-2000-0449,5401,0
TK-2007-0024,2301,0
TK-1983-0001,1012,0
EMSC-20161030_0000029,AQF,0
EMSC-20161030_0000029,CSC,0
EMSC-20161030_0000029,AQK,0
IR-2004-0043,ABY,0
IT-2012-0008,RIM,0
ME-1979-0006,HRZ,0
IT-2012-0010,MIR06,0
IT-2009-0121,GSA,0
IT-2012-0011,FIN0,0
IT-2012-0061,SERS,0
IR-2004-0043,MLK,0
IT-2013-0009,BVT,0
IT-1981-0001,LNM,0
IR-2002-0035,DNZ,0
EMSC-20161026_0000095,ACC,0
EMSC-20160824_0000006,TRE1,0
EMSC-20160824_0000006,CSO1,0
IT-2008-0004,PNM,0
EMSC-20160824_0000013,AQU,0
EMSC-20161030_0000029,SDM,0
IT-2004-0109,CNV,0
EMSC-20110511_0000054,CART,0
EMSC-20161026_0000077,CLO,0
