1,1002963,1002882,6003695,1000040,6001688,4007351,3001312,4022449,6001689,7001981,4040123,7004707,4032627,7004710,3000362,4017056,4032479,3001307,3001494,6003796,4007211,1000052,6001706,4008104,6003748,7006133,6001373,7004750,4034540,4033810
2,1002861,4035517,7004749,7001735,7004863,3000436,3000363,7006718,3001314,4032484,3001311,3001593,3001797,4038266,7006540,6001193,6001673,6001676,7006427,7006413,4030539,1002267,4034781,1002808,4008218,6001826,6001851,6001857,3001292,3001031
3,7007969,5004040,4019385,7001812,4032633,4032634,3001647,4032463,7006640,5001510,4040303,4040297,7004862,4040125,1002979,4025906,4025895,2000810,7008053,7008138,1002869,4034432,7011987,1001754,7004725,4025829,4023585,7004708,7004700,7004691
4,7004779,7004851,7004849,7004843,7004632,4027491,4027411,7001900,7004868,7001833,7001784,7001782,7001741,7001230,4028074,7004985,7004939,7006041,7006034,7006009,4017053,6004610,6004599,4028563,6002715,7006092,7006088,4016856,4016798,7006051
5,6002710,4028789,4028604,4028601,4028566,7006195,7006169,7006165,7006094,6002303,4009694,4008215,6001712,6001697,6001692,6001690,4007510,7006397,7006391,7006418,4007307,6001395,4007223,7006511,3001963,6001153,4032473,4032471,6001148,3001656
6,7006665,3001403,3001009,4032659,3000373,7006734,4040493,4040357,2000774,7007981,7007979,4040110,4033787,4033737,1002976,7008017,7008070,1002959,4034338,4038522,4038521,4038398,7008146,1002858,1002830,1002580,7010396,7010384,7008235,4034590
7,1002141,1001926,1001784,1001758,1001739,1001140,7011355,7011321,7011309,7011308,4035233,4034792,4034791,4034758,4034732,4034725,4034675,4034640,4034635,4034544,4034538,4038638,4038520,4038519,4038517,4038515,4038478,4038406,4038394,4038372
8,4038299,4038259,4038246,4037245,4036910,4034515,4034513,4034405,4034396,4033943,4033936,4033930,4033912,4033883,4040055,4039434,4039342,4039279,4040603,4040498,4040393,4040358,4040320,4040280,4040121,4040100,4033839,4033732,4033719,4033694
9,4033669,4033628,4033535,4033523,4033519,4033488,4033375,4040876,4040803,4040725,4040718,4032646,4032632,4032631,4032529,6000029,6000028,5001776,5001611,5001606,4033702,4032016,6001147,6001145,6001136,4032952,4032687,4032677,4032666,4032654
10,4032648,4031802,4031788,4031779,4031743,6001397,6001268,4032524,4032493,4032490,4032489,4032480,4032464,4032344,4032217,6001578,6001549,6001542,6001521,6001412,4031834,4031831,4031821,4031386,4031322,4031143,4031079,4030991,4030924,4030907
11,4030598,4030538,4030537,6001705,6001696,6001694,6002218,6002165,6001858,6001804,6001753,6001727,4031711,4031690,4031389,4030512,4030504,4030502,4030498,4030492,4029084,4029081,4028906,4028881,6002322,6002312,6002300,6002262,4028327,4028304
12,6002711,6002708,6002700,6002644,6002593,4028844,4028739,4028605,4028572,6006428,6005374,6004635,6004628,6004329,6003875,6003451,4028561,4028538,4028537,4028166,4028151,4028150,4028124,4028119,7001174,7000975,7001843,7001496,4028063,4028057
13,4027534,4028266,4028250,4027390,4027356,4027350,4027349,4027345,7002316,7002045,7002042,7001978,7001962,7001960,4025921,4025901,4025882,4025856,7004682,7004681,7004646,7004615,7003468,7002931,7002771,7002763,4027472,4024735,4024734,4024718
14,4024696,4023423,7004703,4027146,4026042,4026038,4023047,4022996,4022988,4022921,7004744,7004721,7004717,4025849,4025506,4024737,4022726,4022581,7004770,7004767,7004753,4023180,4023096,4023091,4023066,4019715,4019403,7004856,7004815,7004814
15,7004813,7004811,4022444,4022443,4022440,4022434,7004900,7004897,7004892,7004891,7004886,7004885,7004876,7004874,4019934,4019919,4019879,4019871,7005369,7005363,7005196,7005151,7005011,7004983,7004980,7004979,7004963,7004949,4018948,4018943
16,4018892,4018481,4018193,4018053,4017881,7005896,7005857,7005772,7005389,7005374,4017875,4017190,4017177,4017142,4017140,4017139,7005951,7005915,4019353,4019175,4018962,7006048,7006014,7005979,4017085,4017079,4017022,4016901,4012459,4012393
17,4010647,4010402,4010137,4010012,4010003,7006121,7006079,4016873,4016845,4016842,4016828,4016815,7006194,7006178,7006158,7006140,7006138,7006137,4016776,4016730,4016120,4009740,4009636,4009535,4009509,4009199,4008641,7006239,7006233,7006232
18,7006223,7006340,7006324,7006304,7006299,7006290,7006274,7006272,7006252,4008147,4008143,4008132,4008093,4007552,7006373,4007511,4007493,4007438,4007432,4007426,4007410,4007403,4007399,7006401,7006492,7006469,7006466,7006451,7006449,7006443
19,7006425,4007348,4007293,4007266,4007262,4007227,4007221,4007207,4007126,4007091,7006579,7006575,7006571,7006557,7006548,7006519,4002204,3001968,3001951,7006636,7006633,7006631,7006624,7006618,7006608,7006596,7006582,3001040,3001022,7006689
20,7006672,7006671,7006669,3001302,3001948,3001587,3001492,3001488,4002595,7006730,7006704,3000434,3000432,3000419,3001299,3001298,2000806,2000069,7007983,7007970,7007901,7006880,7006737,2001630,2001568,3000401,2000055,1002978,1002970,1002968
21,1002967,7008005,7007990,7007988,2001559,2001400,1002824,7008059,7008054,7008047,7008020,1002958,1002955,1002953,1002946,1002925,1002922,1002919,7008220,7008184,7008178,7008170,7008150,7008143,7008142,7008136,7008114,7008085,7008082,1002899
22,1002847,1002839,1002519,1002349,1002249,1002244,1002204,7010375,7010373,7010140,7010055,7008239,7011097,7011074,7011022,7011017,7011010,7010807,7010616,7010401,7011979,7011977,7011976,7011801,7011783,7011701,7011698,7011643,1000034,1002147
23,4034527,1000120,1000071,1000050,1000043,1000027,1000033,7011561
