record_identifier,component,database
TK-1997-0126_5902_0,U,ESM
TK-1999-0415_5902_0,V,ESM
EMSC-20161026_0000095_CNE_0,V,ESM
IT-1997-0006_CSC_0,V,ESM
IT-1976-0002_CST_0,U,ESM
TK-2005-0054_1208_0,U,ESM
IT-2012-0011_CRM1_0,V,ESM
EMSC-20130108_0000044_YDRA_0,V,ESM
GR-1983-0001_AGR1_0,U,ESM
GR-1997-0019_KRN1_0,U,ESM
EMSC-20160824_0000006_NRC_0,U,ESM
IT-2012-0008_STAF_0,V,ESM
EMSC-20161030_0000029_0MBT_0,U,ESM
EMSC-20160824_0000006_PCB_0,V,ESM
IT-2009-0009_AQU_0,V,ESM
EMSC-20160824_0000013_ANT_0,U,ESM
IT-2012-0061_MLR_0,V,ESM
IT-2012-0061_SNA_0,V,ESM
IT-2002-0047_SCV_0,U,ESM
EMSC-20160824_0000006_FMG_0,U,ESM
EMSC-20161030_0000029_AQK_0,V,ESM
IT-2009-0009_CSO1_0,U,ESM
TK-1999-0415_5401_0,U,ESM
EMSC-20161026_0000095_TER_0,V,ESM
EMSC-20161026_0000077_CIT_0,U,ESM
IT-1997-0137_NCM_0,V,ESM
IT-2009-0009_ANT_0,U,ESM
EMSC-20160824_0000006_SNO_0,V,ESM
ME-1979-0012_KOTZ_0,U,ESM
EMSC-20161026_0000095_T1216_0,V,ESM
IT-1980-0012_ALT_0,V,ESM
ME-1979-0012_TIVA_0,V,ESM
EMSC-20140126_0000046_LSK_0,V,ESM
IT-2012-0011_MURB_0,U,ESM
TK-1999-0294_4107_0,V,ESM
IT-2012-0008_SBEG_0,V,ESM
IT-2009-0009_AQG_0,U,ESM
EMSC-20160824_0000006_FRT_0,V,ESM
EMSC-20140203_0000008_LSK_0,V,ESM
TK-2002-0012_5401_0,U,ESM
EMSC-20140126_0000046_SALB_0,U,ESM
IT-2012-0011_MMUR_0,V,ESM
ME-1979-0012_KOTZ_0,V,ESM
EMSC-20161030_0000029_ACC_0,U,ESM
GE-1991-0009_SPIK_0,U,ESM
IT-2012-0011_CADA_0,U,ESM
IT-2012-0008_T0104_0,U,ESM
IT-2012-0011_NEVI_0,U,ESM
EMSC-20161026_0000095_0MBT_0,V,ESM
TK-1999-0415_C1058_0,V,ESM
GR-1995-0017_KAS1_0,U,ESM
EMSC-20160824_0000006_CGRP_0,V,ESM
EMSC-20140126_0000046_ANKY_0,U,ESM
EMSC-20151117_0000025_CEL_0,V,ESM
EMSC-20161026_0000095_STAL_0,V,ESM
EMSC-20161026_0000095_SDM_0,V,ESM
IT-2012-0008_FEMA_0,U,ESM
EMSC-20161030_0000029_T1214_0,U,ESM
4007427,H1,NGASub
7006240,H2,NGASub
4022682,H2,NGASub
4034660,H2,NGASub
7006651,H1,NGASub
6001143,H1,NGASub
4022523,H2,NGASub
7011564,H2,NGASub
6001706,H1,NGASub
4028157,H2,NGASub
7005961,H1,NGASub
4034766,H1,NGASub
7006394,H1,NGASub
7006467,H1,NGASub
7005939,H2,NGASub
4028139,H2,NGASub
7006175,H1,NGASub
4017073,H1,NGASub
4007547,H1,NGASub
4016826,H1,NGASub
4022446,H2,NGASub
4007346,H2,NGASub
4034662,H1,NGASub
1000122,H2,NGASub
1002817,H1,NGASub
1002196,H2,NGASub
1000086,H1,NGASub
6000336,H2,NGASub
4022715,H2,NGASub
4017129,H1,NGASub
6001688,H2,NGASub
7005966,H1,NGASub
7006736,H1,NGASub
6001697,H2,NGASub
7011548,H1,NGASub
7006384,H2,NGASub
4017187,H2,NGASub
3001020,H1,NGASub
4007534,H1,NGASub
4007295,H2,NGASub
4034773,H1,NGASub
7006638,H2,NGASub
1002822,H2,NGASub
4028369,H2,NGASub
4028257,H1,NGASub
4022750,H1,NGASub
4034338,H2,NGASub
7005899,H1,NGASub
7005979,H1,NGASub
4034730,H2,NGASub
7006668,H1,NGASub
1000052,H1,NGASub
4007430,H2,NGASub
7005894,H1,NGASub
6001726,H1,NGASub
4022716,H1,NGASub
4007547,H2,NGASub
4034403,H1,NGASub
7005922,H2,NGASub
4022475,H1,NGASub
7011570,H2,NGASub
4034481,H1,NGASub
4016788,H2,NGASub
7011576,H1,NGASub
4022649,H2,NGASub
7011568,H2,NGASub
7006396,H1,NGASub
7006310,H2,NGASub
4034662,H2,NGASub
6001689,H1,NGASub
4034661,H2,NGASub
4028244,H2,NGASub
3001308,H2,NGASub
6001706,H2,NGASub
4022521,H1,NGASub
1002969,H2,NGASub
7006050,H1,NGASub
7006546,H1,NGASub
7005971,H1,NGASub
4022523,H1,NGASub
7006224,H2,NGASub
1002853,H2,NGASub
7006381,H1,NGASub
4034403,H2,NGASub
4028259,H2,NGASub
7006685,H1,NGASub
4016897,H1,NGASub
4017105,H1,NGASub
4007307,H1,NGASub
4022750,H2,NGASub
3001574,H2,NGASub
1002861,H1,NGASub
4028417,H2,NGASub
4034338,H1,NGASub
4034633,H2,NGASub
7006088,H1,NGASub
4017140,H1,NGASub
3001289,H1,NGASub
3001288,H1,NGASub
IT-2012-0008_FIE_0,U,ESM
EMSC-20161030_0000029_GRN_0,V,ESM
IT-2012-0008_BBN_0,V,ESM
IT-2009-0009_CMB_0,U,ESM
EMSC-20161030_0000029_FLT_0,V,ESM
EMSC-20140126_0000046_JAN_0,U,ESM
EMSC-20161026_0000095_CIMA_0,U,ESM
EMSC-20160824_0000006_SSC_0,V,ESM
EMSC-20161026_0000095_SNM_0,V,ESM
IT-2012-0008_CVT_0,U,ESM
EMSC-20160824_0000006_TRV_0,V,ESM
TK-2007-0024_1201_0,U,ESM
IT-2012-0008_FGV_0,V,ESM
IT-2012-0008_SNM_0,V,ESM
IT-2012-0011_RNC_0,U,ESM
EMSC-20161026_0000095_T1244_0,V,ESM
EMSC-20160824_0000006_ATN_0,U,ESM
EMSC-20161026_0000095_VLL_0,V,ESM
EMSC-20160824_0000006_PSC_0,U,ESM
IT-2009-0009_PDM_0,U,ESM
EMSC-20161030_0000029_SNM_0,V,ESM
