metadata,metadata,metadata
event_id,station_code,location_code
EMSC-20161026_0000095,TOD,0
EMSC-20161026_0000077,T1214,0
EMSC-20160824_0000006,CSC,0
IT-2009-0009,LSS,0
ME-1979-0012,TIVA,0
EMSC-20161026_0000077,TRE1,0
IR-2005-0044,CHT,0
IT-2009-0102,AQF,0
IT-2009-0121,MTR,0
IT-1997-0137,FHC,0
IR-2004-0043,JRN,0
IT-2009-0102,RM04,0
IT-1980-0012,TDG,0
IR-2004-0043,A6250,0
TK-2004-0071,4802,0
IT-1997-0004,ASS,0
EMSC-20160824_0000006,TRE1,0
IT-2009-0009,MTR,0
IT-1976-0030,FRC,0
EMSC-20161026_0000095,MTL,0
ME-1979-0012,KOTZ,0
ME-1979-0003,HRZ,0
IT-1997-0006,MTL,0
IR-1978-0002,TAB,0
EMSC-20161030_0000029,CIT,0
IT-1997-0137,CLC,0
IT-2009-0102,AQV,0
EMSC-20160824_0000006,FEMA,0
EMSC-20161026_0000095,CLO,0
IT-2009-0102,GSA,0
TK-1999-0077,1604,0
TK-1999-0077,3401,0
EMSC-20140524_0000026,EFSA,0
EMSC-20161030_0000029,NRC,0
IT-1976-0025,FRC,0
EMSC-20160824_0000006,PCB,0
IT-2009-0009,CSO1,0
TK-1999-0415,C1062,0
IT-2012-0008,RIM,0
IT-2012-0061,VGG,0
EMSC-20161026_0000095,PAN,0
IT-1980-0012,BNV,0
IR-2004-0043,POO,0
EMSC-20161030_0000029,CSC,0
EMSC-20160824_0000006,MCT,0
IT-2013-0019,SCV,0
EMSC-20161026_0000095,RM33,0
EMSC-20161030_0000029,CIMA,0
EMSC-20161026_0000077,T1212,0
EMSC-20160824_0000013,AQG,0
IR-2002-0035,AVJ,0
IR-2004-0043,BUM,0
TK-2003-0182,1007,0
IT-2009-0121,RM13,0
EMSC-20120610_0000062,KSL,0
TK-1999-0077,MCD,0
IT-2009-0009,GNL,0
IT-2009-0121,RM09,0
GR-1997-0019,KYPA,0
EMSC-20160824_0000013,SPD,0
IR-2004-0043,HSH,0
TK-1998-0084,0107,0
SI-1998-0010,SVAL,0
EMSC-20160824_0000006,MTL,0
IT-2009-0102,CHT,0
EMSC-20161030_0000029,PZI1,0
EMSC-20161026_0000077,NOR,0
EMSC-20160824_0000006,LSS,0
IT-2009-0121,MI05,0
EMSC-20161026_0000077,CSC,0
EMSC-20161026_0000095,ANT,0
EMSC-20161030_0000029,T1217,0
EMSC-20161030_0000029,SPD,0
